id,use_ragdoll,use_ragdoll_hit,hit_power,rope_back,beanstalk_back,hrope_down,radius,height,model_file,movement_id,sight_range,sight_fov,shared_dummy_model,use_random_idle_control,fly_mode,underwater_creature,attack_start_range,physics_flags,physics_mass,physics_stiffness_scale,physics_living_mass,physics_living_gravity,physics_living_air_resistance,physics_living_k_air_control,physics_living_max_vel_ground,physics_living_min_slide_angle,physics_living_max_climb_angle,physics_living_min_fall_angle,physics_living_time_impulse_recover,physics_living_collider_mat,game_look_ik_blend_spine1,game_look_ik_blend_spine2,game_look_ik_blend_spine3,game_look_ik_blend_neck,game_look_ik_blend_head,game_bow_look_ik_blend_spine1,game_bow_look_ik_blend_spine2,game_bow_look_ik_blend_spine3,game_bow_look_ik_blend_neck,game_bow_look_ik_blend_head,game_sprint_multiplier,game_strafe_multiplier,game_backward_multiplier,game_grab_multiplier,game_walk_multiplier,game_inertia,game_inertia_accel,game_jump_height,game_lean_shift,game_lean_angle,game_max_grab_mass,game_max_grab_volume,slope_alignment,rope_hanging_hand_offset_x,rope_hanging_hand_offset_y,rope_hanging_hand_offset_z,portrait,use_ragdoll_knock_down,animation_graph,upperbody_graph,turn_speed,push_ragdoll,face_target_instantly,ground_targetable,swim_height,actor_height,hand_rate,game_walk_strafe_multiplier,game_walk_backward_multiplier,game_forward_multiplier,game_forward_diagonal_multiplier,game_backward_diagonal_multiplier,game_walk_forward_diagonal_multiplier,game_walk_backward_diagonal_multiplier
1,t,t,100,0.22,0.5,1.0,0.4,1.5,objects/Characters/nuian/male/nude/nu_m.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.9,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
2,t,t,100,0.22,0.5,1.03,0.4,1.5,objects/Characters/nuian/female/nude/nu_f.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.72,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
3,t,f,10,0.22,0.5,2.2,0.7,0.7,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.8,0.9,0.45,0.45,1.0,1.0,0.7,0.45,0.45
4,t,t,10,0.22,0.5,2.2,0.4,1.5,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.8,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
5,t,t,100,0.22,0.5,1.0,0.4,1.5,objects/Characters/dwarf/male/nude/dw_m.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/dwarf_male.dds,t,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.3,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
6,t,t,100,0.22,0.5,1.4,0.4,1.5,objects/Characters/dwarf/female/nude/dw_f.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/dwarf_female.dds,t,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.3,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
7,t,t,100,0.22,0.5,1.0,0.4,1.5,objects/Characters/elf/male/nude/el_m.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.9,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
8,t,t,100,0.26,0.5,1.12,0.4,1.5,objects/Characters/elf/female/nude/el_f.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.78,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
9,t,t,10,0.22,0.45,0.87,0.4,1.5,objects/Characters/hariharan/male/nude/ha_m.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.67,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
10,t,t,10,0.22,0.45,0.92,0.4,1.5,objects/Characters/hariharan/female/nude/ha_f.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.55,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
