id,char,bytes
1,a,1
2,b,1
3,c,1
4,d,1
5,e,1
6,f,1
7,g,1
8,h,1
9,i,1
10,j,1
11,k,1
12,l,1
13,m,1
14,n,1
15,o,1
16,p,1
17,q,1
18,r,1
19,s,1
20,t,1
21,u,1
22,v,1
23,w,1
24,x,1
25,y,1
26,z,1
27,가,3
28,각,3
29,간,3
30,갇,3
31,갈,3
32,갉,3
33,갊,3
34,감,3
35,갑,3
36,값,3
37,갓,3
38,갔,3
39,강,3
40,갖,3
41,갗,3
42,같,3
43,갚,3
44,갛,3
45,개,3
46,객,3
47,갠,3
48,갤,3
49,갬,3
50,갭,3
51,갯,3
52,갰,3
53,갱,3
54,갸,3
55,갹,3
56,갼,3
57,걀,3
58,걋,3
59,걍,3
60,걔,3
61,걘,3
62,걜,3
63,거,3
64,걱,3
65,건,3
66,걷,3
67,걸,3
68,걺,3
69,검,3
70,겁,3
71,것,3
72,겄,3
73,겅,3
74,겆,3
75,겉,3
76,겊,3
77,겋,3
78,게,3
79,겐,3
80,겔,3
81,겜,3
82,겝,3
83,겟,3
84,겠,3
85,겡,3
86,겨,3
87,격,3
88,겪,3
89,견,3
90,겯,3
91,결,3
92,겸,3
93,겹,3
94,겻,3
95,겼,3
96,경,3
97,곁,3
98,계,3
99,곈,3
100,곌,3
101,곕,3
102,곗,3
103,고,3
104,곡,3
105,곤,3
106,곧,3
107,골,3
108,곪,3
109,곬,3
110,곯,3
111,곰,3
112,곱,3
113,곳,3
114,공,3
115,곶,3
116,과,3
117,곽,3
118,관,3
119,괄,3
120,괌,3
121,괍,3
122,괏,3
123,광,3
124,괘,3
125,괜,3
126,괠,3
127,괩,3
128,괬,3
129,괭,3
130,괴,3
131,괵,3
132,괸,3
133,괼,3
134,굄,3
135,굅,3
136,굇,3
137,굉,3
138,교,3
139,굔,3
140,굘,3
141,굡,3
142,굣,3
143,구,3
144,국,3
145,군,3
146,굳,3
147,굴,3
148,굵,3
149,굶,3
150,굼,3
151,굽,3
152,굿,3
153,궁,3
154,궂,3
155,궈,3
156,궉,3
157,권,3
158,궐,3
159,궜,3
160,궝,3
161,궤,3
162,궷,3
163,귀,3
164,귁,3
165,귄,3
166,귈,3
167,귐,3
168,귑,3
169,귓,3
170,규,3
171,균,3
172,귤,3
173,그,3
174,극,3
175,근,3
176,귿,3
177,글,3
178,긁,3
179,금,3
180,급,3
181,긋,3
182,긍,3
183,긔,3
184,기,3
185,긱,3
186,긴,3
187,긷,3
188,길,3
189,김,3
190,깁,3
191,깃,3
192,깅,3
193,깆,3
194,깊,3
195,까,3
196,깍,3
197,깎,3
198,깐,3
199,깔,3
200,깜,3
201,깝,3
202,깟,3
203,깠,3
204,깡,3
205,깥,3
206,깨,3
207,깩,3
208,깬,3
209,깰,3
210,깸,3
211,깹,3
212,깻,3
213,깼,3
214,깽,3
215,꺄,3
216,꺅,3
217,꺌,3
218,꺼,3
219,꺽,3
220,꺾,3
221,껀,3
222,껄,3
223,껌,3
224,껍,3
225,껏,3
226,껐,3
227,껑,3
228,께,3
229,껙,3
230,껜,3
231,껨,3
232,껫,3
233,껭,3
234,껴,3
235,껸,3
236,껼,3
237,꼇,3
238,꼈,3
239,꼍,3
240,꼐,3
241,꼬,3
242,꼭,3
243,꼰,3
244,꼲,3
245,꼴,3
246,꼼,3
247,꼽,3
248,꼿,3
249,꽁,3
250,꽂,3
251,꽃,3
252,꽈,3
253,꽉,3
254,꽐,3
255,꽜,3
256,꽝,3
257,꽤,3
258,꽥,3
259,꽹,3
260,꾀,3
261,꾄,3
262,꾈,3
263,꾐,3
264,꾑,3
265,꾕,3
266,꾜,3
267,꾸,3
268,꾹,3
269,꾼,3
270,꿀,3
271,꿇,3
272,꿈,3
273,꿉,3
274,꿋,3
275,꿍,3
276,꿎,3
277,꿔,3
278,꿜,3
279,꿨,3
280,꿩,3
281,꿰,3
282,꿱,3
283,꿴,3
284,꿸,3
285,뀀,3
286,뀁,3
287,뀄,3
288,뀌,3
289,뀐,3
290,뀔,3
291,뀜,3
292,뀝,3
293,뀨,3
294,끄,3
295,끅,3
296,끈,3
297,끊,3
298,끌,3
299,끎,3
300,끓,3
301,끔,3
302,끕,3
303,끗,3
304,끙,3
305,끝,3
306,끼,3
307,끽,3
308,낀,3
309,낄,3
310,낌,3
311,낍,3
312,낏,3
313,낑,3
314,나,3
315,낙,3
316,낚,3
317,난,3
318,낟,3
319,날,3
320,낡,3
321,낢,3
322,남,3
323,납,3
324,낫,3
325,났,3
326,낭,3
327,낮,3
328,낯,3
329,낱,3
330,낳,3
331,내,3
332,낵,3
333,낸,3
334,낼,3
335,냄,3
336,냅,3
337,냇,3
338,냈,3
339,냉,3
340,냐,3
341,냑,3
342,냔,3
343,냘,3
344,냠,3
345,냥,3
346,너,3
347,넉,3
348,넋,3
349,넌,3
350,널,3
351,넒,3
352,넓,3
353,넘,3
354,넙,3
355,넛,3
356,넜,3
357,넝,3
358,넣,3
359,네,3
360,넥,3
361,넨,3
362,넬,3
363,넴,3
364,넵,3
365,넷,3
366,넸,3
367,넹,3
368,녀,3
369,녁,3
370,년,3
371,녈,3
372,념,3
373,녑,3
374,녔,3
375,녕,3
376,녘,3
377,녜,3
378,녠,3
379,노,3
380,녹,3
381,논,3
382,놀,3
383,놂,3
384,놈,3
385,놉,3
386,놋,3
387,농,3
388,높,3
389,놓,3
390,놔,3
391,놘,3
392,놜,3
393,놨,3
394,뇌,3
395,뇐,3
396,뇔,3
397,뇜,3
398,뇝,3
399,뇟,3
400,뇨,3
401,뇩,3
402,뇬,3
403,뇰,3
404,뇹,3
405,뇻,3
406,뇽,3
407,누,3
408,눅,3
409,눈,3
410,눋,3
411,눌,3
412,눔,3
413,눕,3
414,눗,3
415,눙,3
416,눠,3
417,눴,3
418,눼,3
419,뉘,3
420,뉜,3
421,뉠,3
422,뉨,3
423,뉴,3
424,뉵,3
425,뉼,3
426,늄,3
427,늅,3
428,늉,3
429,느,3
430,늑,3
431,는,3
432,늘,3
433,늙,3
434,늚,3
435,늠,3
436,늡,3
437,늣,3
438,능,3
439,늦,3
440,늪,3
441,늬,3
442,늰,3
443,늴,3
444,니,3
445,닉,3
446,닌,3
447,닐,3
448,님,3
449,닙,3
450,닛,3
451,닝,3
452,닢,3
453,다,3
454,닥,3
455,닦,3
