id,name,loop,category_id,ride_ub,hang_ub,swim_ub,move_ub,relaxed_ub,swim_move_ub
1,fist_co_attack_r,f,2,,,fist_co_swim_attack_r,fist_co_attack_r_ub,,fist_co_swim_attack_r
2,fist_co_attack_r_2,f,2,,fist_co_attack_r_2_ub,fist_co_swim_attack_r,fist_co_attack_r_2_ub,,fist_co_swim_attack_r
3,onehand_co_attack_r_slash,f,1,,onehand_co_attack_r_slash_ub,onehand_co_swim_attack_r_slash_ub,onehand_co_attack_r_slash_ub,,onehand_co_swim_attack_r_slash_ub
4,onehand_co_attack_l_slash,f,1,,onehand_co_attack_l_slash_ub,onehand_co_swim_attack_l_slash_ub,onehand_co_attack_l_slash_ub,,onehand_co_swim_attack_l_slash_ub
5,onehand_co_attack_r_pierce,f,1,,onehand_co_attack_r_pierce_ub,onehand_co_swim_attack_r_pierce_ub,onehand_co_attack_r_pierce_ub,,onehand_co_swim_attack_r_pierce_ub
6,onehand_co_attack_l_pierce,f,1,,onehand_co_attack_l_pierce_ub,onehand_co_swim_attack_l_pierce_ub,onehand_co_attack_l_pierce_ub,,onehand_co_swim_attack_l_pierce_ub
7,twohand_co_attack,f,1,,twohand_co_attack_ub,twohand_co_swim_attack_ub,twohand_co_attack_ub,,twohand_co_swim_attack_ub
8,staff_co_attack,f,1,,staff_co_attack_ub,staff_co_attack_ub,staff_co_attack_ub,,staff_co_attack_ub
9,bow_co_attack,f,1,,bow_co_swim_attack,bow_co_swim_attack_ub,bow_co_attack_ub,,bow_co_swim_attack_ub
10,onehand_re_combat_parry,f,3,onehand_re_combat_parry_ub,onehand_re_combat_parry_ub,onehand_re_combat_parry_ub,onehand_re_combat_parry_ub,,onehand_re_combat_parry_ub
11,twohand_re_combat_parry,f,3,twohand_re_combat_parry_ub,twohand_re_combat_parry_ub,twohand_re_combat_parry_ub,twohand_re_combat_parry_ub,,twohand_re_combat_parry_ub
12,onehand_re_combat_shieldblock,f,3,onehand_re_combat_shieldblock_ub,onehand_re_combat_shieldblock_ub,onehand_re_combat_shieldblock_ub,onehand_re_combat_shieldblock_ub,,onehand_re_combat_shieldblock_ub
13,all_re_combat_dodge,f,3,all_re_combat_dodge_ub,all_re_combat_dodge_ub,all_re_combat_dodge_ub,all_re_combat_dodge_ub,,all_re_combat_dodge_ub
14,all_re_combat_hit,f,8,all_re_combat_hit_ub,all_re_combat_hit_ub,all_re_combat_hit_ub,all_re_combat_hit_ub,,all_re_combat_hit_ub
15,all_re_combat_critical,f,8,all_re_combat_critical_ub,all_re_combat_critical_ub,all_re_combat_critical_ub,all_re_combat_critical_ub,,all_re_combat_critical_ub
16,all_re_combat_stun,t,11,all_re_combat_stun_ub,all_re_combat_stun_ub,all_re_combat_swim_stun,all_re_combat_stun,,all_re_combat_swim_stun
17,twohand_re_combat_hit,f,8,twohand_re_combat_hit_ub,twohand_re_combat_hit_ub,twohand_re_combat_hit_ub,twohand_re_combat_hit_ub,,twohand_re_combat_hit_ub
18,all_co_sk_shout,f,4,,all_co_sk_shout_ub,all_co_sk_swim_shout,all_co_sk_shout_ub,,all_co_sk_swim_shout
19,all_co_sk_leapattack,f,4,,,all_co_sk_swim_leapattack_ub,all_co_sk_leapattack_ub,,all_co_sk_swim_leapattack_ub
20,all_co_sk_lowkick,f,4,,,,,,
21,onehand_co_sk_weapon_slash,f,4,,onehand_co_sk_weapon_slash_ub,onehand_co_sk_swim_weapon_slash_ub,onehand_co_sk_weapon_slash_ub,,onehand_co_sk_swim_weapon_slash_ub
22,twohand_co_sk_weapon_slash,f,4,,twohand_co_sk_weapon_slash_ub,twohand_co_sk_swim_weapon_slash_ub,twohand_co_sk_weapon_slash_ub,,twohand_co_sk_swim_weapon_slash_ub
23,fist_co_sk_fistattack,f,4,,fist_co_sk_fistattack_ub,fist_co_sk_fistattack_ub,fist_co_sk_fistattack_ub,,fist_co_sk_fistattack_ub
