id,name,parent_category_id
1,dagger,1
2,sword,1
3,blade,1
4,spear,1
5,axe,1
6,mace,1
7,staff,1
8,sword,2
9,blade,2
10,spear,2
11,axe,2
12,mace,2
13,staff,2
14,bow,3
15,cloth_head,4
16,cloth_chest,4
17,cloth_waist,4
18,cloth_arms,4
19,cloth_hands,4
20,cloth_legs,4
21,cloth_feet,4
22,leather_head,5
23,leather_chest,5
24,leather_waist,5
25,leather_arms,5
26,leather_hands,5
27,leather_legs,5
28,leather_feet,5
29,plate_head,6
30,plate_chest,6
31,plate_waist,6
32,plate_arms,6
33,plate_hands,6
34,plate_legs,6
35,plate_feet,6
36,ore,24
37,wood,24
38,rock,24
39,leather,24
40,fur,24
41,machine_part,24
42,meat,24
43,aquatic,24
44,grain,24
45,vegetable,24
46,fruit,24
47,spice,24
48,medicine,24
49,flower,24
50,soil,24
51,gem,24
52,paper,25
53,metal,25
54,wood,25
55,stone,25
56,hide,25
57,cloth,25
58,machine,25
59,glass,25
60,rubber,25
61,jewel,25
62,alchemy,25
63,misc,25
64,livestock,26
65,sappling,27
66,seed,27
67,furniture,28
68,adventure,36
69,toy,37
70,dye,25
71,cooking_oil,25
72,seasoning,25
