id,utf8str,bytes,check_name,check_chat,partial_match
1,호랑이등뼈산멕,21,t,f,t
2,18년,5,t,t,t
3,18놈,5,t,t,t
4,18뇬,5,t,t,t
5,18시키,8,t,t,t
6,Anal,4,t,t,t
7,bogy,4,t,t,t
8,boji,4,t,t,t
9,bojy,4,t,t,t
10,bozi,4,t,t,t
11,bozy,4,t,t,t
12,bo지,5,t,t,t
13,c8,2,t,t,t
14,cebal,5,t,t,t
15,cibal,5,t,t,t
16,cipal,5,t,t,t
17,cival,5,t,t,t
18,ci발,5,t,t,t
19,ci부랄,8,t,t,t
20,c발,4,t,t,t
21,c방,4,t,t,t
22,c벌,4,t,t,t
23,c부랄,7,t,t,t
24,c불,4,t,t,t
25,c팔,4,t,t,t
26,dog새끼,9,t,t,t
27,fuck,4,t,t,t
28,g랄,4,t,t,t
29,g럴,4,t,t,t
30,g룰,4,t,t,t
31,jaji,4,t,t,t
32,jamji,5,t,t,t
33,jawe,4,t,t,t
34,jawi,4,t,t,t
35,jazi,4,t,t,t
36,jazy,4,t,t,t
37,ja위,5,t,t,t
38,JA지,5,t,t,t
39,jiral,5,t,t,t
40,ji랄,5,t,t,t
41,oral,4,t,t,t
42,panis,5,t,t,t
43,penis,5,t,t,t
44,pennis,6,t,t,t
45,sex,3,t,t,t
46,sibal,5,t,t,t
47,sipal,5,t,t,t
48,sival,5,t,t,t
49,si발,5,t,t,t
50,si방,5,t,t,t
51,si벌,5,t,t,t
52,si부랄,8,t,t,t
53,si불,5,t,t,t
54,si팔,5,t,t,t
55,ssibal,6,t,t,t
56,ssipal,6,t,t,t
57,ssival,6,t,t,t
58,zazi,4,t,t,t
59,갈보,6,t,t,t
60,강간,6,t,t,t
61,개넘,6,t,f,t
62,개년,6,t,t,t
63,개놈,6,t,t,t
64,개뇬,6,t,t,t
65,개자슥,9,t,t,t
66,개자식,9,t,t,t
67,개좆,6,t,t,t
68,걸래,6,t,t,t
69,걸레,6,t,t,t
70,고환,6,t,t,t
71,교환부부,12,t,t,t
72,구녕,6,t,t,t
73,귀두,6,t,t,t
74,근친상간,12,t,t,t
75,김일성만세,15,t,t,t
76,꼬추,6,t,t,t
77,꼴려,6,t,t,t
78,늬믜,6,t,t,t
79,늬미,6,t,t,t
80,니기미,9,t,t,t
81,니믜,6,t,t,t
82,니미랄,9,t,t,t
83,닝기리,9,t,t,t
84,닝기미,9,t,t,t
85,닥쳐,6,t,t,t
86,대갈빡,9,t,t,t
87,대갈통,9,t,t,t
88,뒈져,6,t,t,t
89,뒈진다,9,t,t,t
90,뒈질래,9,t,t,t
91,뒤져,6,t,t,t
92,뒤진다,9,t,t,t
93,뒤질래,9,t,t,t
94,디져,6,t,t,t
95,디진다,9,t,t,t
96,딸딸이,9,t,t,t
97,또라이,9,t,t,t
98,똘아이,9,t,t,t
99,똥구멍,9,t,t,t
100,똥꾸멍,9,t,t,t
101,매춘,6,t,t,t
102,미췬,6,t,t,t
103,미칀,6,t,t,t
104,미친,6,t,t,t
105,뱅신,6,t,t,t
106,벼엉신,9,t,t,t
107,변태,6,t,t,t
108,병쉰,6,t,t,t
109,병시나,9,t,t,t
110,병신,6,t,t,t
