id,name,category_id
1,테스트 쪽지 1장,1
2,테스트 쪽지 2장,1
3,테스트 쪽지 3장,1
4,테스트 쪽지 4장,1
5,테스트 쪽지 5장,1
6,오래된 선돌,4
7,오래된 선돌,4
8,오래된 선돌,4
9,오래된 선돌,4
10,오래된 선돌,4
11,오래된 선돌,4
12,오래된 선돌,4
13,오래된 선돌,4
14,오래된 선돌,4
15,오래된 선돌,4
16,오래된 선돌,4
17,오래된 선돌,4
18,오래된 선돌,4
19,오래된 선돌,4
20,형의 편지,59
21,제사장의 비밀장부,59
22,지소례의 추천서,59
23,보말다의 탄원서,59
24,아마렌드라 4세의 어명,17
25,남쪽 코산 마라 순수비,59
26,동쪽 코산 마라 순수비,59
27,서쪽 코산 마라 순수비,59
29,황혼석,52
30,황혼석,52
31,황혼석,52
32,황혼석,52
33,황혼석,52
34,황혼석,52
35,황혼석,52
36,황혼석,52
37,황혼석,52
38,황혼석,52
39,암트구이의 편지,52
40,죽은 자의 일기1,54
41,죽은 자의 일기2,54
42,죽은 자의 일기3,54
43,죽은 자의 일기4,54
44,죽은 자의 일기5,54
45,죽은 자의 일기6,54
46,죽은 자의 일기7,54
47,죽은 자의 일기8,54
48,죽은 자의 일기9,54
49,죽은 자의 일기10,54
50,황혼석,52
51,황혼석,52
52,황혼석,52
53,황혼석,52
54,황혼석,52
55,황혼석,52
56,황혼석,52
57,황혼석,52
58,황혼석,52
59,황혼석,52
60,황혼석,52
62,구겨진 쪽지,14
63,황혼석,52
64,황혼석,52
66,아이샤의 편지,14
67,지르골의 편지,52
68,구를라의 편지,80
69,아얀가의 편지,52
70,제르고의 전서,80
71,그렐의 서신,22
72,찢어진 쪽지,61
73,하바의 편지,61
74,햇무리 상단 대금 청구서,14
75,오르페의 편지,62
76,유엘리의 쪽지,62
77,하만의 지령서,62
78,하디르_사령술사의 책,63
79,기념비 보고서,14
80,그림자 매의 전언,61
81,남자 신도의 일기,16
82,모험가의 일지(상),26
83,모험가의 일지(중),26
84,모험가의 일지(하),26
85,오래된 양피지,60
86,오래된 양피지,60
87,오래된 양피지,60
88,오래된 양피지,60
89,오래된 양피지,60
90,오래된 양피지,60
91,오래된 양피지,60
92,주노의 쪽지,79
93,마리아노플 서문 게시판,10
94,버려진 대본,10
95,마리아노플 남문 게시판,10
96,모험가의 마지막 편지,26
97,마리아노플 동문 게시판,10
98,마리아노플 북문 게시판,10
100,부조 <배덕자의 신>,60
101,부조 <원정대의 정원 발견>,60
102,부조 <신과 영웅의 전쟁>,60
103,부조 <원대륙 멸망>,60
104,마리아노플 서문 게시판에 붙어 있던 게시물,10
105,마리아노플 남문 게시판에 붙어 있던 게시물,10
106,오래된 양피지,60
107,마리아노플 북문 게시판에 붙어 있던 게시물,10
108,마리아노플 동문 게시판에 붙어 있던 게시물,10
109,헬리우스의 편지,17
110,비비디의 편지,17
111,안탈론의 지령서,61
113,식물도감 <황혼의 눈물꽃>,33
114,체틴의 편지,17
115,그루달의 편지,17
116,하비바의 합의 제안서,17
117,퀘이사의 편지,17
118,dummy,1
119,제목 없는 책 31쪽,79
120,제목 없는 책 32쪽,79
121,제목 없는 책 33쪽,79
122,누군가의 편지,4
123,제목 없는 책 92쪽,79
124,투라 마그누스도터의 편지,35
125,피 묻은 손 긴급 명령,3
126,제라스의 쪽지,17
127,두그렌의 채무증서,9
128,무스틴의 주문서,21
129,다후타 교단 비밀지령서,24
130,다후타 교단 비밀지령서,24
131,다후타 교단 비밀지령서,24
132,다후타 교단 비밀지령서,24
133,베어의 지령,24
134,금지된 마법에 관해,24
135,비밀 협정서,24
136,비밀장부의 기록,24
137,메드의 기록물,2
138,돌의 형제회 비밀문서,2
139,완성된 문서,2
140,로이스터 야영지의 문서,2
141,핏빛안개 부족 작전 명령서,2
142,검은수염 도적단 비밀문서,2
143,호소의 편지,2
144,검은 모래회의 비밀 정보,17
145,낡은 책자,17
146,킬 에그뉴의 편지,6
147,영혼의 종신계약서,6
148,숲지기의 마법서,6
