id,kind_id,speech
1,1,돈이 많기도 해라...
3,1,어디서 이런 생선 비린내가 나는거지?
5,1,심봤다!!!!!!!!!
10,1,실력이 형편 없네요!
18,1,"와~ 오늘 운이 아주 좋으시네요! 오늘 같은 날에는 이 부적, 이 부적의 지녀야 더 운이 최고로 올라가죠. 하나 가져가 보세요."
19,1,"이구~ 맨날 매일매일이 똑같지 않나요? 인생을 하루라도 바꿔보고 싶죠? 이러거 제가 잘 안해주는데, 특별히 이 부적 써줄테니 가지고 가보세요. 신통한 일이 생긴다고요."
20,1,앗! 오늘 좋은 인연이 생기겠는데요? 이제 옆구리 시릴일이 없을지도 몰라요~ 이 부적이 도움이 될거에요. 이런 기회는 자주 오지 않는답니다~
21,1,아... 제가 절대절대 당신을 생각해서 하는 말인데.. 아주 큰 위험이 보이네요. 왠지.. 남같지 않아서 걱정되서 하는 말이에요.. 이 부적을 가져가야 화를 면할 수가 있어요!!
22,1,아니 이럴수가... 오늘은 몹 근처에도 가지 마세요. 집에 아예 콕 박혀 있는 게 안전할것 같네요. 그래도 굳이 나가시겠다면 수호부적이 필요할것 같아요. 제 부적에 수호를 받아보시겠어요?
23,1,"이런.. 당신, 오늘은 물 근처에도 가면 안되요!! 물도 마시지 마세요. 위험해요!! 제가 부적 한장 써주겠는데 싸게 드릴꼐요. 제가 당신 하나 살리고 싶어서 그러니 꼭 가져가셔야 해요."
24,1,점괘가 잘 나오지 않네요. 탁한 기운이 있어서 그런거 같으니 이 부적으로 몸을 정결하게 한후 다시 점을 보도록 해봐요.
25,1,어? 이 점괘는? 좀처럼 보기 힘든 점괘인데~ 좋으시겠다~ 누군가의 축복을 받겠는데요~
26,1,어? 이 점괘는? 좀처럼 보기 힘든 점괘인데~  누군가의 축복을 받겠는데요~
27,1,어? 이 점괘는? 좀처럼 보기 힘든 점괘인데~ 좋으시겠다~ 누군가의 축복을 받겠는데요~
28,1,아! 음악에 빠져들어가...
32,1,역시 좋은 칼이로군~!! 
37,1,간만에 좀 자볼랬더니 귀찮게 구는군.
38,1,거기 너! 이리 더 가까이 와볼래? 분명 전에도 만난 적이 있는 것 같은데...
39,1,내 잠을 깨운 게 너냐?
41,1,8점! 뭐 나쁘진 않네요~
