id,buff_id,chance,stack,ab_level
23,23,100,1,0
28,28,100,1,0
29,29,100,1,0
31,31,100,1,0
36,43,100,1,0
85,75,100,1,0
86,77,100,1,0
114,94,50,1,0
115,95,100,1,0
121,101,100,1,0
136,114,100,1,0
140,116,100,1,0
141,13,100,1,0
216,523,100,1,0
229,182,100,1,0
230,183,100,1,0
237,127,100,1,0
253,193,100,1,0
256,196,100,1,0
283,128,100,1,0
285,193,100,1,0
286,193,100,1,0
296,220,100,1,0
307,232,100,1,0
308,233,100,1,0
310,235,30,1,0
312,237,100,1,0
313,238,100,1,0
317,257,100,1,0
320,53,100,1,0
326,243,100,1,0
327,1623,100,1,0
330,244,100,1,0
332,245,100,1,0
334,409,100,1,0
345,1,100,1,0
346,13,100,1,0
352,254,100,1,0
355,181,100,1,0
358,128,100,1,0
360,256,100,1,0
361,84,100,1,0
367,221,100,1,0
371,100,100,1,0
372,260,100,1,0
373,261,100,1,0
375,266,100,1,0
379,269,100,1,0
382,267,100,1,0
385,246,100,1,0
388,268,100,1,0
389,268,100,1,0
393,7,100,1,0
395,197,100,1,0
396,270,50,1,0
397,325,100,1,0
398,272,100,1,0
399,273,100,1,0
400,274,100,1,0
402,275,100,1,0
403,276,100,1,0
406,277,100,1,0
407,278,100,1,0
408,279,100,1,0
409,280,100,1,0
410,281,100,1,0
411,282,100,1,0
412,283,100,1,0
413,284,100,1,0
414,285,100,1,0
415,286,100,1,0
416,287,100,1,0
417,288,100,1,0
418,313,100,1,0
419,314,100,1,0
420,315,100,1,0
421,316,100,1,0
422,317,100,1,0
423,318,100,1,0
424,319,100,1,0
425,320,100,1,0
426,321,100,1,0
427,322,100,1,0
428,323,100,1,0
429,324,100,1,0
430,289,100,1,0
431,290,100,1,0
432,291,100,1,0
433,292,100,1,0
434,293,100,1,0
435,294,100,1,0
436,295,100,1,0
437,296,100,1,0
438,297,100,1,0
439,298,100,1,0
440,299,100,1,0
441,300,100,1,0
442,301,100,1,0
443,302,100,1,0
444,303,100,1,0
445,304,100,1,0
446,305,100,1,0
447,306,100,1,0
448,307,100,1,0
449,308,100,1,0
450,309,100,1,0
451,310,100,1,0
452,311,100,1,0
453,312,100,1,0
454,102,100,1,0
456,249,100,1,0
457,247,100,1,0
458,335,50,1,0
460,245,100,1,0
461,197,100,1,0
463,326,100,1,0
464,2745,100,1,0
465,1178,100,1,0
466,2805,100,1,0
468,328,100,1,0
469,329,100,1,0
470,330,100,1,0
471,331,100,1,0
472,332,100,1,0
473,333,100,1,0
474,334,100,1,0
475,336,100,1,0
477,252,100,1,0
481,340,100,1,0
489,343,100,1,0
495,386,100,1,0
497,387,100,1,0
499,7,100,1,0
501,2739,100,1,0
503,2823,100,1,0
504,389,100,1,0
510,143,100,1,0
516,391,100,1,0
517,146,100,1,0
519,392,100,1,0
521,394,100,1,0
525,54,100,1,0
527,173,100,1,0
529,36,100,1,0
530,395,100,1,0
534,68,100,1,0
535,71,100,1,0
539,2805,100,1,0
541,397,100,1,0
544,407,100,1,0
