id,owner_id,owner_type,buff_id,tag_id,buff_attribute_id,unit_modifier_type_id,value,synergy
1,356,Buff,245,,4,0,3000,f
2,356,Buff,121,,3,1,10,f
3,356,Buff,173,,2,1,50,f
5,1124,Buff,,638,4,1,20,f
20,2784,Buff,,108,5,1,100,f
22,2753,Buff,,6,5,1,-20,f
23,2753,Buff,,107,5,1,-20,f
24,101,Buff,,6,5,1,30,t
25,101,Buff,,107,5,1,30,t
26,2910,Buff,250,,3,1,15,f
27,2910,Buff,1987,,3,1,15,f
28,2835,Buff,,6,5,1,30,t
29,2835,Buff,,107,5,1,30,t
31,714,Buff,,12,5,1,-30,f
33,714,Buff,,107,5,1,-30,f
34,714,Buff,,105,5,1,-30,f
35,714,Buff,,385,5,1,-30,f
36,714,Buff,,160,5,1,-30,f
37,714,Buff,,13,5,1,-30,f
40,3819,Buff,,12,5,1,10,f
42,3819,Buff,,107,5,1,10,f
43,3819,Buff,,105,5,1,10,f
44,3819,Buff,,385,5,1,10,f
45,3819,Buff,,160,5,1,10,f
46,3819,Buff,,13,5,1,10,f
47,3823,Buff,,12,5,1,15,f
49,3823,Buff,,107,5,1,15,f
50,3823,Buff,,105,5,1,15,f
51,3823,Buff,,385,5,1,15,f
52,3823,Buff,,160,5,1,15,f
53,3823,Buff,,13,5,1,15,f
54,3824,Buff,,12,5,1,20,f
56,3824,Buff,,107,5,1,20,f
57,3824,Buff,,105,5,1,20,f
58,3824,Buff,,385,5,1,20,f
59,3824,Buff,,160,5,1,20,f
60,3824,Buff,,13,5,1,20,f
61,3825,Buff,,12,5,1,-10,f
63,3825,Buff,,107,5,1,-10,f
64,3825,Buff,,105,5,1,-10,f
65,3825,Buff,,385,5,1,-10,f
66,3825,Buff,,160,5,1,-10,f
67,3825,Buff,,13,5,1,-10,f
68,3826,Buff,,12,5,1,-15,f
70,3826,Buff,,107,5,1,-15,f
71,3826,Buff,,105,5,1,-15,f
72,3826,Buff,,385,5,1,-15,f
73,3826,Buff,,160,5,1,-15,f
74,3826,Buff,,13,5,1,-15,f
75,3827,Buff,,12,5,1,-20,f
77,3827,Buff,,107,5,1,-20,f
78,3827,Buff,,105,5,1,-20,f
79,3827,Buff,,385,5,1,-20,f
80,3827,Buff,,160,5,1,-20,f
81,3827,Buff,,13,5,1,-20,f
82,3840,Buff,,695,4,0,10000,f
86,4712,Buff,,6,5,1,30,t
87,4712,Buff,,107,5,1,30,t
89,5234,Buff,247,,4,0,1000,f
90,5237,Buff,2923,,4,1,30,f
91,5237,Buff,2924,,4,1,30,f
92,5240,Buff,87,,4,1,20,f
93,5242,Buff,245,,4,1,20,f
94,5255,Buff,3719,,4,0,2000,f
95,5263,Buff,,36,3,1,10,f
99,5271,Buff,883,,4,0,2000,f
100,5274,Buff,256,,4,0,5000,f
101,5274,Buff,1843,,4,0,5000,f
102,5283,Buff,340,,4,0,5000,f
103,5292,Buff,114,,4,1,-50,f
104,5292,Buff,2275,,4,1,-50,f
105,5294,Buff,156,,4,0,500,f
106,5294,Buff,2277,,4,0,500,f
107,5294,Buff,975,,4,0,500,f
108,5294,Buff,2278,,4,0,500,f
109,5298,Buff,182,,4,0,5000,f
110,5301,Buff,2458,,4,0,1500,f
111,5304,Buff,810,,4,0,1000,f
112,5313,Buff,328,,4,0,3000,f
113,5313,Buff,329,,4,0,3000,f
114,5313,Buff,330,,4,0,3000,f
115,5314,Buff,4078,,4,0,1000,f
116,5317,Buff,854,,4,0,2000,f
117,5317,Buff,855,,4,0,2000,f
118,5317,Buff,856,,4,0,2000,f
119,5317,Buff,857,,4,0,2000,f
120,5317,Buff,745,,4,0,2000,f
121,5323,Buff,507,,4,0,1500,f
122,5324,Buff,84,,4,1,10,f
123,5882,Buff,,6,5,1,30,t
124,5882,Buff,,107,5,1,30,t
125,6085,Buff,,12,5,1,-10,f
126,6085,Buff,,107,5,1,-10,f
127,6085,Buff,,105,5,1,-10,f
128,6085,Buff,,385,5,1,-10,f
129,6085,Buff,,160,5,1,-10,f
130,6085,Buff,,13,5,1,-10,f
131,740,Buff,,6,5,1,-20,f
132,740,Buff,,11,5,1,-20,f
133,716,Buff,,107,5,1,-20,f
134,4521,Buff,,6,5,1,-100,f
135,6849,Buff,,12,5,1,15,f
136,6844,Buff,,12,5,1,-15,f
141,6844,Buff,,107,5,1,-15,f
146,6849,Buff,,107,5,1,15,f
147,6844,Buff,,105,5,1,-15,f
152,6849,Buff,,105,5,1,15,f
153,6844,Buff,,385,5,1,-15,f
158,6849,Buff,,385,5,1,15,f
159,6844,Buff,,160,5,1,-15,f
164,6849,Buff,,160,5,1,15,f
165,6844,Buff,,13,5,1,-15,f
170,6849,Buff,,13,5,1,15,f
171,7016,Buff,2458,,4,0,1700,f
172,7020,Buff,810,,4,0,1200,f
173,7022,Buff,745,,4,0,2300,f
174,7022,Buff,854,,4,0,2300,f
175,7022,Buff,855,,4,0,2300,f
176,7022,Buff,856,,4,0,2300,f
177,7022,Buff,857,,4,0,2300,f
