id,buff_id,effect_id,target_buff_tag_id,target_nobuff_tag_id
6,31,285,,
7,39,286,,
8,40,287,,
9,41,288,,
10,49,289,,
11,50,290,,
12,51,291,,
13,56,292,,
15,59,294,,
18,74,297,,
19,75,298,,
29,121,333,,
36,115,641,,
38,139,645,,
40,179,656,,
45,189,695,,
46,190,699,,
47,191,703,,
48,199,728,,
49,198,731,,
50,201,737,,
51,202,744,,
54,211,779,,
56,196,791,,
57,197,792,,
58,216,832,,
59,217,833,,
61,220,852,,
62,224,857,,
63,225,860,,
64,226,861,,
65,232,880,,
69,233,886,,
70,236,896,,
71,242,953,,
72,101,966,,
73,246,1001,,
83,325,1383,,
85,146,1556,,
87,391,1575,,
88,394,1584,,
89,71,1617,,
90,397,1627,,101
91,398,1632,,483
94,399,1637,,206
98,411,1878,,
99,411,1879,,
100,412,1888,,
101,412,1889,,
108,430,2097,,136
110,431,2123,,
115,166,2139,,
117,166,2141,,103
120,435,2175,,
121,436,2179,,
122,438,2182,,
125,442,2240,,
126,442,2241,,
130,470,2320,,
131,250,2336,,104
133,485,2356,,
139,514,2448,,
140,515,2449,,
141,516,2453,,
142,517,2454,,
149,549,2636,,
151,430,2656,,136
152,70,2710,,
153,583,2760,,
154,583,2761,,104
155,585,2772,,
159,603,2838,,
160,607,2861,,219
166,651,3145,,
167,651,3146,,
183,478,3408,,
191,749,3561,,
193,751,3565,,
196,759,3584,,
197,760,3585,,
198,761,3586,,
200,764,3623,,
213,780,3728,,
216,792,3799,,
217,792,3801,,
219,455,3813,,
231,836,4009,,
245,778,4045,,359
246,866,4124,,
248,866,4126,,
249,890,4272,,
250,890,4273,,
251,890,4274,,
252,910,4363,,
253,910,4364,,
254,910,4365,,
258,938,4514,,
261,939,4517,,
263,973,4631,,
272,1002,4781,,
273,1004,4785,,
274,1007,4800,,
275,1013,4830,,
276,1014,4831,,
278,1021,4856,,
280,1024,4876,155,
282,1031,4954,182,
283,1031,4955,182,
284,1031,4956,182,
285,1031,4957,182,
286,1031,4958,182,
287,1031,4959,182,
293,1037,5008,,
295,1044,5037,,
296,1045,5042,,
297,1045,5043,,
300,1050,5077,,
302,1053,5083,,
305,1045,5093,,
309,1056,5104,,
310,1056,5105,,
311,1056,5106,,
313,1069,5180,,
315,1075,5214,,
316,1082,5234,,
317,1083,5235,,
318,1084,5242,,
320,1090,5268,,
331,1010,5408,,
332,1120,5420,,
335,1045,5449,,
336,1136,5492,,
337,1136,5493,,
338,399,5500,206,
341,1142,5549,,136
342,1142,5550,,
343,1033,5552,207,
344,1033,5555,,
345,1149,5580,211,136
346,1149,5581,211,
347,1150,5584,,
349,1158,5631,,
352,1165,5691,,
354,1174,5746,,
355,1176,5755,,
356,1136,5771,,
357,1184,5778,,
358,1181,5779,182,
359,1194,5811,,
360,1196,5816,,
366,1204,5864,,
367,1216,5943,,
369,1223,6011,,
370,1223,6012,,104
372,1226,6057,12,
375,1267,6260,,
386,1277,6272,,
398,1295,6329,,
399,1296,6330,,
400,1297,6331,,
401,1298,6332,,
402,1292,6333,,
403,1299,6334,,
404,1294,6335,,
405,1300,6336,,
406,1301,6338,,
407,1302,6339,,
408,1303,6340,,
409,1304,6341,,
410,1305,6362,,
412,1308,6365,,
413,1308,6366,,
414,1312,6397,,
415,1319,6438,,
424,607,6749,,219
425,1351,6785,,
427,1352,6789,,
431,1357,6835,,
432,1357,6836,,
433,1357,6837,,
434,1357,6838,,
437,1361,6852,,
439,1364,6887,,
440,1378,6962,,
441,1379,6964,,
442,1332,6968,,
443,1385,7034,,
445,1384,7043,,
446,1370,7044,,
447,1327,7097,,
448,1330,7098,,
449,1333,7099,,
450,1331,7100,,
451,1334,7101,,
469,1430,7290,,
484,1415,7355,,
494,1448,7432,,
500,1465,7538,,
501,1465,7539,,
502,1465,7540,,
507,1486,7694,,
508,1489,7710,,
509,1490,7725,,
510,1490,7726,,
513,1497,7765,,
515,1500,7783,,
516,1500,7784,,
517,1500,7785,,
519,1515,7855,,
520,1516,7857,,
522,1524,7899,,239
525,1539,7995,,
529,1542,8055,,
530,1553,8102,,
531,1554,8103,,
532,1406,8126,,
533,1562,8145,,
534,1563,8146,,
537,1432,8171,239,
538,1432,8178,239,
542,1509,8221,,
545,1524,8368,239,
546,1590,8371,,
547,1594,8383,,
549,1607,8462,265,
550,1598,8463,266,
551,1599,8464,267,
555,1609,8492,,
559,1618,8564,,
561,922,8616,,
562,1627,8645,,
565,1643,8755,,
567,1646,8765,,
570,1646,8768,,
572,1643,8773,,
576,1647,8792,,
577,629,8816,,
579,1651,8854,285,
581,1653,8859,285,
583,1656,8883,,
585,1656,8960,,
589,1665,8971,,
594,1632,9054,,
596,1684,9131,,
601,1687,9150,,
603,1695,9227,,
608,1715,9383,,
609,1716,9423,,
610,1718,9424,,
611,1719,9437,,
629,1727,9524,,
630,1731,9559,,
631,1734,9577,,
632,1733,9583,,
636,1737,9607,,
638,1738,9611,,
640,1750,9673,,
641,1751,9679,,
645,1480,9698,,
646,1742,9720,,
647,1742,9722,,
648,1683,9734,,
649,1683,9753,,
650,1767,9780,,
651,1769,9796,,
655,1775,9832,,
656,1782,9877,,
660,1785,9890,,
670,1801,9988,,
671,1803,9990,,
672,884,10109,,
683,1663,10136,,
684,1831,10137,,
690,1846,10240,,
695,1842,10278,,
696,1867,10353,,
701,1888,10500,,1119
702,1889,10501,,1119
703,1890,10502,,1119
704,1891,10503,,1119
710,1882,10530,,
712,1908,10583,,
713,1908,10585,,
714,702,10587,,1119
715,703,10588,,1119
716,704,10589,,1119
717,705,10590,,1119
719,1918,10652,,
720,1924,10715,,
721,1929,10759,,
722,1930,10760,,
723,1754,10762,,
725,1483,10838,,
733,1944,10916,,313
737,1946,10923,,
746,1957,11026,,
749,1974,11176,,
755,1734,11256,323,
760,1970,11305,,
761,1967,11306,,
763,1985,11310,,
767,1987,11331,,
771,1991,11356,,
774,1799,11374,,
775,1799,11375,,
776,1993,11376,,
781,1996,11414,,
787,2014,11490,,136
788,2014,11491,,136
792,2018,11500,,
796,1711,11613,,
797,1710,11614,,
798,1709,11615,,
799,1754,11618,,
800,2032,11625,,
801,2033,11628,,
803,2037,11663,,
805,2044,11708,,
806,2045,11709,,
809,1800,11753,,
812,2059,11794,336,
813,2058,11795,337,
814,2060,11797,,
815,2065,11806,,
819,2103,11898,,
820,2106,11912,,
823,2124,11960,,
824,2133,11981,,
826,2134,12010,,
830,2146,12037,,
833,2156,12066,,
838,656,12124,,141
839,2169,12126,155,
840,657,12128,,141
841,658,12129,,141
842,659,12130,,141
843,660,12131,,141
844,2174,12134,155,
845,661,12136,,142
846,662,12137,,142
847,664,12139,,142
848,663,12141,,142
849,2176,12143,155,
850,665,12144,,143
851,666,12145,,143
852,667,12146,,143
853,2177,12153,155,
859,2183,12175,,141
860,2184,12176,,141
861,2185,12177,,141
862,2186,12178,,141
863,2187,12179,,141
864,2188,12180,155,
865,2189,12187,,142
866,2190,12188,,142
867,2191,12189,,142
868,2192,12190,,142
869,2193,12191,155,
870,2194,12197,,143
871,2195,12198,,143
872,2196,12199,,143
873,2197,12200,155,
875,2199,12206,,359
876,2200,12207,155,
877,1831,12212,294,
880,2204,12232,,
881,2204,12235,,
884,2204,12243,,
890,2158,12297,,
891,169,12301,,365
896,2233,12395,,
897,2242,12447,,
898,2245,12481,321,
901,2248,12494,,
903,2252,12541,,
907,2259,12592,294,
908,2260,12599,,
909,2262,12605,,
910,2264,12612,,
912,2273,12679,100,
913,2274,12688,,
914,2287,12753,,
915,2151,12785,,
916,2151,12786,,
917,2292,12815,,
921,2250,12864,,
924,2303,12879,,
927,2303,12882,,
929,2218,12920,,
931,2310,12940,,
932,2324,12973,,
933,2326,12981,,
936,2211,13066,341,
939,2343,13074,,
941,2100,13078,341,
942,2100,13080,341,
943,2211,13081,341,
946,2340,13128,,
947,789,13131,,
948,1068,13137,,
949,2362,13165,,
950,2363,13166,,
953,2369,13217,,386
954,2378,13367,,
955,2378,13368,,104
956,2379,13369,,
960,2387,13397,,
961,2392,13446,,
962,2395,13470,,
963,2398,13503,,
965,2401,13522,321,
966,2403,13539,,
969,2428,13812,,
972,2433,13823,,
986,250,13896,,
1006,2480,14273,,
1007,2493,14389,,
1013,2523,14570,,
1015,2526,14575,,
1016,2529,14585,,219
1018,2529,14587,,219
1021,2538,14620,,
1023,2487,14623,,
1024,2547,14638,,
1026,2556,14712,,
1027,2557,14716,,
1032,2568,14780,,
1033,2568,14781,,
1034,2568,14782,,
1037,2573,14805,,
1038,2574,14809,,
1040,2575,14813,,
1050,1658,15017,,
1052,2612,15026,,
1060,2648,15174,,
1064,2663,15238,,
1065,2666,15240,,
1066,2670,15251,,
1068,2682,15326,,
1069,2634,15343,,
1072,2687,15350,,
1073,2695,15412,,
1074,2699,15431,,
1075,2700,15437,,
1076,2709,15468,,
1079,2702,15496,,
1083,2722,15520,,
1087,2731,15558,,
1088,2728,15564,,
1089,2734,15566,,
1091,2737,15577,,
1092,2737,15578,,
1093,2737,15579,,
1095,2655,15607,,
1096,2745,15627,,
1097,2746,15629,,
1098,2746,15630,,
1099,2746,15631,,
1100,2748,15645,,
1101,2664,15664,,
1104,1440,15673,,
1105,1440,15674,,
1106,2750,15694,,
1109,1682,15766,,
1110,2643,15774,,
1113,2771,15841,,
1116,2783,15900,,
1117,2805,15959,,
1118,2806,15960,,
1119,2807,15961,,
1120,2808,15962,,
1121,2809,15963,,
1122,2810,15964,,
1123,2813,16002,,
1124,2814,16003,,
1125,2815,16004,,
1126,2816,16005,,
1127,2817,16006,,
1128,2818,16007,,
1129,2823,16022,,
1130,2824,16023,,
1131,2825,16024,,
1132,2826,16025,,
1133,2827,16026,,
1134,2828,16027,,
1141,2835,16068,,
1144,2836,16077,,
1145,2837,16078,,
1146,2838,16079,,
1147,2839,16080,,
1148,2840,16081,,
1149,2841,16082,,
1150,649,16111,,
1152,649,16117,,
1153,2850,16130,,
1154,2497,16142,,
1155,2869,16258,,
1156,2870,16259,,
1159,2863,16347,,
1162,2860,16428,,
1163,2860,16429,,
1168,2914,16577,,
1172,398,16646,483,
1173,2925,16693,,
1174,2925,16694,,
1176,2965,16820,,
1185,2993,16923,321,
1186,2994,17000,,
1193,3007,17145,,
1194,3012,17154,,
1195,1472,17207,,
1196,1471,17213,,
1198,1568,17233,,
1199,1569,17243,,
1200,3027,17255,,
1203,3031,17289,,
1204,2560,17291,,
1205,2966,17308,,
1206,2971,17309,,
1207,3036,17316,,
1210,3040,17347,,
1211,3045,17407,,
1212,3079,17591,,
1213,3080,17593,,
1215,3086,17616,,136
1216,3093,17683,,
1219,3099,17709,,
1220,3100,17715,,
1223,3107,17771,,
1230,1326,17841,,
1232,1325,17849,,
1233,3120,17859,,
1235,3123,17883,,
1236,3056,17903,,
1237,3129,17932,,
1248,3139,17952,,
1250,3144,17989,,142
1251,3042,17999,,
1256,3161,18112,,
1257,3175,18245,,
1259,3177,18376,,
1260,3217,18380,,
1261,3445,18439,,
1262,3446,18440,,
1263,3447,18441,,
1264,3448,18442,,
1265,3449,18443,,
1266,3455,18477,,
1267,3456,18479,,
1272,3535,18587,,
1273,3536,18589,,
1276,3548,18642,,
1277,3553,18687,,
1278,3566,18766,,
