id,buff_id,event_id,effect_on_source,effect_id,use_damage_amount,use_original_source,target_buff_tag_id,target_no_buff_tag_id,synergy
22,114,6,f,630,f,t,,,f
23,182,6,f,661,f,f,,116,f
27,187,6,f,670,f,f,,,f
39,224,6,t,956,f,f,,,f
47,182,4,f,1567,f,f,,,f
56,397,6,t,2061,f,f,,,f
58,437,6,t,2181,f,f,,,f
67,166,6,f,2354,f,f,,,f
68,250,6,f,2355,f,f,,,f
69,2,12,f,2372,f,f,,,f
70,492,6,f,2382,f,f,,,f
73,496,4,f,2394,f,f,,,f
76,256,6,f,2410,f,f,,,f
77,520,6,t,2494,f,f,,,f
80,419,6,f,2499,f,f,,,f
81,419,6,f,2500,f,f,,,f
84,522,6,t,2505,f,f,,,f
88,524,6,f,2515,f,f,,,f
90,525,6,f,2521,f,f,,,f
92,526,6,t,2524,f,f,,,f
95,526,6,t,2527,f,f,,,f
96,526,6,t,2528,f,f,,,f
97,526,6,f,2530,f,f,,,f
103,527,6,f,2539,f,f,,,f
104,527,6,f,2540,f,f,,,f
105,527,6,f,2541,f,f,,,f
120,579,6,t,2740,f,f,,,f
121,583,6,f,2759,f,f,,,f
136,593,4,f,2830,f,f,,,f
137,593,6,t,2836,f,f,,,f
140,603,6,t,2841,f,f,,,f
146,610,6,t,2889,f,f,,,f
147,413,6,t,2904,f,f,,,f
148,613,6,t,2907,f,f,,,f
156,620,6,t,2981,f,f,,,f
159,498,4,f,2986,t,f,,,f
162,624,6,t,2996,f,f,,,f
166,432,6,t,3042,f,f,,,f
170,629,6,t,3050,f,f,,,f
173,634,6,t,3093,f,f,,,f
174,637,6,t,3098,f,f,,,f
175,638,6,f,3101,f,f,,,f
176,639,6,t,3102,f,f,,,f
177,640,6,t,3104,f,f,,,f
179,642,6,t,3108,f,f,,,f
180,643,6,t,3113,f,f,,,f
181,644,6,f,3120,f,f,,,f
182,645,6,t,3121,f,f,,,f
183,646,6,t,3126,f,f,,,f
185,647,6,t,3130,f,f,,,f
186,648,6,t,3133,f,f,,,f
187,652,6,t,3147,f,f,,,f
188,653,6,t,3149,f,f,,,f
189,653,6,t,3150,f,f,,,f
190,631,6,f,3154,f,f,,,f
193,669,6,t,3221,f,f,,,f
195,682,6,t,3269,f,f,,,f
197,720,6,t,3392,f,f,,,f
198,722,6,t,3395,f,f,,,f
203,725,6,t,3403,f,f,,,f
204,726,6,t,3406,f,f,,,f
205,726,6,t,3407,f,f,,,f
208,729,6,t,3419,f,f,,,f
210,727,6,t,3433,f,f,,,f
211,735,6,f,3440,f,f,,,f
217,746,6,t,3556,f,f,,,f
218,746,6,t,3557,f,f,,,f
220,753,4,f,3569,t,f,,,f
223,768,6,f,3664,f,f,,,f
225,775,6,t,3702,f,f,,,f
226,775,6,t,3703,f,f,,,f
227,776,6,t,3704,f,f,,,f
235,797,6,t,3825,f,f,,,f
236,770,6,t,3918,f,f,,,f
241,824,6,t,3960,f,t,,,f
244,96,6,f,4030,f,f,,,f
251,53,4,f,4088,t,f,,,f
252,331,4,f,4091,t,f,,,f
253,332,4,f,4092,t,f,,,f
254,333,4,f,4093,t,f,,,f
255,334,4,f,4095,t,f,,,f
256,445,4,f,4096,t,f,,,f
257,446,4,f,4097,t,f,,,f
258,447,4,f,4098,t,f,,,f
259,448,4,f,4099,t,f,,,f
260,867,6,t,4127,f,f,,,f
272,871,3,t,4175,t,f,,,f
274,878,6,t,4193,f,f,,,f
275,878,6,t,4194,f,f,,,f
278,782,6,f,4215,f,f,,,f
279,782,6,f,4216,f,f,,,f
281,882,3,t,4235,t,f,,,f
288,884,6,f,4252,f,f,,,f
292,890,6,t,4268,f,f,,,f
295,886,8,f,4299,f,f,,,f
298,587,6,t,4325,f,f,,,f
300,587,6,f,4327,f,f,,,f
302,907,6,f,4344,f,f,,,f
307,908,6,f,4351,f,f,,,f
311,910,6,f,4366,f,f,,,f
331,941,6,t,4525,f,f,,,f
332,945,6,t,4537,f,f,,,f
333,944,6,t,4538,f,f,,,f
334,943,6,t,4539,f,f,,,f
336,951,6,f,4542,f,f,,,f
337,952,6,t,4543,f,f,,,f
340,957,6,t,4566,f,f,,,f
343,940,6,t,4571,f,f,,,f
344,806,3,t,4576,t,f,,,f
345,965,6,t,4579,f,f,,,f
346,966,6,t,4583,f,f,,,f
347,967,6,t,4584,f,f,,,f
349,968,6,t,4588,f,f,,,f
350,777,6,f,4603,f,t,,,f
351,777,6,f,4604,f,f,,,f
356,974,6,f,4649,f,f,,,f
365,981,6,t,4708,f,f,,,f
366,981,6,f,4709,f,f,,,f
368,983,6,t,4716,f,f,,,f
369,984,6,t,4727,f,f,,,f
370,867,6,t,4731,f,f,,,f
371,985,6,t,4738,f,f,,,f
372,988,6,t,4747,f,f,,,f
373,997,6,f,4763,f,f,,,f
374,997,6,f,4764,f,f,,,f
375,998,6,t,4777,f,f,,,f
385,1017,6,t,4849,f,f,,,f
386,1018,2,f,4850,f,f,,,f
389,1023,6,f,4871,f,f,,,f
390,1025,6,t,4878,f,f,,,f
391,559,6,t,4881,f,f,,,f
392,559,6,t,4883,f,f,,,f
393,559,6,t,4884,f,f,,,f
394,559,6,t,4885,f,f,,,f
408,1027,6,f,4909,f,f,,,f
409,1028,6,f,4914,f,f,,,f
413,1033,6,t,4967,f,f,,,f
414,979,6,t,4977,f,f,,,f
415,979,6,t,4978,f,f,,,f
416,1036,6,t,4993,f,f,,,f
418,1038,6,t,5005,f,f,,,f
420,1042,6,t,5020,f,f,,,f
421,1044,6,t,5038,f,f,,,f
425,1046,6,t,5053,f,f,,,f
428,1057,6,t,5107,f,f,,,f
429,1059,6,t,5115,f,f,,,f
432,1063,6,t,5133,f,f,,,f
437,1071,6,t,5188,f,f,,,f
439,1076,6,t,5215,f,f,,,f
443,1087,4,f,5254,f,f,,,f
444,1088,4,f,5257,f,f,,,f
445,1091,6,t,5272,f,f,,,f
446,1092,6,t,5273,f,f,,,f
447,1092,6,t,5274,f,f,,,f
452,1094,6,t,5293,f,f,,,f
453,1090,6,t,5297,f,f,,,f
456,1099,6,t,5334,f,f,,,f
458,1111,6,f,5354,f,f,,,f
460,1113,6,t,5379,f,f,,,f
462,1116,6,f,5397,f,f,,,f
463,1116,6,f,5398,f,f,,,f
465,1121,6,t,5425,f,f,,,f
467,1123,2,f,5431,f,f,,,f
468,1129,6,f,5467,f,f,,,f
469,1129,6,f,5468,f,f,,,f
472,437,6,t,5473,f,f,,,f
477,1135,6,t,5486,f,f,,,f
478,1137,6,f,5495,f,f,,,f
481,522,6,t,5522,f,f,,,f
482,522,6,t,5523,f,f,,,f
484,1141,6,t,5538,f,f,,,f
485,1145,6,t,5560,f,f,,,f
486,1145,6,t,5561,f,f,,,f
489,1096,6,t,5586,f,f,,,f
490,1096,6,t,5587,f,f,,,f
491,1096,6,t,5588,f,f,,,f
492,1151,6,t,5591,f,f,,,f
496,1154,6,t,5605,f,f,,,f
497,1158,6,t,5630,f,f,,,f
498,1159,6,t,5634,f,f,,,f
499,1157,6,t,5635,f,f,,,f
500,1162,6,t,5641,f,f,,,f
503,1167,6,t,5694,f,f,,,f
504,1169,6,t,5703,f,f,,,f
505,1171,6,t,5710,f,f,,,f
515,1143,6,t,5826,f,f,,,f
517,1203,6,t,5850,f,f,,,f
