id,source_sound_material_id,target_sound_material_id,sound_id,fx_group_id
1,15,1,124,1010
2,16,1,131,1010
3,17,1,100,1010
4,18,1,750,1010
5,19,1,165,1010
6,20,1,165,1010
7,21,1,151,1010
8,22,1,772,1010
9,23,1,761,1010
10,24,1,105,1147
11,25,1,1181,1010
12,26,1,165,1010
13,27,1,151,1010
14,28,1,151,
15,15,2,124,1010
16,16,2,131,1010
17,17,2,100,1010
18,18,2,750,1010
19,19,2,165,1010
20,20,2,165,1010
21,21,2,151,1010
22,22,2,772,1010
23,23,2,761,1010
24,24,2,105,1147
25,25,2,1181,1010
26,26,2,165,1010
27,27,2,151,1010
28,28,2,151,
29,15,3,124,1145
30,16,3,131,1145
31,17,3,100,1145
32,18,3,750,1145
33,19,3,165,1145
34,20,3,165,1145
35,21,3,151,1145
36,22,3,772,1145
37,23,3,761,1145
38,24,3,105,1150
39,25,3,1181,1145
40,26,3,165,1145
41,27,3,151,1145
42,28,3,151,
43,15,4,1195,1145
44,16,4,1062,1145
45,17,4,1191,1145
46,18,4,1193,1145
47,19,4,165,1145
48,20,4,165,1145
49,21,4,1194,1145
50,22,4,772,1145
51,23,4,1192,1145
52,24,4,1205,1150
53,25,4,1181,1010
54,26,4,165,1010
55,27,4,151,1010
56,28,4,151,
57,15,5,127,1143
58,16,5,136,1143
59,17,5,747,1143
60,18,5,757,1143
61,19,5,165,1143
62,20,5,165,1143
63,21,5,316,1143
64,22,5,779,1143
65,23,5,768,1143
66,24,5,108,1151
67,25,5,1187,1143
68,26,5,165,1143
69,27,5,316,1143
70,28,5,316,
71,15,6,314,1142
72,16,6,315,1142
73,17,6,310,1142
74,18,6,754,1142
75,19,6,165,1142
76,20,6,165,1142
77,21,6,313,1142
78,22,6,776,1142
79,23,6,765,1142
80,24,6,311,1149
81,25,6,1184,1142
82,26,6,165,1142
83,27,6,313,1142
84,28,6,313,
85,15,7,129,1146
86,16,7,138,1146
87,17,7,309,1146
88,18,7,756,1146
89,19,7,165,1146
90,20,7,165,1146
91,21,7,123,1146
92,22,7,778,1146
93,23,7,767,1146
94,24,7,110,1153
95,25,7,1189,1146
96,26,7,165,1146
97,27,7,123,1146
98,28,7,123,1146
99,15,8,126,1141
100,16,8,135,1141
101,17,8,102,1141
102,18,8,755,1141
103,19,8,165,1141
104,20,8,165,1141
105,21,8,121,1141
106,22,8,777,1141
107,23,8,766,1141
108,24,8,107,1148
109,25,8,1186,1141
110,26,8,165,1141
111,27,8,121,0
112,28,8,121,0
113,15,9,128,1144
114,16,9,137,1144
115,17,9,746,1144
116,18,9,758,1144
117,19,9,165,1144
118,20,9,165,1144
119,21,9,122,1144
120,22,9,780,1144
121,23,9,769,1144
122,24,9,109,1152
123,25,9,1188,1144
124,26,9,165,1144
125,27,9,122,1144
126,28,9,122,
127,15,10,124,1010
128,16,10,131,1010
129,17,10,100,1010
130,18,10,750,1010
131,19,10,165,1010
132,20,10,165,1010
133,21,10,151,1010
134,22,10,772,1010
135,23,10,761,1010
136,24,10,105,1147
137,25,10,1181,1010
138,26,10,165,1010
139,27,10,151,1010
140,28,10,151,1011
141,15,11,124,0
142,16,11,131,0
143,17,11,100,0
144,18,11,750,0
145,19,11,165,0
146,20,11,165,0
147,21,11,151,0
148,22,11,773,0
149,23,11,761,0
150,24,11,105,0
151,25,11,1181,
152,26,11,165,0
153,27,11,151,0
154,28,11,151,0
155,15,12,165,
156,16,12,165,
157,17,12,165,
158,18,12,165,
159,19,12,165,
160,20,12,165,
161,21,12,165,
162,22,12,165,
163,23,12,165,
164,24,12,165,
165,25,12,165,
166,26,12,165,
167,27,12,165,
168,28,12,165,
169,15,13,307,1141
170,16,13,133,1141
171,17,13,303,1141
172,18,13,753,1141
173,19,13,165,1141
174,20,13,165,1141
175,21,13,306,1141
176,22,13,775,1141
177,23,13,764,1141
178,24,13,304,1148
179,25,13,1185,1141
180,26,13,165,1141
181,27,13,306,1141
182,28,13,306,1141
183,15,14,305,0
184,16,14,130,0
185,17,14,308,0
186,18,14,749,0
187,19,14,165,0
188,20,14,165,0
189,21,14,120,0
190,22,14,771,0
191,23,14,760,0
192,24,14,104,0
193,25,14,1183,
194,26,14,165,0
195,27,14,120,0
196,28,14,120,0
197,15,15,158,0
198,16,15,162,0
199,17,15,141,0
200,18,15,759,0
201,19,15,165,0
202,20,15,165,0
203,21,15,91,0
204,22,15,781,0
205,23,15,770,0
206,24,15,91,0
207,25,15,162,0
208,26,15,165,0
209,27,15,91,0
210,28,15,91,0
211,15,16,162,0
212,16,16,164,0
213,17,16,164,0
214,18,16,164,0
215,19,16,165,0
216,20,16,165,0
217,21,16,164,0
218,22,16,164,0
219,23,16,164,0
220,24,16,164,0
221,25,16,164,0
222,26,16,165,0
223,27,16,164,0
224,28,16,164,0
225,15,17,141,0
226,16,17,139,0
227,17,17,139,0
228,18,17,139,0
229,19,17,165,0
230,20,17,165,0
231,21,17,139,0
232,22,17,139,0
233,23,17,139,0
234,24,17,139,0
235,25,17,139,0
236,26,17,165,0
237,27,17,139,0
238,28,17,139,0
239,15,18,759,0
240,16,18,156,0
241,17,18,156,0
242,18,18,156,0
243,19,18,165,0
244,20,18,165,0
245,21,18,156,0
246,22,18,156,0
247,23,18,156,0
248,24,18,156,0
249,25,18,156,0
250,26,18,165,0
251,27,18,156,0
252,28,18,156,0
253,15,19,165,0
254,16,19,165,0
255,17,19,165,0
256,18,19,165,0
257,19,19,165,0
258,20,19,165,0
259,21,19,165,0
260,22,19,165,0
261,23,19,165,0
262,24,19,165,0
263,25,19,165,0
264,26,19,165,0
265,27,19,165,0
266,28,19,165,0
267,15,20,165,0
268,16,20,165,0
269,17,20,165,0
270,18,20,165,0
271,19,20,165,0
272,20,20,165,0
273,21,20,165,0
274,22,20,165,0
275,23,20,165,0
276,24,20,165,0
277,25,20,165,0
278,26,20,165,0
279,27,20,165,0
280,28,20,165,0
281,15,21,91,0
282,16,21,91,
283,17,21,91,
284,18,21,91,
285,19,21,165,0
286,20,21,165,0
287,21,21,91,0
288,22,21,91,
289,23,21,91,
290,24,21,91,0
291,25,21,91,0
292,26,21,165,
293,27,21,91,0
294,28,21,91,0
295,15,22,781,0
296,16,22,782,0
297,17,22,782,0
298,18,22,782,0
299,19,22,165,0
300,20,22,165,0
301,21,22,782,0
302,22,22,782,0
303,23,22,782,0
304,24,22,782,0
305,25,22,782,0
306,26,22,165,0
307,27,22,782,0
308,28,22,782,0
309,15,23,770,0
310,16,23,159,0
311,17,23,159,0
312,18,23,159,0
313,19,23,165,0
314,20,23,165,0
315,21,23,159,0
316,22,23,159,0
317,23,23,159,0
318,24,23,159,0
319,25,23,159,0
320,26,23,165,0
321,27,23,159,0
322,28,23,159,0
323,15,24,165,0
324,16,24,165,
325,17,24,165,
326,18,24,165,0
327,19,24,165,0
328,20,24,165,0
329,21,24,165,0
330,22,24,165,
331,23,24,165,0
332,24,24,165,0
333,25,24,165,0
334,26,24,165,
335,27,24,165,0
336,28,24,165,0
337,15,25,1190,
338,16,25,1190,
339,17,25,1190,
340,18,25,1190,
341,19,25,165,0
342,20,25,165,0
343,21,25,165,
344,22,25,1190,
345,23,25,1190,
346,24,25,1190,
347,25,25,1190,
348,26,25,165,0
349,27,25,1190,
350,28,25,165,
351,15,26,165,0
352,16,26,165,0
353,17,26,165,0
354,18,26,165,0
355,19,26,165,0
356,20,26,165,0
357,21,26,165,0
358,22,26,165,0
359,23,26,165,0
360,24,26,165,0
361,25,26,165,0
362,26,26,165,0
363,27,26,165,0
364,28,26,165,0
365,15,27,165,0
366,16,27,165,0
367,17,27,165,0
368,18,27,165,0
369,19,27,165,0
370,20,27,165,0
371,21,27,165,0
372,22,27,165,0
373,23,27,165,0
374,24,27,165,0
375,25,27,165,0
376,26,27,165,0
377,27,27,165,0
378,28,27,165,0
379,15,28,165,0
380,16,28,165,
381,17,28,165,
382,18,28,165,
383,19,28,165,0
384,20,28,165,0
385,21,28,165,0
386,22,28,165,
387,23,28,165,
388,24,28,165,0
389,25,28,165,0
390,26,28,165,
391,27,28,165,0
392,28,28,165,0
