zone_group_id,num_kills_0,num_kills_1,num_kills_2,num_kills_3,num_kills_4,no_kill_min_0,no_kill_min_1,no_kill_min_2,no_kill_min_3,no_kill_min_4,conflict_min,war_min,peace_min,peace_protected_faction_id,nuia_return_point_id,harihara_return_point_id,war_tower_def_id
17,70,100,140,190,250,0,0,0,0,0,5,80,120,5,461,459,
16,70,100,140,190,250,0,0,0,0,0,5,80,120,5,466,368,
14,70,100,140,190,250,0,0,0,0,0,5,80,120,5,468,346,
15,70,100,140,190,250,0,0,0,0,0,5,80,120,5,476,394,
19,70,100,140,190,250,0,0,0,0,0,5,80,120,5,427,431,
20,70,100,140,190,250,0,0,0,0,0,5,80,120,5,186,440,
26,70,100,140,190,250,0,0,0,0,0,5,80,120,5,452,448,
27,70,100,140,190,250,0,0,0,0,0,5,80,120,5,321,447,
23,70,100,140,190,250,0,0,0,0,0,5,80,120,5,364,492,
39,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,
36,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,
22,70,100,140,190,250,0,0,0,0,0,5,80,240,5,180,442,
59,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,
60,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,
