id,wi_id
1,22
2,22
3,22
4,22
5,22
6,21
7,23
8,24
9,25
10,96
11,98
16,43
17,51
19,67
20,84
21,22
23,73
25,42
26,67
27,40
28,43
29,40
30,42
31,42
32,43
33,40
34,40
35,57
36,84
37,51
38,0
39,48
40,51
41,51
42,53
43,57
44,57
45,80
46,53
47,60
48,84
50,0
51,60
52,56
53,40
55,20
60,84
62,84
65,41
66,84
67,84
68,84
69,53
70,53
71,53
72,53
73,53
74,63
75,42
76,62
77,48
78,62
79,62
80,62
81,62
82,48
83,48
84,48
85,48
86,63
87,63
88,63
89,63
90,42
91,42
92,42
93,42
94,67
95,67
96,67
97,67
98,44
99,84
100,84
101,51
102,51
103,51
104,51
105,51
106,62
107,62
108,62
109,62
110,62
111,40
112,40
113,40
114,51
115,51
116,51
117,43
118,43
119,43
120,43
121,43
122,0
123,0
124,0
125,0
126,43
127,43
128,43
129,43
130,67
131,67
132,67
133,67
134,56
135,56
136,56
137,56
138,43
139,43
140,43
141,43
142,43
143,40
144,43
145,40
148,40
149,40
150,40
151,40
152,43
153,43
154,43
155,43
156,43
158,41
159,53
161,53
164,43
165,67
167,84
168,84
169,51
170,62
171,62
172,62
173,62
174,62
175,43
176,43
177,43
178,43
179,43
180,43
181,43
182,43
183,43
184,43
185,43
186,0
187,0
188,43
189,43
190,43
191,43
192,56
193,56
194,56
195,56
196,67
197,67
198,67
199,67
200,43
201,43
202,43
203,43
204,43
205,43
206,43
207,43
208,43
209,43
210,43
211,43
212,43
213,43
214,43
215,43
216,51
217,51
218,43
219,51
220,53
221,51
222,51
223,79
224,79
225,79
226,42
227,51
228,48
229,42
230,63
231,67
232,62
233,48
234,62
235,67
236,63
237,42
238,79
239,79
240,51
241,62
242,79
248,79
249,60
250,60
251,62
252,63
253,67
254,40
255,79
256,53
257,53
258,53
259,53
260,53
261,53
262,53
263,53
264,53
265,53
266,53
267,53
268,53
269,53
270,53
271,53
272,63
273,63
274,62
275,60
276,63
277,62
278,43
279,79
280,56
281,40
282,62
283,19
285,43
286,62
287,51
288,60
289,60
290,43
291,42
292,67
293,48
294,62
295,63
296,56
297,60
298,60
300,41
301,43
302,51
303,53
304,62
305,79
306,43
307,43
308,79
309,43
310,79
312,40
314,37
315,37
317,48
318,63
319,63
8000001,51
