id,craft_id,item_id,amount,main_grade
3,3,4747,1,f
4,3,8035,15,f
5,4,4747,1,f
6,4,19944,30,f
7,5,4747,1,f
8,5,19947,50,f
9,6,4747,1,f
10,6,3622,50,f
13,7,4747,1,f
14,7,16268,50,f
18,8,4747,1,f
19,8,3685,150,f
22,9,4747,1,f
23,9,8357,200,f
24,10,4747,1,f
25,10,1386,2,f
26,11,4747,1,f
27,11,8343,30,f
30,13,4747,1,f
31,13,8343,30,f
32,14,4747,1,f
33,14,8013,100,f
36,15,4747,1,f
37,15,3667,100,f
41,16,4747,1,f
42,16,14620,15,f
45,17,4747,1,f
46,17,3359,5,f
47,18,4747,1,f
48,18,8057,5,f
49,20,4747,1,f
50,20,16273,20,f
51,21,4747,1,f
52,21,3628,100,f
53,22,4747,1,f
54,22,8053,100,f
57,23,4747,1,f
58,23,3713,80,f
62,24,4747,1,f
63,24,784,80,f
66,25,4747,1,f
67,25,14971,30,f
68,26,4747,1,f
69,26,8036,30,f
70,27,4747,1,f
71,27,3627,100,f
72,28,4747,1,f
73,28,15762,5,f
74,29,4747,1,f
75,29,8039,5,f
76,30,4747,1,f
77,30,15769,5,f
80,31,4747,1,f
81,31,2201,50,f
85,32,4747,1,f
86,32,3711,80,f
89,33,4747,1,f
90,33,3564,80,f
92,34,4747,1,f
93,34,8005,150,f
95,35,4747,1,f
96,35,8004,50,f
98,36,4747,1,f
99,36,14630,50,f
101,37,4747,1,f
102,37,8045,5,f
104,38,4747,1,f
105,38,8083,20,f
107,39,4747,1,f
108,39,19045,1,f
110,40,4747,1,f
111,40,7998,150,f
113,41,4747,1,f
114,41,3553,30,f
116,42,4747,1,f
117,42,15770,10,f
119,43,4747,1,f
120,43,14629,100,f
122,44,4747,1,f
123,44,8000,40,f
125,45,4747,1,f
126,45,3671,50,f
127,46,23710,1,f
130,47,23711,1,f
133,48,11115,1,f
134,48,8337,5,f
135,49,8022,3,f
137,50,26059,1,f
139,51,26059,1,f
141,52,26059,1,f
143,53,26059,1,f
145,54,26059,1,f
147,55,26059,1,f
149,56,26053,150,f
151,57,26054,150,f
153,58,26056,150,f
155,59,26055,150,f
157,60,26057,150,f
159,62,3353,3,f
160,64,8582,1,f
161,64,8337,10,f
162,64,19449,1,f
163,65,8584,1,f
164,65,8337,30,f
165,65,19407,1,f
166,66,8583,1,f
167,68,8587,1,f
168,68,16324,10,f
169,69,8588,1,f
171,70,4747,1,f
172,73,19948,40,f
173,73,4747,1,f
187,89,3433,10,f
188,91,8632,1,f
189,92,8633,1,f
190,93,8634,1,f
191,94,8635,1,f
192,95,8636,1,f
193,96,8637,1,f
194,97,7746,1,f
195,98,26769,10,f
196,99,26771,10,f
197,100,26770,10,f
198,101,3416,14,f
199,102,3420,14,f
200,103,3421,14,f
201,104,3425,14,f
202,105,8658,1,f
203,106,8659,1,f
204,107,8660,1,f
205,108,3419,14,f
206,109,3418,14,f
207,110,3427,14,f
209,112,3420,16,f
210,113,3430,16,f
217,120,3434,16,f
218,121,3437,16,f
223,126,4747,1,f
224,127,4747,1,f
225,128,8067,5,f
226,129,4747,1,f
227,130,4747,1,f
228,131,8343,30,f
229,132,4747,1,f
230,133,19905,4,f
231,134,4747,1,f
232,135,4747,1,f
233,136,4747,1,f
234,137,4747,1,f
235,138,4747,1,f
236,139,4747,1,f
237,140,4747,1,f
238,141,4747,1,f
239,142,4747,1,f
240,143,4747,1,f
241,144,4747,1,f
242,145,4747,1,f
243,146,4747,1,f
244,147,4747,1,f
245,148,4747,1,f
246,149,4747,1,f
247,150,4747,1,f
249,152,3431,2,f
250,153,8376,5,f
251,154,8376,5,f
252,155,3476,14,f
253,156,8318,5,f
254,157,19020,2,f
255,158,19468,1,f
256,159,17775,8,f
257,160,27365,2,f
258,161,19469,4,f
259,162,28208,1,f
260,163,28209,1,f
261,164,28210,1,f
262,165,3482,3,f
263,165,3484,2,f
264,165,3483,2,f
265,166,3487,5,f
266,166,3489,4,f
267,166,3488,4,f
268,167,3482,3,f
269,167,3484,2,f
270,167,3485,4,f
271,168,3487,5,f
272,168,3489,4,f
273,168,3490,4,f
274,169,3415,14,f
275,170,8318,3,f
276,171,3423,14,f
277,172,17775,1,f
278,181,3495,10,f
279,182,8337,5,f
280,183,3494,10,f
281,184,8337,10,f
284,187,3693,10,f
285,188,8318,3,f
286,189,3696,10,f
287,190,8318,3,f
288,191,3701,7,f
289,191,3376,1,f
290,192,16324,3,f
291,193,3701,10,f
292,194,8319,3,f
293,195,3697,10,f
294,196,3701,7,f
295,196,3377,1,f
296,197,3700,10,f
297,198,3741,6,f
298,198,3726,5,f
299,198,3735,5,f
300,199,3662,10,f
301,200,8589,1,f
302,200,8337,5,f
303,201,8590,1,f
304,201,8337,5,f
305,202,8591,1,f
306,202,8337,10,f
307,203,8592,1,f
308,203,8337,10,f
309,203,19449,1,f
310,203,15752,1,f
311,204,8593,1,f
312,204,8337,15,f
313,204,19407,1,f
314,204,15741,1,f
315,205,8594,1,f
316,205,8337,15,f
317,205,19407,1,f
318,206,8595,1,f
319,206,8337,15,f
320,207,8596,1,f
321,207,16324,3,f
322,208,8597,1,f
323,209,8598,1,f
324,209,16324,3,f
325,209,19408,1,f
326,209,8062,1,f
327,209,8256,2,f
328,210,8599,1,f
329,210,8337,15,f
330,211,8600,1,f
331,212,8601,1,f
332,213,8602,1,f
334,215,8604,1,f
335,216,8605,1,f
336,217,8606,1,f
337,218,8607,1,f
338,219,8608,1,f
339,220,8609,1,f
340,221,8610,1,f
341,222,8611,1,f
342,223,3609,15,f
343,224,3610,15,f
344,225,3615,15,f
345,226,3567,10,f
346,227,3597,10,f
347,228,3616,15,f
348,229,3619,15,f
349,230,3620,15,f
350,231,3621,15,f
351,232,3622,15,f
352,233,3623,15,f
353,234,3391,5,f
354,235,3438,9,f
355,235,3381,1,f
356,236,3670,5,f
358,237,3583,5,f
359,237,3388,3,f
360,238,3569,5,f
361,238,3388,3,f
362,239,3576,4,f
363,239,3582,3,f
364,239,3600,3,f
365,240,8612,1,f
366,240,8337,10,f
367,241,8613,1,f
368,241,8337,10,f
369,241,19449,1,f
370,242,8614,1,f
371,242,8337,20,f
372,243,8615,1,f
373,244,8616,1,f
374,244,8337,20,f
375,244,19449,1,f
376,245,8617,1,f
377,245,8337,20,f
378,246,8618,1,f
379,247,8619,1,f
380,247,8337,30,f
381,247,19407,1,f
383,248,8620,1,f
384,248,8337,30,f
385,249,8621,1,f
386,249,16324,5,f
387,249,19408,1,f
388,249,8062,1,f
390,250,8622,1,f
391,250,16324,5,f
392,251,8623,1,f
393,252,8624,1,f
394,252,8337,5,f
395,252,19408,1,f
398,254,8626,1,f
399,254,8337,30,f
400,254,19407,1,f
401,255,8627,1,f
402,255,16324,5,f
403,255,19408,1,f
404,256,8628,1,f
405,257,8629,1,f
406,258,8630,1,f
407,258,16324,10,f
408,258,19409,1,f
409,259,8631,1,f
410,259,16324,10,f
412,260,3510,2,f
413,260,3401,1,f
414,260,3628,2,f
415,261,3535,2,f
416,261,3549,3,f
417,261,3409,1,f
418,262,3380,2,f
419,262,3644,2,f
420,264,3375,2,f
421,264,3653,2,f
422,265,3375,2,f
423,265,3655,3,f
424,266,3382,1,f
425,266,3646,2,f
426,267,3384,1,f
427,267,3645,2,f
428,268,3379,1,f
429,268,3752,2,f
430,269,3374,1,f
431,269,3782,2,f
432,270,4747,1,f
433,270,3765,2,f
434,271,3382,1,f
435,271,3799,2,f
436,271,3772,2,f
437,272,3384,1,f
438,272,3798,2,f
439,272,3770,2,f
440,61,26058,150,f
442,173,3747,5,f
443,173,3376,2,f
444,174,8337,3,f
445,175,4101,8,f
446,175,3751,4,f
447,63,3354,2,f
448,176,8337,3,f
449,176,20174,2,f
450,176,19899,1,f
451,114,3425,16,f
452,177,3330,3,f
453,178,8337,3,f
454,178,20174,2,f
455,178,19901,1,f
457,179,3716,5,f
458,179,3381,3,f
459,180,8343,3,f
460,180,20174,2,f
461,180,19903,1,f
462,273,3143,4,f
463,273,3751,4,f
464,273,3759,4,f
465,274,3396,2,f
466,274,4747,1,f
467,274,3939,5,f
468,275,3718,1,f
469,275,3376,2,f
470,275,3377,2,f
471,67,8586,1,f
473,71,4747,1,f
474,72,15768,5,f
475,72,4747,1,f
477,74,16324,1,f
478,74,17775,1,f
480,75,26768,3,f
481,76,3331,4,f
482,277,24911,5,f
483,277,8008,5,f
484,277,8022,5,f
485,278,24912,3,f
486,278,8318,5,f
487,278,16351,5,f
489,281,24912,3,f
490,281,8343,4,f
491,281,19020,2,f
493,286,24911,2,f
494,286,8008,5,f
495,286,8022,3,f
501,288,24913,3,f
502,288,17774,5,f
503,288,16354,2,f
504,288,15620,3,f
505,289,24911,5,f
506,289,8008,5,f
507,289,8022,10,f
509,290,24912,3,f
510,290,8318,7,f
511,290,8082,1,f
513,291,24913,3,f
514,291,3332,5,f
515,291,15620,5,f
516,291,24916,3,f
517,292,24911,5,f
518,292,8008,5,f
519,292,8022,10,f
521,293,24912,3,f
522,293,8318,7,f
523,293,8082,1,f
525,294,24913,3,f
526,294,3332,5,f
527,294,15620,5,f
