id,name
1,1230.테스트용 제작대
2,2733.모험가의 쓸모있는 공구상자
3,2731.모험가의 쓸만한 가마솥
4,2663.여행자의 조잡한 공구상자
5,2649.여행자의 낡은 가마솥
6,2323.휴대용 모닥불(테스트)
7,1974.아로마의 약탕기
8,1972.가죽 갑옷 제작대
9,1927.초보자의 가죽 갑옷 제작대
10,1692.셀레스트의 약품 제작선반
11,1309.소형 범선 제작대
12,1230.테스트용 제작대
13,568.연금 물품 제작대
14,566.아키움 가공대
15,564.공예품 제작대
16,561.직조 선반
17,560.가죽 세공 선반
18,559.암석 가공대
19,558.목공 선반
20,557.용광로
21,532.목공 제작대
22,525.조리 기구
23,522.천 갑옷 제작대
24,521.갑옷 제작대
25,520.모루
26,291.QA 제작
27,274.ex) 제작
28,2235.빛나는 갑옷 제작대
29,2236.빛나는 가죽 갑옷 제작대
30,2237.빛나는 천 갑옷 제작대
31,2239.빛나는 목공 제작대
32,2240.빛나는 공예품 제작대
33,2241.빛나는 연금 물품 제작대
54,1918.빛나는 모루
55,4220.특산품 제작대: 솔즈리드 반도
56,4221.특산품 제작대: 그위오니드 숲
57,4222.특산품 제작대: 청동 바위산_미사용
58,4223.특산품 제작대: 무지개 벌판
59,4224.특산품 제작대: 매사냥 고원
60,4225.특산품 제작대: 태초의 요람_미사용
61,4226.특산품 제작대: 릴리엇 구릉지
62,4227.특산품 제작대: 불볕 황야_미사용
63,4228.특산품 제작대: 호랑이 등뼈 산맥
64,4229.특산품 제작대: 가랑돌 평원
65,4230.특산품 제작대: 마하데비
66,4231.특산품 제작대: 하얀 숲
67,4232.특산품 제작대: 동틀녘 반도
68,4233.특산품 제작대: 마리아노플
69,4234.특산품 제작대: 노래의 땅
70,4235.특산품 제작대: 두 왕관
71,4236.특산품 제작대: 고대의 숲
72,4237.특산품 제작대: 십자별 평원
73,4238.특산품 제작대: 이니스테르
74,4239.특산품 제작대: 황금 평원
75,4240.특산품 제작대: 지옥 늪지대
76,4241.특산품 제작대: 긴 모래톱
77,4242.특산품 제작대: 로카의 장기말들
78,4243.특산품 제작대: 초원의 띠
79,4244.특산품 제작대: 하리하랄라야의 폐허
80,4245.특산품 제작대: 하슬라
81,4246.특산품 제작대: 뼈의 땅_미사용
82,4250.빛나는 조리 기구
83,5900.하슬라 사냥터 전용 제작팩
84,6090.농부의 작업대
85,6156.소금상회 납품 서대륙
86,6157.소금상회 납품 동대륙
87,6322.신기루섬 장비 교환대
88,6312.제지기
89,6311.인쇄기
90,6387.연금 실험 도구
91,6454.하리하란 재봉 기계
92,6443.소형 용광로
93,5425.기념 물품 제작대
94,나차쉬가르 : 왜곡된 차원의 조합대
95,6824: 테스트용 모루
96,6872.빛나는 인쇄기
97,6926.미래의 약속 합성 제작대
98,6986.루루의 딱지
99,7005.천명의 깃발 제작대
100,6847.인스턴스_영원의 섬 입구
101,7119.초급자용 퀘스트 장비 제작_동부
102,7118.초급자용 퀘스트 장비 제작_서부
103,7121: 버려진 고대의 잔해
104,7123.명품관 상품 교환대
105,3587.붉은 용 퀘스트용
106,7088.용사의 증명 제작대
107,광복절 이벤트_빛을 되찾기 위한 제작대
108,7193.황금왕의 일요일
109,차량 개조 제작대
110,7278.농업용 달구지 업그레이드
111,7269.신규캐쉬팩(물약/외형변경/UCC장비)
112,7268.신규캐쉬팩(차량 정비복)
113,7285.별오름 암석 가공대
114,6501.보석 세공대
