id,craft_id,item_id,amount,rate,show_lower_crafts,use_grade,item_grade_id
2,3,24921,1,100,t,f,0
3,4,24922,1,100,t,f,0
4,5,24923,1,100,t,f,0
5,6,24924,1,100,t,f,0
6,7,24925,1,100,t,f,0
7,8,24926,1,100,t,f,0
8,9,24927,1,100,t,f,0
9,10,24928,1,100,t,f,0
10,11,24929,1,100,t,f,0
12,13,24931,1,100,t,f,0
13,14,24932,1,100,t,f,0
14,15,24933,1,100,t,f,0
15,16,24934,1,100,t,f,0
16,17,24935,1,100,t,f,0
17,18,24936,1,100,t,f,0
18,20,24938,1,100,t,f,0
19,21,24939,1,100,t,f,0
20,22,24940,1,100,t,f,0
21,23,24941,1,100,t,f,0
22,24,24942,1,100,t,f,0
23,25,24943,1,100,t,f,0
24,26,24944,1,100,t,f,0
25,27,24945,1,100,t,f,0
26,28,24946,1,100,t,f,0
27,29,24947,1,100,t,f,0
28,30,24948,1,100,t,f,0
29,31,24949,1,100,t,f,0
30,32,24950,1,100,t,f,0
31,33,24951,1,100,t,f,0
32,34,24952,1,100,t,f,0
33,35,24953,1,100,t,f,0
34,36,24954,1,100,t,f,0
35,37,24955,1,100,t,f,0
36,38,24956,1,100,t,f,0
37,39,24957,1,100,t,f,0
38,40,24958,1,100,t,f,0
39,41,24959,1,100,t,f,0
40,42,24960,1,100,t,f,0
41,43,24961,1,100,t,f,0
43,45,24963,1,100,t,f,0
44,46,23634,5,100,f,f,0
45,47,23633,5,100,f,f,0
46,48,14677,1,100,t,f,0
47,49,8318,1,100,t,f,0
48,50,26053,5,100,f,f,0
49,51,26054,5,100,f,f,0
50,52,26055,5,100,f,f,0
51,53,26056,5,100,f,f,0
52,54,26057,5,100,f,f,0
53,55,26058,5,100,f,f,0
54,56,26060,1,100,f,t,3
55,57,26061,1,100,f,t,3
56,58,26062,1,100,f,t,3
57,59,26063,1,100,f,t,3
58,60,26064,1,100,f,t,3
59,62,3144,18,100,f,f,0
60,64,4014,1,100,t,f,0
61,65,23638,1,100,t,f,0
62,66,25599,1,100,t,f,0
63,68,25433,1,100,t,f,0
64,69,25601,1,100,t,f,0
65,70,26096,1,100,t,f,0
66,73,26099,1,100,f,f,0
78,89,4867,1,100,t,f,0
79,91,25238,1,100,t,f,0
80,92,25240,1,100,t,f,0
81,93,25237,1,100,t,f,0
82,94,25241,1,100,t,f,0
83,95,8200,1,100,t,f,0
84,96,25239,1,100,t,f,0
85,97,26403,1,100,t,f,0
86,98,28182,1,100,f,f,0
87,99,28183,1,100,f,f,0
88,100,28184,1,100,f,f,0
89,101,3338,6,100,f,f,0
90,102,3338,6,100,f,f,0
91,103,3338,6,100,f,f,0
92,104,3338,6,100,f,f,0
93,105,125,1,100,t,f,0
94,106,126,1,100,t,f,0
95,107,17630,1,100,t,f,0
96,108,3339,6,100,f,f,0
97,109,3339,6,100,f,f,0
98,110,3339,6,100,f,f,0
100,112,3929,3,100,f,f,0
101,113,3930,3,100,f,f,0
107,120,4096,3,100,f,f,0
108,121,4097,3,100,f,f,0
113,126,20090,1,100,t,f,0
114,127,20091,1,100,t,f,0
115,128,20092,1,100,f,f,0
116,129,20093,1,100,t,f,0
117,130,20094,1,100,t,f,0
118,131,20095,1,100,f,f,0
119,132,20096,1,100,t,f,0
120,133,20097,1,100,f,f,0
121,134,20098,1,100,t,f,0
122,135,20099,1,100,t,f,0
123,136,20100,1,100,t,f,0
124,137,20101,1,100,t,f,0
125,138,20102,1,100,t,f,0
126,139,20103,1,100,t,f,0
127,140,20104,1,100,t,f,0
128,141,20105,1,100,t,f,0
129,142,20106,1,100,t,f,0
130,143,20107,1,100,t,f,0
131,144,20108,1,100,t,f,0
132,145,20109,1,100,t,f,0
133,146,20110,1,100,t,f,0
134,147,20111,1,100,t,f,0
135,148,20112,1,100,t,f,0
136,149,20113,1,100,t,f,0
137,150,20114,1,100,t,f,0
138,151,20115,1,100,t,f,0
139,152,20116,1,100,f,f,0
140,153,20135,5,100,f,f,0
141,154,20136,5,100,f,f,0
142,155,3350,6,100,f,f,0
143,156,28218,1,100,f,f,0
144,157,28178,1,100,f,f,0
145,158,28179,1,100,f,f,0
146,159,28180,1,100,f,f,0
147,160,28181,1,100,f,f,0
148,161,28185,1,100,f,f,0
149,162,26874,1,100,f,f,0
150,163,28197,1,100,f,f,0
151,164,28204,1,100,f,f,0
152,165,3351,6,100,f,f,0
153,166,3351,6,100,f,f,0
154,167,3352,6,100,f,f,0
155,168,3352,6,100,f,f,0
156,169,3353,6,100,f,f,0
157,170,8226,1,100,t,f,0
158,171,3354,3,100,f,f,0
159,172,8199,1,100,t,f,0
160,181,3359,3,100,f,f,0
161,182,25688,1,100,t,f,0
162,183,3360,3,100,f,f,0
163,184,25689,1,100,t,f,0
166,187,3363,2,100,f,f,0
167,188,25690,1,100,t,f,0
168,189,3365,2,100,f,f,0
169,190,25691,1,100,t,f,0
170,191,3367,2,100,f,f,0
171,192,25692,1,100,t,f,0
172,193,3369,2,100,f,f,0
173,194,25536,1,100,t,f,0
174,195,3371,2,100,f,f,0
175,196,3372,2,100,f,f,0
176,197,3373,2,100,f,f,0
177,198,3374,1,100,f,f,0
178,199,3374,1,100,f,f,0
179,200,25293,1,100,t,f,0
180,201,8219,1,100,t,f,0
181,202,8211,1,100,t,f,0
182,203,8210,1,100,t,f,0
183,204,25229,1,100,t,f,0
184,205,25230,1,100,t,f,0
185,206,25236,1,100,t,f,0
186,207,25228,1,100,t,f,0
187,208,25227,1,100,t,f,0
188,209,25232,1,100,t,f,0
189,210,8191,1,100,t,f,0
190,211,8194,1,100,t,f,0
191,212,8223,1,100,t,f,0
192,213,25231,1,100,t,f,0
194,215,25233,1,100,t,f,0
195,216,25603,1,100,t,f,0
196,217,25235,1,100,t,f,0
197,218,8193,1,100,t,f,0
198,219,25234,1,100,t,f,0
199,220,25604,1,100,t,f,0
200,221,25606,1,100,t,f,0
201,222,8179,1,100,t,f,0
202,223,3397,3,100,f,f,0
203,224,3398,3,100,f,f,0
204,225,3399,3,100,f,f,0
205,226,3400,3,100,f,f,0
206,227,3401,3,100,f,f,0
207,228,3402,3,100,f,f,0
208,229,3403,3,100,f,f,0
209,230,3404,3,100,f,f,0
210,231,3405,3,100,f,f,0
211,232,3406,3,100,f,f,0
212,233,3407,3,100,f,f,0
213,234,3408,4,100,f,f,0
214,235,3409,2,100,f,f,0
215,236,4747,1,100,f,f,0
216,237,4710,6,100,f,f,0
217,238,4711,6,100,f,f,0
218,239,4712,6,100,f,f,0
219,240,113,1,100,t,f,0
220,241,8208,1,100,t,f,0
221,242,8207,1,100,t,f,0
222,243,8215,1,100,t,f,0
223,244,8209,1,100,t,f,0
224,245,8216,1,100,t,f,0
225,246,25436,1,100,t,f,0
226,247,111,1,100,t,f,0
227,248,114,1,100,t,f,0
228,249,25607,1,100,t,f,0
229,250,25435,1,100,t,f,0
230,251,115,1,100,t,f,0
231,252,112,1,100,t,f,0
233,254,116,1,100,t,f,0
234,255,8227,1,100,t,f,0
235,256,8201,1,100,t,f,0
236,257,8220,1,100,t,f,0
237,258,25608,1,100,t,f,0
238,259,8221,1,100,t,f,0
239,260,4733,3,100,f,f,0
240,261,4734,3,100,f,f,0
241,262,4736,6,100,f,f,0
242,263,4737,4,100,f,f,0
243,264,4738,6,100,f,f,0
244,265,4739,4,100,f,f,0
245,266,4740,6,100,f,f,0
246,267,4741,6,100,f,f,0
247,268,4742,1,100,f,f,0
248,269,4743,1,100,f,f,0
249,270,4744,1,100,f,f,0
250,271,4745,2,100,f,f,0
251,272,4746,2,100,f,f,0
252,61,26065,1,100,f,t,3
253,173,4101,18,100,f,f,0
254,174,25684,1,100,t,f,0
255,175,4102,8,100,f,f,0
256,63,3143,2,100,f,f,0
257,176,25685,1,100,t,f,0
258,114,3931,3,100,f,f,0
259,177,4103,4,100,f,f,0
260,178,25686,1,100,t,f,0
261,179,3357,4,100,f,f,0
262,180,25687,1,100,t,f,0
263,273,4045,1,100,f,f,0
264,274,4053,3,100,f,f,0
265,275,4052,2,100,f,f,0
266,67,23637,1,100,t,f,0
267,71,26097,1,100,t,f,0
268,72,26098,1,100,f,f,0
269,74,28148,1,100,f,f,0
270,75,28386,1,100,t,f,0
271,76,4027,1,100,f,f,0
272,277,24691,1,100,t,f,0
273,278,24692,1,100,t,t,2
274,281,24695,1,100,t,t,2
275,286,24700,1,100,t,f,0
277,288,24702,1,100,t,t,3
278,289,24703,1,100,t,f,0
279,290,24704,1,100,t,t,2
280,291,24705,1,100,t,t,3
281,292,24706,1,100,t,f,0
282,293,24707,1,100,t,t,2
283,294,24708,1,100,t,t,3
284,295,24709,1,100,t,f,0
285,296,24710,1,100,t,t,2
286,297,24711,1,100,t,t,3
287,298,24712,1,100,t,f,0
288,299,24713,1,100,f,t,2
289,300,24714,1,100,f,t,3
290,301,24715,1,100,t,f,0
291,302,24716,1,100,f,t,2
292,303,24717,1,100,f,t,3
293,304,24718,1,100,t,f,0
294,305,24719,1,100,t,t,2
295,306,24720,1,100,t,f,0
296,307,24721,1,100,t,t,2
297,308,24722,1,100,t,t,3
298,309,24723,1,100,f,f,0
299,310,24724,1,100,t,f,0
300,311,24725,1,100,t,t,2
301,312,24726,1,100,t,t,3
302,313,24727,1,100,f,f,0
303,314,24728,1,100,t,f,0
304,315,24729,1,100,t,t,2
305,316,24730,1,100,t,t,3
306,317,24731,1,100,t,f,0
307,318,24732,1,100,t,t,2
308,319,24733,1,100,t,t,3
309,320,24734,1,100,f,f,0
310,321,24735,1,100,t,f,0
311,322,24736,1,100,t,t,2
312,323,24737,1,100,t,t,3
313,324,24738,1,100,f,f,0
314,325,24739,1,100,t,f,0
315,326,24740,1,100,t,t,2
316,327,24741,1,100,t,t,3
317,328,24742,1,100,f,f,0
318,329,24743,1,100,t,f,0
319,330,24744,1,100,t,t,2
320,331,24745,1,100,t,t,3
321,332,24746,1,100,t,f,0
322,333,24747,1,100,t,t,2
323,334,24748,1,100,t,f,0
324,335,24749,1,100,t,t,2
326,337,5379,1,100,f,f,0
327,338,5380,1,100,f,f,0
328,339,5381,1,100,f,f,0
329,340,5382,1,100,f,f,0
330,341,5383,1,100,f,f,0
331,342,5384,1,100,f,f,0
332,343,5385,1,100,f,f,0
333,344,5386,1,100,f,f,0
334,345,5387,1,100,f,f,0
335,346,5388,1,100,f,f,0
336,347,5389,1,100,f,f,0
337,348,5390,1,100,f,f,0
338,349,5391,1,100,f,f,0
339,350,8212,1,100,t,f,0
340,351,8188,1,100,t,f,0
341,352,8231,1,100,t,f,0
342,353,8189,1,100,t,f,0
343,354,8218,1,100,t,f,0
344,355,119,1,100,t,f,0
345,356,117,1,100,t,f,0
346,357,127,1,100,t,f,0
347,358,8217,1,100,t,f,0
348,359,121,1,100,t,f,0
349,360,118,1,100,t,f,0
350,361,122,1,100,t,f,0
351,362,123,1,100,t,f,0
352,363,124,1,100,t,f,0
353,364,8213,1,100,t,f,0
354,365,8195,1,100,t,f,0
355,366,8225,1,100,t,f,0
356,367,120,1,100,t,f,0
357,368,8198,1,100,t,f,0
358,369,8172,1,100,t,f,0
359,370,5413,1,100,f,f,0
360,371,5414,1,100,f,f,0
361,372,5415,1,100,f,f,0
362,373,5416,1,100,f,f,0
363,374,5417,1,100,f,f,0
364,375,5418,1,100,f,f,0
365,376,5419,1,100,f,f,0
367,378,5421,1,100,f,f,0
368,379,5422,1,100,f,f,0
369,380,5423,1,100,f,f,0
370,381,5424,1,100,f,f,0
371,382,5425,1,100,f,f,0
372,383,5426,1,100,f,f,0
373,384,5427,1,100,f,f,0
374,385,5428,1,100,f,f,0
375,386,5429,1,100,f,f,0
376,387,5430,1,100,f,f,0
377,388,5431,1,100,f,f,0
378,389,5432,1,100,f,f,0
379,390,5433,1,100,f,f,0
380,391,5434,1,100,f,f,0
381,392,5435,1,100,f,f,0
382,393,5436,1,100,f,f,0
383,394,5437,1,100,f,f,0
384,395,5438,1,100,f,f,0
385,396,5439,1,100,f,f,0
386,397,5440,1,100,f,f,0
387,398,5441,1,100,f,f,0
388,399,5442,1,100,f,f,0
389,400,8214,1,100,t,f,0
390,401,8202,1,100,t,f,0
391,402,8203,1,100,t,f,0
392,403,8235,1,100,t,f,0
393,404,8190,1,100,t,f,0
394,405,25440,1,100,t,f,0
395,406,25441,1,100,t,f,0
396,407,25438,1,100,t,f,0
397,408,25439,1,100,t,f,0
398,409,8187,1,100,t,f,0
399,410,8232,1,100,t,f,0
400,411,8233,1,100,t,f,0
401,412,8180,1,100,t,f,0
402,413,8182,1,100,t,f,0
403,414,8183,1,100,t,f,0
404,415,8184,1,100,t,f,0
405,416,8185,1,100,t,f,0
406,417,8186,1,100,t,f,0
407,418,8234,1,100,t,f,0
408,419,98,1,100,t,f,0
409,420,99,1,100,t,f,0
410,421,100,1,100,t,f,0
411,422,101,1,100,t,f,0
412,423,102,1,100,t,f,0
413,424,103,1,100,t,f,0
414,425,104,1,100,t,f,0
415,426,105,1,100,t,f,0
416,427,106,1,100,t,f,0
417,428,108,1,100,t,f,0
418,429,107,1,100,t,f,0
419,430,8204,1,100,t,f,0
420,431,8205,1,100,t,f,0
421,432,8229,1,100,t,f,0
422,433,8224,1,100,t,f,0
423,434,8206,1,100,t,f,0
424,435,8230,1,100,t,f,0
425,436,19090,1,100,t,f,0
426,437,15817,1,100,t,f,0
427,438,5481,1,100,f,f,0
428,439,5482,1,100,f,f,0
429,440,5483,1,100,f,f,0
430,441,5484,1,100,f,f,0
431,442,5485,1,100,f,f,0
432,443,5486,1,100,f,f,0
433,444,5487,1,100,f,f,0
434,445,5488,1,100,f,f,0
435,446,5489,1,100,f,f,0
436,447,5490,1,100,f,f,0
437,448,5491,1,100,f,f,0
438,449,5492,1,100,f,f,0
439,450,5493,1,100,f,f,0
440,451,5494,1,100,f,f,0
441,452,5495,1,100,f,f,0
442,453,5496,1,100,f,f,0
443,454,5497,1,100,f,f,0
444,455,5498,1,100,f,f,0
445,456,5499,1,100,f,f,0
446,457,5501,1,100,f,f,0
447,458,5502,1,100,f,f,0
448,460,5504,1,100,f,f,0
449,461,5505,1,100,f,f,0
450,462,5506,1,100,f,f,0
451,463,5507,1,100,f,f,0
452,464,5508,1,100,f,f,0
453,465,5509,1,100,f,f,0
455,467,5511,1,100,f,f,0
456,468,5512,1,100,f,f,0
457,469,5513,1,100,f,f,0
458,470,5514,1,100,f,f,0
459,471,5515,1,100,f,f,0
460,472,5516,1,100,f,f,0
461,473,5517,1,100,f,f,0
462,474,5518,1,100,f,f,0
463,475,5519,1,100,f,f,0
464,476,5520,1,100,f,f,0
465,477,5521,1,100,f,f,0
466,478,5522,1,100,f,f,0
467,479,5523,1,100,f,f,0
468,480,15972,3,100,t,f,0
469,481,15973,3,100,t,f,0
470,482,15974,3,100,t,f,0
471,483,18483,1,100,t,f,0
472,484,19129,1,100,t,f,0
