id,title,cast_delay,tool_id,skill_id,wi_id,desc,milestone_id,req_doodad_id,need_bind,ac_id,actability_limit,show_upper_crafts,recommend_level,visible_order
2,특산품: 솔즈리드 딸기 잼,10000,,16766,41,,,4220,f,21,0,t,0,100
3,특산품: 솔즈리드 도토리 젤리,10000,,16766,53,,,4220,f,21,0,t,0,101
4,특산품: 그위오니드 거위 구이,10000,,16766,53,,,4221,f,21,0,t,0,200
5,특산품: 그위오니드 거위털 솜,10000,,16766,63,,,4221,f,21,0,t,0,201
6,특산품: 무지개 벌판 말린 씨앗,10000,,16766,53,,,4223,f,20,0,t,0,300
7,특산품: 무지개 벌판 강황 가루,10000,,16766,53,,,4223,f,20,0,t,0,301
8,특산품: 매사냥 고원 토끼풀 사료,10000,,16766,53,,,4224,f,20,0,t,0,400
9,특산품: 매사냥 고원 침구 충전제,10000,,16766,63,,,4224,f,20,0,t,0,401
10,특산품: 릴리엇 연금 촉매,10000,,16766,51,,,4226,f,21,0,t,0,500
11,특산품: 릴리엇 사각 벽돌,10000,,16766,48,,,4226,f,21,0,t,0,501
12,특산품: 호랑이 등뼈 산맥 세공 은사,10000,,16766,62,,,4228,f,20,0,t,0,600
13,특산품: 호랑이 등뼈 산맥 원형 벽돌,10000,,16766,48,,,4228,f,20,0,t,0,601
14,특산품: 가랑돌 옥수수 가루,10000,,16766,53,,,4229,f,21,0,t,0,700
15,특산품: 가랑돌 염색 꽃잎,10000,,16766,51,,,4229,f,21,0,t,0,701
16,특산품: 마하데비 바나나 음료,10000,,16766,53,,,4230,f,20,0,t,0,800
17,특산품: 마하데비 곧은결 합판,10000,,16766,42,,,4230,f,20,0,t,0,801
18,특산품: 하얀 숲 물결 합판,10000,,16766,42,,,4231,f,21,0,t,0,900
19,특산품: 하얀 숲 솔방울 가루,10000,,16766,53,,,4231,f,21,0,t,0,901
20,특산품: 동틀녘 샤프란 암술,10000,,16766,53,,,4232,f,20,0,t,0,1000
21,특산품: 동틀녘 말린 로즈마리,10000,,16766,53,,,4232,f,20,0,t,0,1001
22,특산품: 마리아노플 양털 솜,10000,,16766,63,,,4233,f,21,0,t,0,1100
23,특산품: 마리아노플 세안제,10000,,16766,51,,,4233,f,21,0,t,0,1101
24,특산품: 노래의 땅 쫄깃한 간식,10000,,16766,53,,,4234,f,20,0,t,0,1200
25,특산품: 노래의 땅 고소한 빵,10000,,16766,53,,,4234,f,20,0,t,0,1201
26,특산품: 두 왕관 레몬 즙,10000,,16766,53,,,4235,f,21,0,t,0,1300
27,특산품: 두 왕관 라벤더 사탕,10000,,16766,53,,,4235,f,21,0,t,0,1301
28,특산품: 고대의 숲 솔방울 수액,10000,,16766,53,,,4236,f,20,0,t,0,1400
29,특산품: 고대의 숲 염색제,10000,,16766,51,,,4236,f,20,0,t,0,1401
30,특산품: 십자별 평원 밀봉 마개,10000,,16766,57,,,4237,f,21,0,t,0,1500
31,특산품: 십자별 평원 외장 금속,10000,,16766,62,,,4237,f,21,0,t,0,1501
32,특산품: 이니스테르 선물용 꽃다발,10000,,16766,57,,,4238,f,20,0,t,0,1600
33,특산품: 이니스테르 의례용 꽃다발,10000,,16766,57,,,4238,f,20,0,t,0,1601
34,특산품: 황금 평원 거친 곡식 가루,10000,,16766,53,,,4239,f,21,0,t,0,1700
35,특산품: 황금 평원 고운 곡식 가루,10000,,16766,53,,,4239,f,21,0,t,0,1701
36,특산품: 지옥 늪지대 버섯 조미료,10000,,16766,53,,,4240,f,21,0,t,0,1800
37,특산품: 지옥 늪지대 톱밥 가루,10000,,16766,42,,,4240,f,21,0,t,0,1801
38,특산품: 긴 모래톱 식용 진주 가루,10000,,16766,53,,,4241,f,21,0,t,0,1900
39,특산품: 긴 모래톱 연금용 흑진주,10000,,16766,51,,,4241,f,21,0,t,0,1901
40,특산품: 로카의 장기말 당근 음료,10000,,16766,53,,,4242,f,20,0,t,0,2000
41,특산품: 로카의 장기말 발효 음료,10000,,16766,53,,,4242,f,20,0,t,0,2001
42,특산품: 초원의 띠 환약,10000,,16766,51,,,4243,f,20,0,t,0,2100
43,특산품: 초원의 띠 박하 사탕,10000,,16766,53,,,4243,f,20,0,t,0,2101
44,특산품: 하리하랄라야 땅콩 잼,10000,,16766,53,,,4244,f,20,0,t,0,2200
45,특산품: 하리하랄라야 요리용 잎사귀,10000,,16766,53,,,4244,f,20,0,t,0,2201
46,분해: 누이의 눈물,10000,,14647,49,,,,f,,0,f,0,0
47,분해: 델피나드의 별,10000,,14647,49,,,,f,,0,f,0,0
48,실험형 날틀,10000,,15114,40,,,532,f,52,0,t,0,0
49,철 주괴,6000,,14604,62,,,557,f,23,0,t,0,0
50,빛바랜 명예의 증표,10000,,20120,43,,,5900,f,73,0,t,0,0
51,빛바랜 충성의 증표,10000,,20120,43,,,5900,f,73,0,t,0,0
52,빛바랜 용기의 증표,10000,,20120,43,,,5900,f,73,0,t,0,0
53,빛바랜 신념의 증표,10000,,20120,43,,,5900,f,73,0,t,0,0
54,빛바랜 불굴의 증표,10000,,20120,43,,,5900,f,73,0,t,0,0
55,빛바랜 희생의 증표,10000,,20120,43,,,5900,f,73,0,t,0,0
56,빛바랜 명예의 한손검,10000,,16772,43,,,5900,f,74,0,t,50,0
57,빛바랜 충성의 양손도끼,10000,,16772,43,,,5900,f,74,0,t,50,0
58,빛바랜 신념의 양손지팡이,10000,,16772,43,,,5900,f,74,0,t,50,0
59,빛바랜 용기의 활,10000,,16772,43,,,5900,f,74,0,t,50,0
60,빛바랜 불굴의 방패,10000,,16772,43,,,5900,f,74,0,t,50,0
61,빛바랜 희생의 현악기,10000,,16772,43,,,5900,f,74,0,t,50,0
62,보급지,3000,,11093,60,,,0,f,0,0,f,0,0
63,고급지,3000,,11093,60,,,0,f,0,0,f,0,0
64,갈색 원목 침대,8000,,14619,37,,,532,f,68,0,t,0,0
65,상인의 붉은 천 장식 침대,9000,,14620,37,,,532,f,68,100,t,0,0
66,군주의 대형 침대,10000,,14621,37,,,2239,f,68,500,t,0,0
67,귀족의 안락한 수공예 침대,10000,,14621,37,,,2239,f,68,500,t,0,0
68,왕실의 붉은 금자수 대형 침대,10000,,14580,37,,,2239,f,68,5000,t,0,0
69,왕실의 금빛 원목 대형 침대,10000,,14580,37,,,2239,f,68,5000,t,0,0
70,특산품: 하슬라 가공 대나무,10000,,16766,42,,,4245,f,20,0,t,0,2300
71,특산품: 하슬라 오리털 솜,10000,,16766,63,,,4245,f,20,0,t,0,2301
72,특산품 제작: 뼈의 땅 나뭇잎 진액,10000,,16766,51,,,,f,,0,f,0,0
