id,name,filename
1,blood,objects/effects/nu_multi_blood
2,hpup,objects/effects/nu_multi_hpup
3,ice,objects/effects/nu_multi_ice
4,mpup,objects/effects/nu_multi_mpup
5,poison,objects/effects/nu_multi_poison
6,stone,objects/effects/nu_multi_stone
7,shield,objects/effects/nu_multi_shield
8,hit,objects/effects/nu_multi_hit
9,holy,objects/effects/nu_multi_holy
10,flood,objects/effects/nu_multi_flood
11,lightning,objects/effects/nu_multi_lightning
12,water,objects/effects/nu_multi_water
13,표적,objects/effects/nu_multi_target
14,mon_가고일폭주,objects/effects/mon_multi_gargoyle
16,golem_hand,objects/effects/wave_sand_buff
17,진흙홀드,objects/effects/wave_sand_buff
18,fire,objects/effects/nu_multi_fire
19,그물,objects/effects/nu_multi_spider
20,변신,objects/effects/nu_multi_transform
21,유령,objects/effects/nu_multi_ghost
22,숯검댕이,objects/effects/nu_multi_blacken
23,암흑,objects/effects/nu_multi_blacken2
24,pet_반사신경,game/materials/effects/oeffect/fx_reflex_01a
25,불타는복수심_나무정령대형전용,game/objects/effects/mon_multi_wood_giant
26,ice_level1,game/objects/effects/nu_multi_ice_level1
27,ice_level2,game/objects/effects/nu_multi_ice_level2
28,ice_level3,game/objects/effects/nu_multi_ice_level3
29,소환수포획,game/objects/effects/oeffect/skill_capture_01
30,yaksha_fire,game/objects/effects/nu_multi_fire_yaksa
31,솔로배은신,game/objects/effects/nu_multi_cloakship
