id,damage_type_id,fixed_min,fixed_max,multiplier,use_mainhand_weapon,use_offhand_weapon,use_ranged_weapon,critical_bonus,target_buff_tag_id,target_buff_bonus,use_fixed_damage,use_level_damage,level_md,level_va_start,level_va_end,target_buff_bonus_mul,use_charged_buff,charged_buff_id,charged_mul,aggro_multiplier,health_steal_ratio,mana_steal_ratio,dps_multiplier,weapon_slot_id,check_crime,hit_anim_timing_id,use_target_charged_buff,target_charged_buff_id,target_charged_mul,dps_inc_multiplier,engage_combat,synergy,actability_group_id,actability_step,actability_mul,actability_add,charged_level_mul,adjust_damage_by_height,use_percent_damage,percent_min,percent_max,use_current_health,target_health_min,target_health_max,target_health_mul,target_health_add,fire_proc
1,1,0,0,1.0,1,0,0,0,,0,f,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,15,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
2,1,0,0,1.0,0,1,0,0,,0,f,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,16,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
16,4,0,0,1.0,0,0,1,0,,0,f,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,17,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
17,1,665,665,1.0,0,0,0,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
31,3,400,600,1.0,f,f,f,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
32,3,200,300,1.0,f,f,f,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
37,3,200,300,1.0,f,f,f,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
38,3,3800,4200,1.0,f,f,f,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
68,1,0,0,1.0,t,f,f,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
73,2,77,97,3.0,t,f,f,0,,0,f,f,0.75,10,15,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
87,2,202,202,1.0,f,f,f,0,13,0,f,t,2.53,8,8,1.48,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.8,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
94,2,111,179,1.0,f,f,f,0,119,0,f,t,3.53,15,1,1.26,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,2.4,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
96,2,18,30,1.0,f,f,f,0,12,0,f,t,1.5,1,15,1.55,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.6,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
101,2,569,855,1.0,f,f,f,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
106,2,30,30,1.0,f,f,f,0,,0,t,f,1.0,0,0,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
107,2,30,30,1.0,f,f,f,0,,0,f,t,2.0,25,25,1.0,f,,1.0,1.0,0,0,1.0,-1,t,1,f,,1.0,1.0,t,f,,0,0.0,0.0,0.0,t,f,0,100,f,0,0,1.0,0,t
