id,dispel_count,cure_count,buff_tag_id
3,0,1,
4,0,1,
5,1,1,
6,10,0,
7,10,0,
8,10,0,
9,1,0,165
11,0,1,
12,0,1,
15,0,1,139
17,0,1,108
20,0,1,14
22,0,1,201
40,0,1,140
42,0,1,140
51,0,10,347
56,0,1,108
57,0,10,160
58,1,0,155
64,0,1,108
65,0,1,323
74,0,1,171
75,0,1,14
78,1,1,155
86,2,2,187
87,1,0,6
91,0,0,187
92,1,0,207
95,1,0,159
101,0,1,218
103,1,0,227
105,0,1,228
114,1,1,239
122,1,1,239
124,1,1,239
127,1,1,323
129,0,1,108
130,0,1,233
133,0,1,245
135,1,1,257
136,1,1,257
138,1,0,239
139,1,0,239
141,1,0,
143,1,0,262
144,5,0,10
145,5,0,10
146,1,0,227
147,1,0,262
149,0,1,239
150,1,0,263
153,1,1,265
154,1,1,266
155,1,1,267
158,1,1,265
159,0,1,276
161,5,0,10
163,1,1,287
171,1,0,286
172,0,1,323
173,1,1,323
175,0,1,291
176,0,1,286
181,5,0,10
184,1,0,122
188,0,1,293
193,0,1,
200,0,1,100
202,0,1,100
204,0,1,10
205,0,1,10
206,0,1,10
207,0,1,10
208,0,1,10
211,1,0,323
216,1,1,257
222,1,1,324
224,1,1,
228,1,1,344
230,0,1,294
231,1,0,10
232,1,0,10
234,1,0,100
236,1,1,100
242,1,0,120
245,1,0,101
246,0,1,377
248,0,1,362
251,1,0,294
252,1,0,294
254,1,0,6
261,0,1,385
262,0,1,385
269,1,0,120
271,1,0,120
274,5,0,10
275,1,0,10
277,0,1,119
278,1,0,393
280,5,0,10
281,5,0,10
282,1,0,120
283,0,0,373
287,0,1,398
288,1,0,10
290,1,0,27
295,0,1,403
299,0,1,10
309,5,0,10
310,0,10,347
311,1,0,36
318,1,1,10
319,1,0,120
321,5,0,10
328,1,1,417
330,1,0,420
336,0,1,434
338,1,0,10
341,0,1,454
342,0,1,455
346,1,1,463
348,1,1,468
351,1,0,27
360,1,0,486
361,1,1,155
369,1,0,155
370,1,0,10
371,0,1,515
372,0,1,515
373,0,1,515
374,0,1,10
375,0,1,10
380,1,1,529
381,5,0,27
382,0,5,160
385,0,1,
386,1,0,6
388,1,1,567
389,0,0,187
390,0,0,187
391,1,1,573
392,1,1,579
393,1,1,577
400,1,0,488
402,1,1,590
403,1,1,417
407,1,1,582
408,1,1,612
409,0,1,613
410,1,1,612
414,1,1,294
416,0,1,294
417,0,1,294
419,0,1,613
420,1,0,534
424,10,0,6
427,1,1,529
428,0,1,294
429,20,20,
431,0,10,12
432,1,1,244
433,1,1,648
434,1,1,649
435,1,1,650
436,1,1,647
437,0,1,653
438,0,1,652
440,5,0,10
441,0,1,122
442,0,1,216
446,1,1,659
447,0,1,
448,1,1,625
449,1,1,626
450,1,0,666
451,1,1,883
452,1,1,276
453,0,1,434
454,1,0,122
457,0,1,398
459,1,1,666
461,0,1,678
463,1,1,905
464,1,1,905
465,1,1,905
470,1,1,239
471,1,1,690
472,1,1,691
474,1,1,694
475,1,0,155
476,0,20,
477,0,20,
478,0,20,
480,1,1,701
481,10,10,702
482,10,10,707
484,10,10,709
485,1,1,710
488,1,1,703
490,1,1,171
492,1,1,712
493,1,1,712
494,0,1,
495,5,0,27
496,1,1,713
497,1,1,713
501,1,1,721
502,1,1,721
503,1,1,722
504,1,1,719
505,1,1,723
506,1,1,723
507,1,1,724
508,1,1,724
509,1,1,703
511,1,1,678
512,1,1,703
513,1,1,678
514,1,1,734
515,1,1,735
516,1,1,735
517,1,1,736
518,1,1,737
519,1,1,737
520,1,1,737
522,1,0,740
523,1,1,737
527,0,1,746
531,1,1,753
532,1,1,753
533,1,1,754
534,1,1,755
535,1,1,755
536,0,10,12
537,1,1,757
538,1,1,757
539,1,1,757
540,0,1,760
541,0,1,761
542,1,1,678
543,0,1,760
544,0,1,761
545,0,1,362
547,1,0,10
548,1,1,705
551,1,0,10
552,1,1,769
555,0,1,666
556,1,1,687
557,0,1,760
558,0,1,761
559,1,1,155
561,1,1,155
562,1,0,10
563,1,0,10
564,1,1,677
565,0,20,216
566,0,20,216
570,1,1,778
574,1,1,701
575,1,1,701
576,1,1,701
577,1,1,701
578,1,1,783
579,1,1,820
584,1,1,827
586,0,1,823
589,1,1,754
590,1,1,122
591,1,0,10
592,1,1,833
593,1,1,122
594,0,1,108
595,0,1,108
596,1,1,846
597,1,1,566
599,1,1,853
602,1,0,10
603,1,1,867
604,1,1,867
605,1,1,867
608,10,10,872
609,1,1,658
610,1,1,873
611,1,1,874
612,1,1,658
613,1,1,138
614,1,1,137
