id,name,kind_id,quest_category_id
1,바라기 마을,1,4
2,파수 마을,1,4
3,초승달 왕좌,1,4
4,우윳빛 강 마을,1,4
5,바람자취 부락,1,22
6,잿빛안개 부락,1,22
7,가온달 부락,1,22
8,흰구름결 부락,1,22
9,옥시언 상단,1,22
10,쇠모루 마을,1,21
11,호랑이 눈,1,21
12,황금 실타래 마을,1,10
13,마리아노플,1,10
14,가리여울 마을,1,24
15,하르파 야영지,1,9
16,호숫가마을,1,9
17,기억의 터,1,9
18,파수꾼 야영지,1,9
19,바람그늘마을,1,24
20,바위언덕마을,1,24
21,자작나무 마을,1,6
22,수호자의 부락,1,6
23,로이스터 야영지,1,2
25,모래 먼지 마을,1,2
26,로즈엔드초소,1,2
27,구역_여행자의 샘,1,14
28,구역_햇무리마을,1,14
29,구역_오스테라,1,14
30,무덤: 불꽃 매 협곡,2,21
31,여행자의 쉼터,1,17
32,탑의 도시,1,17
33,밀렵 감시 초소,1,17
34,무덤 : 하얀 숲 남부,2,6
35,무덤 : 수호자의 부락,2,6
36,무덤 : 자작나무 마을,2,6
37,무덤 : 분열된 십자로,2,6
38,무덤 : 송별의 뜰,2,6
39,무덤 : 밀렵 감시 초소,2,17
40,무덤: 호랑이 철광산,2,21
41,무덤: 쇠모루 마을,2,21
42,무덤: 푸른 전나무회,2,21
43,무덤: 야타 방목장,2,21
44,무덤: 가랑돌 거상 입구,2,2
45,무덤:가랑돌 평원 입구,2,2
46,무덤 : 탑의 도시,2,17
47,무덤 : 고무나무 조림지,2,17
48,무덤 : 마하데비 항구 근교,2,17
49,무덤:그위오니드_바람폐허,2,9
50,무덤:그위오니드_침묵하는숲,2,9
51,무덤:그위오니드 숲의인도자,2,9
52,무덤:그위오니드 호숫가마을,2,9
53,무덤:가랑돌 북부 칼바람,2,2
54,무덤:그위오니드_가시덩굴숲,2,9
56,무덤: 벌거숭이 언덕,2,10
57,무덤: 황금 실타래 마을,2,10
58,무덤: 마리아노플 농장,2,10
59,무덤: 마리아노플 도시,2,10
60,무덤:가랑돌 모래 먼지,2,2
61,무덤:그위오니드 기억의터,2,9
63,귀환_마하데미 검문소,1,14
64,무덤_바슈디의 야영지,2,14
65,무덤_여행자의 샘,2,14
66,무덤_연기나는 해안,2,14
68,무덤_오스테라,2,14
69,무덤_반짝이는 숲,2,
70,바라기 마을 무덤,2,4
