id,name,model,once_one_man,once_one_interaction,show_name,mgmt_spawn,percent,min_time,max_time,model_kind_id,use_creator_faction,force_tod_top_priority,milestone_id,group_id,show_minimap,use_target_decal,use_target_silhouette,use_target_highlight,target_decal_size,sim_radius,collide_ship,collide_vehicle,climate_id,save_indun,mark_model,force_up_action,load_model_from_world,parentable,childable,faction_id,growth_time,despawn_on_collision,no_collision
272,ex) 타이머,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,f,t,f,f,50,600000,700000,1,t,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
274,ex) 제작,cgf://objects/Env/01_nuia/001_ndeco/ndeco_sign01.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
279,ex) 베이직,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
280,ex) 힐 콩나무,cgf://game/objects/env/01_nuia/001_ndeco/climb/common_do_beenstalk_03.cgf,f,t,f,f,100,600000,700000,1,t,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
281,사다리 10m,cgf://game/objects/env/01_nuia/001_ndeco/climb/ndeco_do_ladder02.cgf,f,t,f,f,,,,1,f,f,,25,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
282,밧줄 10m,prefab://prefabs/interaction_c.xml/tool.rope_10m,f,t,f,f,0,0,0,1,f,f,,25,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
283,수평 밧줄 10m,cgf://game/objects/env/01_nuia/001_ndeco/climb/ndeco_do_rope02.cgf,f,t,f,f,0,0,0,1,f,f,,25,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
284,새둥지 나무,vegetation://objects/env/05_nature/04_subpol/pinetree_a02.cgf,f,t,f,f,100,,,1,f,f,,25,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
285,코르크나무 오르기,vegetation://objects/env/05_nature/03_temp/temp_do_tree_cork01.cgf,f,t,f,t,100,,,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
288,QA 채광,prefab://Prefabs/mineral_series.xml/mineral_series.3emerald,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
291,QA 제작,cgf://objects/item/mannequin/mannequin000.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
293,QA 효과지역,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,f,t,f,f,100,600000,700000,1,t,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
294,QA 귀환설정,cgf://objects/Env/01_nuia/01_sol/stone_solzreed_b.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
299,QA 배고픔/먹이주기,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
300,QA 최후,cgf://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
301,QA 도축,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
302,QA 사용,cgf://Game/objects/Env/natural/rocks/stone_ground_a/stone_ground_a.cgf ,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
303,QA 오르기,cgf://game/objects/env/01_nuia/001_ndeco/ndeco_do_ladder02.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
305,QA 파기/필요아이템,cgf://Game/objects/Env/nuia/mine/mineral_test.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
307,QA 털깍기,cgf://Game/Characters/animals/sheep/cheep_03.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
308,QA 퀘스트,cgf://objects/Env/nuia/camps/royster/campfire_set_royster.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
309,QA 벼베기, cgf://Objects/Env/architecture/siege/prop/case_a.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
310,QA 루팅아이템,cgf://objects/env/01_nuia/001_ndeco/ndeco_do_mineral01.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
311,QA 수확,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
