id,name,play_once
1,fist_ba_relaxed_idle,f
2,fist_ba_combat_idle,f
3,fist_ba_relaxed_idle_rand,f
4,fist_ba_relaxed_idle,f
5,fist_ba_combat_idle,f
6,fist_ba_relaxed_idle_rand,f
7,default,f
8,fold,t
9,spread,t
10,fold,t
11,spread,t
12,spread,t
13,fold,t
17,fist_ba_relaxed_idle,f
18,fist_ba_combat_idle,f
19,fist_ba_relaxed_idle_rand,f
20,spread,t
21,fold,t
22,stopsail,f
23,folded,f
24,stopsail,f
25,folded,f
26,folded,f
27,spreaded,f
28,folded,f
29,spreaded,f
30,folded,f
31,fold,f
32,spreaded,f
33,spread,f
34,fist_ba_relaxed_idle,f
35,fist_ba_combat_idle,f
36,fist_ba_relaxed_idle_rand,f
38,open,f
40,open,f
42,close,f
43,opened,f
46,default,t
47,default,t
49,stopsail,f
50,fold,t
51,folded,f
52,spread,t
53,stopsail,f
54,fold,t
55,folded,f
56,spread,t
57,stopsail,f
58,fold,t
59,folded,f
60,spread,t
61,stopsail,f
62,fold,t
63,folded,f
64,spread,t
66,ceremony,t
67,stopsail,f
68,fold,t
69,folded,f
70,spread,t
71,stopsail,f
72,fold,t
73,folded,f
74,spread,t
75,ceremony,t
76,ceremony,t
77,fire,t
79,default,t
80,default,t
81,default,t
82,default,t
83,default,t
93,open,t
94,close,t
97,fist_ba_relaxed_idle,f
98,fist_ba_combat_idle,f
99,fist_ba_relaxed_idle_rand,f
100,all_co_sk_spell_launch_d,t
102,default,t
104,default,t
105,default,t
106,null,t
107,all_co_sk_spell_launch_d,t
108,default,t
109,default,t
110,open,t
111,close,t
112,open,t
113,close,t
116,default,t
117,default,t
118,default,t
119,default,t
120,open,t
121,opened,t
122,close,t
129,open,t
130,fist_ba_relaxed_idle,t
131,fist_co_attack_r,t
132,fist_ba_combat_idle,t
134,fist_ba_combat_idle,t
135,fist_ba_combat_idle,f
136,loop,f
142,default,t
143,default,f
146,open,t
147,opened,t
148,close,t
149,stopsail,f
150,fold,t
151,folded,f
152,spread,t
153,fist_ba_combat_idle,f
156,dead_01,t
157,null,t
158,all_co_sk_spell_launch_d,t
159,open,t
160,opened,t
161,close,t
164,fist_ba_relaxed_idle,f
165,fist_em_happy,t
166,fist_ba_relaxed_idle,f
167,fist_em_bad,f
168,all_re_combat_stun_loop,t
169,open,t
170,opened,t
171,close,t
178,fist_ac_feeding,f
179,fist_ba_relaxed_idle,f
180,fist_ba_relaxed_idle_rand,f
181,fist_ba_relaxed_idle_rand,f
182,fist_em_bad,f
183,fist_em_happy,f
184,all_re_combat_stun_loop,f
185,all_re_combat_stun_loop,f
186,fist_ba_relaxed_idle_rand,f
187,open,t
188,close,t
189,fist_ba_relaxed_idle,f
191,fist_ba_relaxed_idle,f
192,fist_ba_relaxed_idle_rand,f
193,fist_ba_relaxed_idle_rand,f
194,fist_ba_relaxed_idle_rand,f
195,fist_em_happy,f
209,fist_ba_relaxed_idle,f
220,fist_em_bad,f
225,fist_em_bad,f
233,open,t
234,close,t
235,fist_ba_relaxed_idle,f
238,opened,t
239,close,t
240,close,t
241,spreaded,f
243,close,t
246,all_co_sk_spell_launch_d,t
247,open,t
249,fist_ba_relaxed_idle,f
