id,model20,model40,model60,model80
1,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_anvil01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_anvil02.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_anvil03.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_anvil04.cgf
2,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_cooker01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_cooker02.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_cooker03.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_cooker04.cgf
3,cgf://objects/item/mannequin/mannequin000.cgf,cgf://objects/item/mannequin/mannequin020.cgf,cgf://objects/item/mannequin/mannequin050.cgf,cgf://objects/item/mannequin/mannequin070.cgf
4,cgf://objects/item/mannequin/mannequin000.cgf,cgf://objects/item/mannequin/mannequin020.cgf,cgf://objects/item/mannequin/mannequin050.cgf,cgf://objects/item/mannequin/mannequin070.cgf
7,cgf://objects\env\01_nuia\001_ndeco\ndeco_do_anvil01.cgf,cgf://objects\env\01_nuia\001_ndeco\ndeco_do_anvil01.cgf,cgf://objects\env\01_nuia\001_ndeco\ndeco_do_anvil01.cgf,cgf://objects\env\01_nuia\001_ndeco\ndeco_do_anvil01.cgf
9,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_paper01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_paper01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_paper01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_paper01.cgf
15,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_machine01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_machine01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_machine01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_machine01.cgf
20,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf
22,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_grain01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_grain01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_grain01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_grain01.cgf
23,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf
