id,next_phase
2,14663
3,1084
4,1074
5,1072
6,1070
7,1068
8,1066
9,3822
10,1088
11,1080
12,1064
13,14690
14,2107
15,1059
16,1051
17,14691
18,14692
19,8143
20,14693
21,14694
22,14695
23,8144
24,15129
25,15130
26,15131
27,15132
28,15133
29,15134
30,15135
31,15136
32,15137
33,15138
34,15139
35,15140
36,15141
37,15142
38,15143
39,15144
40,15145
41,15146
42,15147
43,15148
44,15149
45,15150
46,15191
47,15259
48,15260
49,15917
51,16244
52,16246
53,16437
54,16903
55,16907
56,16908
57,16978
59,17227
60,18283
61,18358
62,18445
64,18756
66,18799
67,19155
68,19157
69,19160
70,19198
71,19374
72,19575
73,19789
74,19791
75,19802
76,19936
