id,craft_pack_id
3,25
5,54
6,23
7,28
8,29
9,30
10,31
11,32
12,8
13,21
14,15
15,24
16,13
17,55
18,56
19,57
20,58
21,59
22,60
23,61
25,63
26,62
27,64
28,65
29,66
30,67
31,68
32,69
33,70
34,71
35,72
36,73
37,74
38,75
39,76
40,77
41,78
42,79
43,80
44,81
45,82
46,33
47,22
49,17
50,20
51,19
52,18
53,16
54,14
60,22
61,22
62,22
63,22
64,22
66,22
67,22
69,33
70,82
71,14
72,16
73,17
74,18
75,19
76,20
77,8
78,13
79,15
80,21
81,22
82,23
83,24
84,25
85,29
86,32
87,31
88,82
89,30
90,28
91,54
92,55
93,56
94,58
95,59
96,61
97,63
98,64
99,65
100,66
101,67
102,68
103,69
104,70
105,71
106,72
107,73
108,74
109,75
110,76
111,77
112,78
113,79
114,83
115,83
116,80
117,81
118,84
119,84
120,85
121,85
122,86
123,86
125,22
126,22
127,87
128,87
129,90
130,90
131,88
132,88
133,89
134,89
135,92
136,92
137,91
139,91
140,14
141,14
142,93
143,94
144,94
146,95
147,95
148,96
149,96
152,97
153,97
154,98
155,98
157,99
158,100
159,99
160,102
161,102
162,101
163,101
164,103
165,103
166,104
167,104
168,105
169,105
170,106
171,106
172,107
173,107
174,108
175,1
176,1
177,109
178,109
179,109
180,1
181,1
182,110
183,112
184,111
185,111
186,112
187,113
188,113
189,107
190,107
191,22
192,16
193,114
8000001,84
8000002,84
8000003,84
8000004,84
