id,doodad_func_craft_start_id,craft_id
1,1,276
2,2,256
3,3,282
4,4,282
8,7,3
118,12,111
179,17,169
180,17,170
181,17,171
182,17,172
191,19,181
192,19,182
193,19,183
194,19,184
197,21,187
198,21,188
199,21,189
200,21,190
201,21,191
202,21,192
203,21,193
204,21,194
205,21,195
206,21,196
207,21,197
232,24,222
233,24,223
234,24,224
235,24,225
236,24,226
237,24,227
238,24,228
239,24,229
240,24,230
241,24,231
242,24,232
243,24,233
244,25,234
245,25,235
283,28,273
286,31,276
389,26,2651
390,26,2652
391,26,2653
392,26,2654
393,26,2655
394,26,2656
395,26,2657
396,26,2658
397,26,2659
398,26,2660
399,26,2661
400,26,2662
401,26,2663
402,26,2664
403,26,2665
404,26,2667
405,26,2668
406,26,2666
407,26,2669
408,26,2670
409,26,2671
410,26,2672
411,26,2673
412,26,2674
413,26,2675
414,26,2676
415,26,2677
416,26,2678
417,26,2679
418,26,2680
419,27,2621
420,27,2622
421,27,2623
422,27,2624
423,27,2625
424,27,2626
425,27,2627
426,27,2628
427,27,2629
428,27,2630
429,27,2631
430,27,2632
431,27,2633
432,27,2634
433,27,2635
434,27,2636
435,27,2637
436,27,2638
437,27,2639
438,27,2640
439,27,2641
440,27,2642
441,27,2643
442,27,2644
444,27,3999
445,27,4000
446,27,4001
447,27,4002
448,27,4003
450,9,2696
451,9,2697
452,9,2698
453,10,2750
454,10,2751
455,10,2752
456,10,2753
457,10,2754
458,10,2755
459,10,2756
460,10,2757
461,10,2758
462,10,2759
463,10,2760
464,10,2761
465,10,2762
466,10,2763
467,10,2764
468,10,2765
469,10,2766
470,10,2767
471,10,2768
472,10,2769
473,10,2770
474,10,2771
475,10,2772
476,10,2773
477,10,2774
478,10,2775
479,10,2776
480,10,2777
481,10,2778
482,10,2779
483,10,2780
484,10,2781
485,10,2782
486,10,2783
487,10,2784
488,10,2785
489,10,2786
490,10,2787
491,10,2788
492,10,2789
493,10,2790
494,10,2791
495,10,2792
496,10,2793
497,10,2794
498,10,2795
499,10,2796
500,10,2797
501,10,2798
502,10,2799
503,10,2800
504,10,2801
505,10,2802
506,10,2803
507,10,2804
508,10,2805
620,33,2810
624,35,75
