id,skill_id,fake_skill_id,target_parent
1,,12894,f
2,,11303,f
3,,11304,f
5,,11305,f
6,10999,11324,f
14,,11565,f
15,,11373,f
16,,11373,f
18,,11423,f
21,,11339,f
22,,11339,f
23,,11431,f
26,,11447,f
28,,11476,f
29,,11480,f
34,,11493,f
38,,11354,f
40,,11359,f
46,,11542,f
47,,11543,f
48,,11544,f
49,11627,11545,t
53,,11546,f
55,11628,11546,t
57,,11547,f
58,,11551,f
59,,13614,f
60,,11387,f
61,11653,11545,t
62,11654,11546,t
63,,11563,f
64,,11564,f
67,,11567,f
71,,11305,f
72,,11589,f
73,,11590,f
74,,11591,f
75,,11591,f
77,,14894,f
80,,,f
81,,11618,f
82,,11617,f
83,,11692,f
84,,14895,f
86,,11621,f
87,,11622,f
94,,11642,f
95,,11650,f
96,,11652,f
97,,11651,f
99,,11683,f
100,,11524,f
102,,11688,f
104,,11690,f
106,,11690,f
107,,11699,f
109,,12341,f
110,11627,11545,t
111,11628,11546,t
112,11627,11545,t
113,11628,11546,t
114,11653,11545,t
115,11654,11546,t
116,11653,11545,t
117,11654,11546,t
118,,11787,f
119,,11790,f
121,11627,11545,t
122,11628,11546,t
123,11653,11545,t
124,11654,11546,t
125,,11652,f
128,,11649,f
129,,11850,f
130,,11472,f
131,,11847,f
136,,11691,f
140,,11691,f
142,,11691,f
143,,11868,f
144,,11929,f
146,,11949,f
149,,11953,f
150,,11957,f
151,,11979,f
153,,11976,f
154,,11976,f
157,,11994,f
158,,11976,f
159,,11949,f
161,,12014,f
162,,12018,f
163,12025,,f
165,,12047,f
171,,15777,f
173,,12055,f
176,19200,12051,f
178,,12782,f
180,,12095,f
181,,12095,f
182,,11965,f
185,,11965,f
187,,11965,f
189,,12130,f
190,,12885,f
194,,12125,f
196,,12137,f
197,,11791,f
206,,12130,f
207,,12130,f
208,,13686,f
209,,12130,f
210,,12130,f
211,,11447,f
212,,11163,f
213,,13378,f
214,,12899,f
215,,12019,f
216,,11140,f
222,,12884,f
223,12304,13194,f
224,,11107,f
227,12250,15110,f
228,12249,11301,f
229,,13291,f
232,,12273,f
233,,12119,f
236,,12312,f
238,12441,12444,f
239,12319,13307,f
244,,12329,f
245,,12331,f
247,,12329,f
248,,12336,f
250,,12338,f
251,,12339,f
252,,12343,f
253,,12890,f
254,11481,12888,f
255,,12895,f
257,,12364,f
260,,11301,f
261,,11301,f
262,,11301,f
263,,12392,f
264,,12393,f
265,,12394,f
266,,12395,f
267,,12396,f
268,,12397,f
269,,12395,f
270,,12396,f
271,,12394,f
272,,12396,f
273,,12395,f
274,,12394,f
275,,12144,f
276,,12420,f
277,,12421,f
278,,12420,f
279,,12420,f
280,,12420,f
281,,12420,f
282,,12420,f
283,,12420,f
284,,12420,f
285,12427,12902,f
286,,14597,f
287,,12430,f
288,,12431,f
289,,12432,f
290,,12431,f
291,,12429,f
292,,12431,f
293,,12432,f
294,,14599,f
295,,12392,f
296,12441,12440,f
297,12445,12901,f
299,,11301,f
301,12604,12918,f
302,,12457,f
303,,12458,f
304,,12473,f
305,,12473,f
308,,18546,f
309,,12478,f
310,,12487,f
311,,12494,f
312,,12522,f
313,,12504,f
314,,12504,f
315,,12512,f
316,,14631,f
319,,12520,f
324,,12530,f
327,,12924,f
328,12539,11301,f
329,,12925,f
330,,12544,f
331,,12544,f
332,,12926,f
334,,12927,f
335,,12929,f
336,,12929,f
337,,12929,f
338,,12567,f
339,,11431,f
340,,14842,f
343,,12578,f
344,12576,12576,f
346,,11629,f
347,,12584,f
349,,12591,f
350,,12920,f
354,,12659,f
357,,12774,f
358,,12316,f
363,,12683,f
364,,12679,f
367,,12702,f
368,,12701,f
369,,12706,f
370,,12707,f
371,,12917,f
372,,12154,f
374,,12720,f
377,,12725,f
378,,12726,f
379,,12727,f
380,,12728,f
386,,12741,f
387,,12742,f
388,,12743,f
389,,12744,f
390,,12760,f
391,,12876,f
392,,12880,f
393,,12879,f
394,,12878,f
395,,12588,f
397,,12784,f
398,,12785,f
401,,12806,f
403,,12806,f
405,,12808,f
406,,12810,f
407,,12811,f
408,,12809,f
413,,11301,f
414,,12886,f
415,,12840,f
416,,12844,f
418,,12846,f
419,,12905,f
420,,12845,f
421,,12907,f
422,,14822,f
423,,12908,f
424,,12887,f
425,,12891,f
426,,11301,f
427,,12889,f
428,,11790,f
429,,14874,f
430,,12859,f
431,,12860,f
432,,12864,f
433,,12865,f
435,,12867,f
436,,12868,f
437,,12869,f
