id,after,respawn,min_time,max_time,show_tip,show_end_time,tip
1,0,t,10000,20000,f,f,
2,10000,t,10000,20000,f,f,
3,10000,t,10000,20000,f,f,
4,10000,t,10000,20000,f,f,
7,10000,t,10000,20000,f,f,
13,60000,f,,,f,f,
14,10000,f,,,f,f,
15,3600000,f,100,120,f,f,
16,3600000,f,,,f,f,
17,2000,t,10000,20000,f,f,
18,20000,t,30000,50000,f,f,
20,10000,f,0,0,f,f,
21,10000,f,0,0,f,f,
22,2000,t,10000,20000,f,f,
23,2000,t,10000,20000,f,f,
24,2000,t,10000,20000,f,f,
33,50000,f,10000,20000,f,f,
35,1000,t,10000,20000,f,f,
40,10,t,10000,10000,f,f,
44,1000,t,20000,20000,f,f,
45,60000,t,60000,70000,f,f,
48,1000,t,2000,2000,f,f,
51,10,t,10000,10000,f,f,
52,1000,f,10000,10000,f,f,
53,1000,t,10000,10000,f,f,
56,5000,t,30000,50000,f,f,
59,1000,t,20000,60000,f,f,
61,6000,f,3000,4000,f,f,
62,10000,t,10000,20000,f,f,
63,0,t,10000,40000,f,f,
64,1000,t,5000,10000,f,f,
65,0,t,10000,30000,f,f,
66,1000,f,1000,2000,f,f,
67,5000,t,10000,20000,f,f,
68,1000,t,240000,241000,f,f,
69,1000,t,30000,40000,f,f,
70,1000,t,30000,40000,f,f,
71,1000,t,10000,20000,f,f,
72,1000,t,10000,20000,f,f,
73,10000,t,50000,70000,f,f,
74,10000,t,40000,100000,f,f,
75,1000,t,10000,20000,f,f,
76,1000,t,5000,10000,f,f,
77,0,t,10000,20000,f,f,
79,0,t,10000,40000,f,f,
80,10000,t,20000,40000,f,f,
82,1000,t,10000,10000,f,f,
83,3000,t,20000,20000,f,f,
84,5000,t,10000,10000,f,f,
85,10000,t,20000,20000,f,f,
86,10000,t,20000,20000,f,f,
88,1000,t,10000,10000,f,f,
95,1000,t,3000,3000,f,f,
96,3600000,f,3000,4000,f,f,
98,3600000,t,3000,4000,f,f,
99,1000,t,10000,15000,f,f,
100,500,t,1000,10000,f,f,
107,5000,t,10000,20000,f,f,
108,1000,t,10000,20000,f,f,
110,-1,f,,,f,f,
111,1000,t,10000,20000,f,f,
112,1000,t,30000,45000,f,f,
113,2000,t,10000,10000,f,f,
114,0,t,0,0,f,f,
115,0,t,0,0,f,f,
116,0,t,360000,600000,f,f,
117,0,t,0,0,f,f,
119,0,t,0,0,f,f,
120,0,t,180000,300000,f,f,
121,0,t,180000,300000,f,f,
122,0,t,180000,300000,f,f,
123,0,t,180000,300000,f,f,
124,0,t,180000,300000,f,f,
125,0,t,180000,300000,f,f,
126,0,t,180000,300000,f,f,
127,0,t,180000,300000,f,f,
128,0,t,180000,300000,f,f,
129,0,t,180000,300000,f,f,
130,0,t,180000,300000,f,f,
131,0,t,180000,300000,f,f,
132,0,t,180000,300000,f,f,
133,0,t,180000,300000,f,f,
134,0,t,180000,300000,f,f,
135,0,t,180000,300000,f,f,
136,0,t,180000,300000,f,f,
137,0,t,180000,300000,f,f,
138,0,t,180000,300000,f,f,
139,0,t,60000,180000,f,f,
140,0,t,180000,300000,f,f,
141,0,t,180000,300000,f,f,
142,0,t,180000,300000,f,f,
143,0,t,180000,300000,f,f,
144,0,t,180000,300000,f,f,
145,0,t,180000,300000,f,f,
146,0,t,180000,300000,f,f,
147,0,t,180000,300000,f,f,
148,0,t,180000,300000,f,f,
149,0,t,180000,300000,f,f,
150,0,t,180000,300000,f,f,
151,0,t,180000,300000,f,f,
153,0,t,12000,18000,f,f,
156,300000,t,900000,1200000,f,f,
157,0,t,5400000,5400000,f,f,
158,0,t,180000,300000,f,f,
159,0,t,180000,300000,f,f,
160,0,t,180000,300000,f,f,
161,0,t,180000,300000,f,f,
162,0,t,180000,300000,f,f,
163,0,t,180000,300000,f,f,
164,0,t,180000,300000,f,f,
166,0,t,180000,300000,f,f,
168,0,t,180000,300000,f,f,
169,0,t,180000,300000,f,f,
170,0,t,180000,300000,f,f,
171,0,t,180000,300000,f,f,
172,0,t,180000,300000,f,f,
173,0,t,180000,300000,f,f,
174,0,t,180000,300000,f,f,
175,10000,f,1000,1000,f,f,
176,0,t,180000,300000,f,f,
177,0,t,180000,300000,f,f,
180,0,t,180000,300000,f,f,
181,0,t,180000,300000,f,f,
182,0,t,100000,200000,f,f,
183,0,t,180000,300000,f,f,
184,0,t,180000,300000,f,f,
185,0,t,180000,300000,f,f,
186,0,t,180000,300000,f,f,
188,0,t,180000,300000,f,f,
189,0,t,180000,300000,f,f,
190,0,t,180000,300000,f,f,
191,0,t,180000,300000,f,f,
192,0,t,180000,300000,f,f,
193,0,t,180000,300000,f,f,
194,0,t,180000,300000,f,f,
195,0,t,600000,840000,f,f,
196,1000,t,200000,300000,f,f,
198,100000,f,10000,10000,f,f,
201,0,t,180000,300000,f,f,
202,0,t,180000,300000,f,f,
203,0,t,180000,300000,f,f,
205,0,t,7200000,14400000,f,f,
206,0,t,14400000,21600000,f,f,
207,0,t,7200000,14400000,f,f,
208,0,t,3000000,4200000,f,f,
209,0,t,7200000,14400000,f,f,
210,0,t,3000000,4200000,f,f,
211,0,t,14400000,21600000,f,f,
212,0,t,14400000,21600000,f,f,
213,0,t,14400000,21600000,f,f,
217,10000,t,20000,40000,f,f,
218,1000,f,,,f,f,
219,1000,f,,,f,f,
222,1000,t,4000,5000,f,f,
223,1000,t,3000,4000,f,f,
224,0,f,300000,400000,f,f,
226,30000,f,,,f,f,
227,10000,t,20000,40000,f,f,
228,1000,f,,,f,f,
234,0,t,10000,15000,f,f,
235,6000,t,60000,100000,f,f,
236,0,f,,,f,f,
238,1000,f,,,f,f,
239,35000,f,,,f,f,
240,1000,t,5000,6000,f,f,
243,20000,f,,,f,f,
246,0,t,15000,25000,f,f,
248,1000,t,100000,110000,f,f,
252,1000,t,100000,110000,f,f,
254,0,t,10000,20000,f,f,
255,3000,t,10000,10000,f,f,
256,1000,t,10000,10000,f,f,
257,1000,t,10000,10000,f,f,
258,1000,t,10000,10000,f,f,
263,20000,f,,,f,f,
264,1000,t,500,600,f,f,
265,1000,t,100,200,f,f,
266,30000,f,,,f,f,
267,,t,40000,40000,f,f,
271,1000,t,20000,20000,f,f,
274,1000,t,30000,30000,f,f,
275,1000,t,100000,100000,f,f,
276,10000,t,1,1,f,f,
277,9000,t,6000,7000,f,f,
280,,t,10000,20000,f,f,
286,,t,10000,20000,f,f,
287,,t,10000,14000,f,f,
289,1000,t,20000,30000,f,f,
292,360000,t,60000,70000,f,f,
293,,t,60000,60000,f,f,
296,1000,f,,,f,f,
298,1000,t,30000,30000,f,f,
302,1000,f,0,0,f,f,
305,10000,f,,,f,f,
308,1000,t,120000,240000,f,f,
309,1000,t,20000,60000,f,f,
310,0,t,10000,30000,f,f,
311,1500,t,20000,40000,f,f,
312,3000,t,60000,180000,f,f,
314,1000,t,100000,120000,f,f,
316,1000,t,20000,40000,f,f,
321,0,t,30000,60000,f,f,
322,0,t,20000,35000,f,f,
328,0,t,30000,40000,f,f,
330,8000,f,,,f,f,
332,,t,20000,30000,f,f,
333,1000,t,12000,18000,f,f,
334,10000,t,6000,7000,f,f,
335,500,t,30000,40000,f,f,
336,10000,t,6000,7000,f,f,
337,5000,f,6000,7000,f,f,
339,0,t,240000,360000,f,f,
340,0,t,30000,60000,f,f,
343,1000,t,60000,180000,f,f,
344,300000,t,240000,360000,f,f,
345,300000,t,900000,1200000,f,f,
346,1000,f,,,f,f,
348,0,t,180000,300000,f,f,
349,1000,f,,,f,f,
350,1000,f,,,f,f,
351,1000,f,,,f,f,
352,20000,f,,,f,f,
354,50000,f,,,f,f,
359,0,t,10000,40000,f,f,
365,0,f,,,f,f,
366,60000,f,,,f,f,
368,1000,f,,,f,f,
373,0,t,10000,20000,f,f,
375,0,t,10000,20000,f,f,
376,0,t,10000,20000,f,f,
377,0,t,10000,20000,f,f,
378,0,t,10000,20000,f,f,
383,0,t,7200000,14400000,f,f,
384,1000,t,60000,60000,f,f,
385,0,t,14400000,21600000,f,f,
