id,model,doodad_almighty_id,doodad_func_group_kind_id,phase_msg,sound_id,name,sound_time,comment,is_msg_to_zone
1,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,272,1,,0,,0,,f
2,cgf://Game/objects/Env/01_nuia/001_ndeco/ndeco_do_ladder01.cgf,272,2,,0,,0,,f
3,cgf://Objects/Env/architecture/siege/prop/postbox_common_a.cgf,272,2,,,,0,,f
4,cgf://objects/env/05_nature/00_common/common_do_lavender.cgf,273,1,,0,,0,,f
5,cgf://objects/env/05_nature/00_common/common_do_lavender.cgf,273,2,,,00,0,,f
6,cgf://objects/env/05_nature/00_common/common_do_beenstalk_01.cgf,273,2,,0,,0,,f
7,cgf://objects/env/05_nature/00_common/common_do_beenstalk_02.cgf,273,2,,0,,0,,f
8,cgf://objects/env/05_nature/00_common/common_do_beenstalk_03.cgf,273,2,,0,,0,,f
9,vegetation://objects/env/natural/trees/pinetree/pinetree_a02.cgf,273,2,,0,,0,,f
10,cgf://objects/Env/01_nuia/001_ndeco/ndeco_sign01.cgf,274,1,,,,0,,f
11,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_anvil01.cgf,274,2,,0,,0,,f
12,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_cooker01.cgf,274,2,,0,,0,,f
13,cgf://objects/item/mannequin/mannequin000.cgf,274,2,,0,,0,,f
14,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_anvil05.cgf,274,2,,0,,0,,f
15,cgf://objects/Env/01_nuia/001_ndeco/ndeco_do_cooker05.cgf,274,2,,0,,0,,f
16,cgf://objects/item/mannequin/mannequin100.cgf,274,2,,0,,0,,f
18,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,5,1,,0,,0,,f
19,,5,1,,0,,0,,f
20,cgf://objects/Env/nuia/camps/royster/campfire_set_royster.cgf,6,1,,0,,0,,f
21,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,279,1,,0,,0,,f
22,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,279,2,,0,,0,,f
23,cgf://game/objects/env/01_nuia/001_ndeco/climb/common_do_beenstalk_01.cgf,280,1,,0,,0,,f
24,cgf://game/objects/env/01_nuia/001_ndeco/climb/common_do_beenstalk_02.cgf,280,2,,0,,0,,f
25,cgf://game/objects/env/01_nuia/001_ndeco/climb/common_do_beenstalk_03.cgf,280,2,,0,,0,,f
26,cgf://game/objects/env/01_nuia/001_ndeco/climb/common_do_beenstalk_03.cgf,280,2,,0,,0,,f
27,objects/env/natural/trees/pinetree/pinetree_a02.cgf,280,2,,0,,0,,f
28,cgf://objects\Env\natural\rocks\stones_garandol\rock_big_a.cgf,7,1,,0,,0,,f
30,cgf://game/objects/env/01_nuia/001_ndeco/climb/ndeco_do_ladder02.cgf,281,1,,,,0,,f
31,prefab://prefabs/interaction_c.xml/tool.rope_10m,282,1,,,,0,,f
33,cgf://game/objects/env/01_nuia/001_ndeco/climb/ndeco_do_rope02.cgf,283,1,,0,,0,,f
34,vegetation://objects/env/05_nature/04_subpol/pinetree_a02.cgf,284,1,,0,,0,,f
35,cgf://objects/Env/01_nuia/001_ndeco/ndeco_sign01.cgf,285,1,,,,0,,f
36,cgf://objects/env/05_nature/00_common/common_do_lavender.cgf,16,1,,0,,0,,f
37,prefab://Prefabs/mineral_series.xml/mineral_series.3emerald,288,1,,,1단계,0,,f
39,vegetation://objects/env/natural/trees/pinetree/pinetree_a02_1.cgf,18,1,,0,,0,,f
40,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,19,1,,0,,0,,f
41,cgf://objects/item/mannequin/mannequin000.cgf,291,1,,0,,0,,f
42,cgf://objects/item/mannequin/mannequin000.cgf,291,2,,0,,0,,f
43,cgf://objects/item/mannequin/mannequin100.cgf,291,2,,0,,0,,f
44,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,21,1,,0,,0,,f
45,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,293,1,,0,,0,,f
46,cgf://objects/Env/01_nuia/01_sol/stone_solzreed_b.cgf,294,1,,0,,0,,f
47,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,299,1,,0,,0,,f
48,cgf://objects/env/05_nature/00_common/common_do_lavender.cgf,300,1,,0,,0,,f
49,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,301,1,,0,,0,,f
50,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,302,1,,0,,0,,f
51,cgf://game/objects/env/01_nuia/001_ndeco/ndeco_do_ladder02.cgf,303,1,,0,,0,,f
52,vegetation://objects/env/05_nature/03_temp/temp_tree_oak03.cgf,304,1,,0,,0,,f
53,,304,2,,0,,0,,f
54,cgf://Game/objects/Env/nuia/mine/mineral_test.cgf,305,1,,0,,0,,f
55,cgf://Game/objects/natural/water/waterfall_cxp_a.cgf,35,1,,0,,0,,f
56,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,307,1,,0,,0,,f
57,cgf://Game/Characters/animals/sheep/sheep_03_shear.cgf,307,2,,0,,0,,f
58,cgf://objects/Env/nuia/camps/royster/campfire_set_royster.cgf,308,1,,0,,0,,f
59,cgf://objects/Env/nuia/camps/royster/campfire_set_royster.cgf,308,2,,0,,0,,f
60,cgf://objects/env/05_nature/00_common/common_do_lavender.cgf,309,1,,0,,0,,f
61,cgf://objects/env/01_nuia/001_ndeco/ndeco_do_mineral01.cgf,310,1,,,,0,,f
62,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,311,1,,0,,0,,f
63,cgf://Game/objects/Env/nuia/gweonid/statue/godofprophecy_statue/returnpoint_statue.cgf,301,2,,0,,0,,f
64,,304,2,,0,,0,,f
65,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,311,2,,0,,0,,f
74,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,312,1,,0,,0,,f
78,cgf://Game/objects/Env/01_nuia/001_ndeco/ndeco_do_invisible.cgf,313,1,,0,,0,,f
80,prefab://Prefabs/mineral_series.xml/mineral_series.3emerald,288,2,,,3단계,0,,f
81,,274,1,,0,,0,,f
83,cgf://game/objects/env/01_nuia/001_ndeco/climb/ndeco_do_ladder03.cgf,315,1,,,,0,,f
86,vegetation://objects/env/05_nature/03_temp/temp_tree_olive03.cgf,44,1,,0,,0,,f
87,vegetation://objects/env/05_nature/03_temp/temp_tree_olive02.cgf,44,2,,0,,0,,f
89,vegetation://objects/env/05_nature/03_temp/temp_do_tree_olive01.cgf,44,2,,0,,0,,f
90,vegetation://objects/env/05_nature/03_temp/temp_tree_apple01no.cgf,317,1,,,,0,,f
93,vegetation://objects/Env/03_origin_continent/001_ocom/ocom_burntree_c.cgf,318,1,,,,0,,f
94,vegetation://objects/Env/03_origin_continent/001_ocom/ocom_burntree_c.cgf,318,2,,,,0,,f
95,vegetation://objects/Env/03_origin_continent/001_ocom/ocom_burntree_c.cgf,318,2,,,,0,,f
96,vegetation://objects/env/05_nature/00_common/common_plants_grow_b02.cgf,319,1,,0,,0,,f
97,vegetation://objects/env/05_nature/00_common/common_plants_grow_b01.cgf,319,2,,0,,0,,f
98,vegetation://objects/env/05_nature/08_cry_source/fields/tomato_bush_big_b.cgf,319,2,,0,,0,,f
99,vegetation://objects/env/01_nuia/11_long/long_memotree_originno.cgf,321,1,,,테스트다?,0,,f
100, 	vegetation://objects/env/05_nature/08_cry_source/fields/tomato_bush_big_b.cgf,319,3,,0,,0,,f
106,cgf://objects/env/01_nuia/06_mari/ndeco_do_ladder_b.cgf ,323,1,,0,,0,,f
107,prefab://prefabs/interaction.xml/env.postbox,320,1,,,,0,,f
112,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,324,1,,0,,0,,f
114,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,324,2,,0,,0,,f
117,cgf://game/Objects/Env/01_nuia/001_ndeco/climb/ndeco_do_ladder06.cgf,333,1,,0,,0,,f
123,vegetation://objects/env/05_nature/03_temp/temp_do_tree_olive01.cgf,44,3,,0,,0,,f
124,vegetation://objects/Env/03_origin_continent/001_ocom/ocom_burntree_c.cgf,318,2,,,,0,,f
128,vegetation://objects/env/natural/trees/pinetree/pinetree_a02_1.cgf,277,1,,0,,0,,f
129,vegetation://objects/env/natural/trees/pinetree/pinetree_a02_1.cgf,277,2,,0,,0,,f
130,vegetation://objects/env/natural/trees/pinetree/pinetree_a02_1.cgf,277,2,,0,,0,,f
131,vegetation://objects/env/natural/trees/pinetree/pinetree_a02_1.cgf,277,3,,0,,0,,f
132,cgf://game/objects/env/01_nuia/001_ndeco/ndeco_box01.cgf,660,1,,,,0,,f
133,cgf://game/objects/env/01_nuia/001_ndeco/ndeco_box01.cgf,660,2,,,,0,,f
134,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,801,1,,0,,0,,f
135,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,801,2,,0,,0,,f
