id,delay,start_scale,end_scale,next_phase
1,10000,500,1000,7
2,10000,500,1000,8
3,999,1,1000,
4,10000,500,1000,24
5,10000,500,1000,25
6,5000,500,1000,
7,5000,500,600,28
12,1000,500,1000,87
13,1000,500,1000,89
15,1000,700,1000,-1
17,10000,500,1000,92
18,3000,500,1000,
19,5000,300,500,94
20,5000,500,700,95
21,5000,700,1000,1314
22,5000,500,1000,97
23,5000,500,1000,98
25,1000,500,1000,103
26,1000,500,1000,104
27,1000,500,1000,-1
29,5000,0,200,
30,4114286,750,1000,150
31,16457143,500,1000,151
32,20571429,700,1000,152
33,12348000,700,1000,154
34,49392000,750,1000,155
35,61740000,750,1000,8066
36,5000,500,1000,158
37,5000,500,1000,159
38,5000,500,1000,-1
39,18516000,600,1000,179
40,74064000,800,1000,180
42,2058000,700,1000,191
43,8232000,700,1000,192
44,10290000,700,1000,7994
45,2880000,700,1000,195
46,11520000,700,1000,196
47,14400000,600,1000,894
50,10000,500,1000,226
51,100000,500,500,224
52,37032000,800,1000,234
53,148128000,300,600,235
54,185160000,650,1000,8086
56,5000,1000,1500,351
57,5000,500,1000,352
59,100000,700,1000,766
61,100000,300,600,594
63,100000,500,1000,763
64,100000,500,1000,767
66,100000,400,700,770
67,100000,400,1000,597
69,100000,500,1000,775
70,100000,500,1000,600
72,100000,500,1000,778
73,100000,500,1000,651
75,100000,500,1000,788
76,100000,500,1000,654
78,100000,500,1000,791
79,100000,500,1000,657
81,100000,500,1000,794
82,100000,500,1000,660
84,100000,400,800,797
85,100000,500,1000,665
87,100000,500,1000,800
88,100000,500,1000,670
89,100000,500,1000,802
91,100000,500,1000,673
93,100000,400,700,806
94,100000,500,1000,677
96,5000,500,1000,809
97,5000,500,1000,439
99,100000,500,1000,812
100,100000,500,1000,385
102,100000,500,1000,816
103,100000,500,1000,419
105,100000,500,1000,819
106,100000,500,1000,680
108,100000,500,1000,822
109,100000,500,1000,683
111,100000,500,1000,825
112,100000,500,1000,687
114,100000,500,1000,828
115,100000,500,1000,690
119,2520000,500,750,399
121,100000,500,1000,399
123,100000,500,1000,837
124,100000,500,1000,696
126,10000,500,1000,840
127,140000,500,1000,699
129,100000,400,700,843
130,100000,900,1000,704
132,100000,500,1000,846
133,100000,500,1000,707
135,100000,500,1000,849
136,100000,500,1000,710
138,100000,500,1000,852
139,100000,500,1000,713
141,100000,500,1000,855
142,100000,500,1000,716
145,100000,500,1000,719
147,100000,500,1000,861
148,100000,500,1000,722
150,100000,500,1000,864
151,100000,500,1000,725
153,100000,500,1000,867
154,100000,500,1000,728
156,100000,500,1000,870
157,100000,500,1000,731
159,100000,500,1000,873
160,100000,500,1000,734
162,100000,500,1000,876
163,100000,500,1000,737
165,100000,500,1000,879
166,100000,500,1000,422
167,5148000,800,1000,883
168,20592000,450,700,884
169,25740000,800,1000,8002
170,16848000,600,1000,892
174,2057143,700,1000,896
