id,operation_id,delay_id
1,3,1
2,4,1
3,1,1
4,2,1
5,1,1
6,2,1
8,3,1
9,4,1
11,6,1
12,7,1
14,3,1
15,3,1
16,3,1
17,3,1
20,5,1
21,4,1
22,5,1
23,5,1
24,4,3
25,4,2
26,4,1
27,7,3
28,7,2
29,7,1
30,3,3
31,3,2
32,3,1
33,3,3
34,5,2
35,5,1
36,6,3
37,6,1
38,2,3
39,2,2
40,2,1
41,1,3
42,1,2
43,1,1
44,1,1
45,1,1
46,1,1
47,5,1
48,5,1
49,1,1
50,1,1
51,1,1
52,1,1
53,3,1
54,2,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
68,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,3,1
83,1,1
84,1,1
85,1,1
86,1,1
88,1,1
89,1,1
91,1,1
92,1,1
93,1,1
95,1,1
96,1,1
