id,loot_pack_id
3,5714
4,6100
5,6100
6,5685
7,5685
8,5739
9,5685
10,5685
11,6100
12,6100
13,6100
14,6100
16,6098
17,6103
18,6105
21,6158
22,6158
25,6168
27,6100
28,6188
29,6187
30,6189
31,6182
33,6189
34,6217
37,6291
46,6189
47,6195
48,6182
49,6359
50,6360
51,6361
52,6362
53,6363
54,6364
55,6365
56,6366
57,6367
58,6368
59,6369
60,6370
61,6371
62,6372
63,6374
64,6375
65,6376
66,6379
67,6377
68,6378
69,6380
70,6381
71,6382
72,6383
73,6384
74,6385
75,6386
76,6387
77,6388
78,6389
79,6390
80,6391
81,6392
82,6393
83,6394
84,6396
85,6397
86,6398
87,6399
88,6400
89,6401
90,6402
91,6403
93,6404
94,6405
95,6406
96,6407
97,6408
98,6410
99,6411
100,6413
101,6412
102,6415
103,6416
104,6417
105,6418
106,6414
107,6425
108,6426
109,6427
110,6428
111,6429
112,6430
113,6431
114,6432
115,6433
116,6434
117,6435
118,6436
119,6443
120,6438
121,6441
122,6439
123,6437
124,6440
125,6442
126,6444
127,6445
128,6446
129,6452
130,6453
131,6454
132,6455
133,6456
134,6457
135,6458
136,6459
137,6460
138,6461
139,6462
140,6463
141,6464
142,6465
143,6466
144,6467
145,6468
146,6469
147,6470
148,6471
149,6472
150,6473
151,6474
152,6475
153,6476
154,6477
155,6478
156,6479
157,6480
158,6481
159,6482
160,6483
161,6492
162,6493
163,6494
164,6495
165,6496
166,6497
167,6498
168,6499
169,6500
170,6501
171,6502
172,6503
173,6504
174,6505
175,6506
176,6484
177,6485
178,6486
179,6487
180,6488
181,6489
182,6490
183,6491
184,6517
185,6518
186,6519
187,6520
188,6523
189,6521
190,6522
191,6524
192,6525
193,6526
194,6527
195,6528
196,6529
197,6530
198,6531
199,6532
200,6533
201,6534
202,6535
203,6536
204,6537
205,6538
206,6586
207,6541
208,6541
209,6541
210,6586
211,6586
212,6540
215,6587
217,6660
220,6100
222,6609
223,6609
224,6452
225,6453
226,6454
227,6455
228,6456
229,6457
230,6458
231,6459
232,6460
233,6461
234,6462
235,6463
236,6464
237,6465
238,6466
239,6467
240,6468
241,6469
242,6470
243,6471
244,6472
245,6473
246,6474
247,6475
248,6476
249,6477
250,6478
251,6479
252,6480
253,6481
254,6482
255,6483
256,6484
257,6485
258,6486
259,6487
260,6488
261,6489
263,6491
264,6492
265,6493
266,6494
267,6495
268,6496
269,6497
270,6498
271,6499
272,6500
273,6501
274,6502
275,6503
276,6504
277,6505
278,6506
279,6396
280,6397
281,6398
282,6399
283,6400
284,6401
285,6402
286,6403
287,6404
288,6405
289,6406
290,6407
291,6408
292,6410
293,6411
294,6413
295,6412
296,6415
297,6416
298,6417
299,6418
300,6414
301,6517
302,6518
303,6519
304,6523
305,6520
306,6521
307,6522
308,6524
309,6525
310,6526
311,6527
312,6528
313,6529
314,6530
315,6531
316,6532
317,6533
318,6534
319,6535
320,6536
321,6537
322,6538
323,6694
324,6359
325,6425
326,6425
327,6694
332,7204
337,6182
338,6182
339,7280
340,7281
341,7282
342,7283
344,7240
345,7284
346,7258
348,7259
349,7260
351,7261
353,7262
354,7263
355,7264
356,7265
357,7266
358,7267
359,7269
360,7268
361,6609
362,7285
363,7279
365,6384
366,6385
367,7372
368,5646
369,7403
370,7403
371,7404
372,7404
373,7477
374,7477
375,7478
377,7480
378,7481
379,7482
380,7483
381,7484
382,7485
383,7486
384,7487
385,7488
386,7489
387,7490
388,7491
389,7492
390,7493
391,7494
392,7495
393,7496
394,7497
395,7498
396,7499
397,7500
398,7501
399,7502
400,7503
401,7504
404,7531
405,7531
406,7529
407,7529
408,7530
409,7530
410,7532
411,7528
412,7555
413,7556
414,7557
415,7279
416,5685
417,7730
418,6360
419,6361
420,6362
421,6363
422,6364
423,6365
424,6366
425,6367
426,6368
427,6369
428,7818
429,7821
430,7825
431,7826
432,7850
433,6367
434,6366
435,6368
436,6365
437,6369
438,6364
439,6361
440,6360
441,6362
442,6363
443,6367
444,6366
445,6368
446,6365
447,6369
448,6364
449,6361
450,6360
451,6362
452,6363
453,7850
454,7850
456,7902
457,7890
458,7886
459,7886
460,7886
461,7887
462,7886
463,7886
464,7886
465,7885
466,7908
467,7909
468,7909
469,7909
470,7909
471,7909
472,7909
473,7909
474,7909
475,7909
476,7910
477,7911
478,7912
479,7913
480,7914
481,7915
482,7942
483,7944
484,7943
485,7949
486,7942
487,8014
488,7943
489,7944
490,8013
492,8042
493,8064
494,8064
495,8065
496,8065
497,8066
498,8066
499,8067
500,8067
501,8067
502,8067
503,8065
504,8065
505,8066
506,8066
507,8064
508,8064
510,8072
511,8073
512,8074
513,8075
514,8076
515,8077
516,8081
517,8081
518,8079
519,8079
520,8080
521,8080
522,8082
526,8149
527,8214
528,8214
