id,book_page_id,book_id
1,1,
2,6,
3,7,
4,8,
5,9,
6,10,
7,11,
8,12,
9,13,
11,14,
12,15,
13,16,
14,17,
15,18,
16,19,
21,26,
22,26,
23,25,
24,25,
25,27,
26,27,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,40,
39,41,
40,42,
41,43,
42,44,
43,45,
44,46,
45,47,
46,48,
47,49,
48,50,
49,51,
50,52,
51,53,
52,54,
53,56,
54,57,
55,55,
56,58,
57,59,
58,60,
59,64,
60,63,
61,78,
62,82,
63,83,
64,84,
66,93,
67,95,
69,108,
70,107,
72,101,
73,102,
76,1,
77,2,
78,98,
79,97,
80,100,
82,104,
83,105,
84,192,
85,224,
86,231,
88,408,
89,409,
90,410,
91,411,
92,412,
93,413,
94,414,
95,415,
97,407,
98,453,
99,455,
100,452,
101,455,
102,1,
103,3,
104,457,
105,458,
106,459,
107,467,
108,468,
109,,8
110,,6
111,,5
112,,7
113,,6
114,,9
115,,10
116,,12
117,,14
