id,flag,next_phase
1,t,2408
2,f,2407
3,t,2410
4,f,2409
5,t,2412
6,f,2411
7,t,2414
8,f,2413
9,t,2499
10,f,2498
11,t,2504
12,f,2503
16,t,2532
20,t,3127
21,t,3138
23,f,3119
24,t,3139
25,t,3610
26,f,3609
27,t,3612
28,f,3611
29,t,3625
31,t,3627
35,f,3624
36,f,3626
37,f,3626
38,f,3624
39,t,3629
40,t,3638
41,t,3639
47,f,3641
50,t,3758
61,t,4060
63,f,4124
64,t,4096
65,t,4098
66,t,4100
67,t,4102
68,t,4167
69,t,4642
70,t,4789
71,f,4790
72,f,4788
73,t,4787
74,f,5249
75,t,
76,t,5392
78,t,5377
79,t,5379
80,t,5381
81,t,5383
82,t,5385
83,t,3539
84,f,3530
85,t,5670
87,f,5669
89,t,6064
90,t,6050
91,t,6058
92,t,6050
94,t,6058
95,t,6064
96,t,7837
97,f,7838
103,t,8260
104,f,7885
105,t,8260
108,t,8382
109,f,8383
111,f,8560
112,t,8646
113,t,8780
114,t,8654
115,t,8657
116,t,8658
117,t,-1
118,t,8661
119,t,8662
120,t,-1
121,t,-1
122,t,8686
123,f,8684
124,f,8689
125,t,8688
126,t,-1
127,f,-1
128,t,8696
129,f,8698
130,t,8695
131,f,8696
132,t,8700
133,f,8701
134,t,8702
135,f,8703
136,t,8700
137,f,8705
138,t,8704
139,f,8720
140,t,8721
141,t,8722
142,f,8714
143,f,8716
144,t,8725
146,t,8766
147,t,8779
149,f,8778
151,f,8645
152,t,8782
153,f,8781
154,t,8784
155,f,8783
156,f,8783
161,t,8786
162,f,8815
163,t,8792
164,f,8813
165,t,8809
166,f,8816
167,t,8820
168,t,8821
169,f,-1
177,t,8847
178,f,-1
180,t,8873
181,f,-1
182,t,8845
184,t,8882
185,f,-1
186,t,8894
188,f,-1
189,f,-1
196,f,-1
197,t,8890
198,t,8895
199,f,-1
200,t,8913
201,t,8914
202,t,8915
203,f,8912
204,t,8933
205,f,8932
206,t,8945
207,f,8944
208,t,9004
209,f,9003
210,t,9006
211,t,9005
212,t,9008
213,t,9007
214,t,9010
215,t,9009
218,t,9110
220,t,9116
223,f,9117
225,f,9109
226,t,9230
227,f,-1
228,t,9249
229,f,-1
230,t,9251
231,f,-1
232,t,9264
233,f,-1
234,t,9275
235,t,9332
236,f,9331
237,t,10390
238,f,11773
239,t,10005
241,f,9966
243,f,10389
244,t,10387
245,t,11127
247,f,11121
249,t,11126
250,f,11716
251,t,11715
252,t,11796
253,f,11795
254,t,13240
260,t,13035
261,t,13030
262,t,13031
263,t,13032
264,t,13027
265,t,13028
266,t,13029
270,f,13024
271,f,13025
272,f,13026
273,t,14184
274,t,13163
275,t,13177
276,t,13180
277,t,13186
278,t,13184
279,f,13187
280,f,13188
281,t,13319
282,t,13347
284,t,13352
286,t,13352
287,t,13409
288,t,13763
289,f,13762
291,t,13960
292,f,13949
293,t,13962
295,t,13966
296,t,14241
297,t,14248
298,f,14246
299,t,14287
300,f,14281
301,t,14350
302,f,14349
303,t,14426
304,t,14439
305,t,14436
306,t,14676
307,f,14675
308,t,14701
309,t,14418
310,f,14419
311,t,14740
312,t,15209
355,t,15494
357,f,15492
358,t,15493
360,f,15659
361,t,15656
362,t,15657
363,t,16393
364,f,16394
365,t,16421
366,f,16434
367,t,16753
368,t,16788
369,t,16794
370,f,16803
371,t,16802
372,t,16813
373,t,16816
374,t,16835
375,t,16848
376,t,16850
380,t,17353
382,t,17387
384,t,17380
387,f,17665
389,t,17678
391,f,17680
393,t,17606
394,t,17614
395,t,17621
396,t,17628
397,t,17635
398,t,17642
399,t,17848
400,f,17851
401,f,17851
402,t,17848
403,t,17850
404,f,17852
405,f,17852
406,t,17850
407,t,17889
408,t,17899
409,t,17909
410,t,17919
411,t,17929
412,t,17939
414,t,17987
415,t,18000
416,t,18009
417,t,18020
421,t,18057
424,t,18062
426,t,18062
427,t,18106
428,t,18111
429,t,18120
430,t,18125
431,t,18140
433,f,17366
434,f,17251
436,t,18148
437,f,17367
438,t,18150
439,f,17265
440,t,18152
441,t,18154
442,t,18156
443,f,17088
444,f,17089
445,f,17098
446,t,18160
447,f,17382
448,t,18162
449,t,18164
450,t,18166
451,f,17362
452,f,17363
453,f,17364
454,f,17271
455,t,18168
456,t,18170
457,f,17355
458,f,17389
459,t,18172
464,t,18204
472,t,18187
475,t,18188
478,f,17997
479,t,18642
480,f,18641
481,t,18644
482,f,18643
483,t,18646
484,f,18645
485,t,18648
486,f,18647
487,t,18650
488,f,18649
489,t,18652
490,f,18651
491,t,18654
492,f,18653
493,t,18656
494,f,18655
495,t,18658
496,f,18657
497,t,18030
498,t,18674
499,t,18660
500,t,18449
501,t,18661
503,t,18883
504,t,19049
505,t,19061
506,t,19068
507,f,18882
508,f,19048
510,f,18882
511,f,19048
513,f,19030
514,t,19132
515,f,19030
516,f,19030
517,t,19312
518,f,19311
519,f,19311
522,f,19311
523,t,19319
524,f,19032
525,f,19032
526,f,19032
528,t,19352
529,f,19368
530,t,19366
531,t,19375
532,f,19037
533,f,19037
534,f,19037
535,f,19036
536,f,19036
537,t,19393
538,t,19389
539,t,19641
540,f,19036
541,f,19038
542,f,19038
543,f,19038
544,f,19032
545,t,17998
549,t,19953
550,f,19952
