id,group_id,ratio,anim,projectile_id,loot_pack_id,delay,sound_id,next_phase,projectile_delay
1,1,15.0,a,,,6400,,14816,0
2,1,15.0,b,,,6400,,14816,0
3,1,15.0,c,,,6400,,14816,0
4,1,17.25,d,,,6400,,14816,0
5,1,20.0,e,,,6400,,14816,0
6,1,9.25,f,,7258,6400,2251,14816,1000
7,1,4.0,g,,7299,6400,2251,14816,1000
8,1,2.0,h,,7259,6400,2251,14816,1000
9,3,10.0,a,,7262,6400,2251,0,0
10,0,100.0,,,,1000,,0,0
11,0,100.0,,,,1000,,0,0
12,0,100.0,,,,1000,,0,0
13,0,100.0,,,,1000,,0,0
14,0,100.0,,,,1000,,0,0
15,0,100.0,,,,1000,,0,0
16,0,100.0,,,,1000,,0,0
17,1,1.0,i,,7300,6400,2251,14816,1000
18,1,0.75,j,,7260,6400,2251,14816,1000
19,1,0.5,k,,7301,6400,2251,14816,1000
20,1,0.25,l,331,7261,6400,,14816,2000
21,3,15.0,a,,,6400,,14816,0
22,3,15.0,b,,,6400,,14816,0
23,3,15.0,c,,,6400,,14816,0
24,3,17.25,d,,,6400,,14816,0
25,3,20.0,e,,,6400,,14816,0
26,3,9.25,f,,7262,6400,2251,14816,1000
27,3,4.0,g,,7302,6400,2251,14816,1000
28,3,2.0,h,,7263,6400,2251,14816,1000
29,3,1.0,i,,7303,6400,2251,14816,2000
30,3,0.75,j,331,7264,6400,,14816,2000
31,3,0.5,k,331,7304,6400,,14816,2000
32,3,0.25,l,333,7265,6400,,14816,4000
33,5,15.0,a,,,6400,,14816,0
34,5,15.0,b,,,8000,,14816,0
35,5,15.0,c,,,6400,,14816,0
36,5,17.25,d,,,6400,,14816,0
37,5,20.0,e,,,6400,,14816,0
38,5,9.25,f,,7266,6400,2251,14816,1000
39,5,4.0,g,,7305,6400,2251,14816,1000
40,5,2.0,h,,7267,6400,2251,14816,2000
41,5,1.0,i,331,7306,6400,,14816,2000
42,5,0.75,j,332,7268,6400,,14816,3000
43,5,0.5,k,332,7308,6400,,14816,3000
44,5,0.25,l,334,7269,6400,,14860,5000
45,0,100.0,i,331,7264,6400,,14844,2000
46,0,100.0,j,332,7268,6400,,14844,3000
47,0,100.0,k,333,7265,6400,,14844,4000
48,0,100.0,l,334,7269,6400,,14846,5000
49,1,15.0,a,,,6400,,14852,0
50,1,15.0,b,,,6400,,14852,0
51,1,15.0,c,,,6400,,14852,0
52,1,17.25,d,,,6400,,14852,0
53,1,20.0,e,,,6400,,14852,0
54,1,9.25,f,,7309,6400,2251,14852,1000
55,1,4.0,g,,7310,6400,2251,14852,1000
56,1,2.0,h,,7311,6400,2251,14852,1000
57,1,1.0,i,,7312,6400,2251,14852,1000
58,1,0.75,j,,7313,6400,2251,14852,1000
59,1,0.5,k,,7314,6400,2251,14852,1000
60,1,0.25,l,331,7315,6400,,14852,2000
61,3,15.0,a,,,6400,,14852,0
62,3,15.0,b,,,6400,,14852,0
63,3,15.0,c,,,6400,,14852,0
64,3,17.25,d,,,6400,,14852,0
65,3,20.0,e,,,6400,,14852,0
66,3,9.25,f,,7316,6400,2251,14852,1000
67,3,4.0,g,,7317,6400,2251,14852,1000
68,3,2.0,h,,7318,6400,2251,14852,1000
69,3,1.0,i,,7319,6400,2251,14852,2000
70,3,0.75,j,331,7320,6400,,14852,2000
71,3,0.5,k,331,7321,6400,,14852,2000
72,3,0.25,l,333,7322,6400,,14852,4000
73,5,15.0,a,,,6400,,14852,0
74,5,15.0,b,,,6400,,14852,0
75,5,15.0,c,,,6400,,14852,0
76,5,17.25,d,,,6400,,14852,0
77,5,20.0,e,,,6400,,14852,0
78,5,9.25,f,,7323,6400,2251,14852,1000
79,5,4.0,g,,7324,6400,2251,14852,1000
80,5,2.0,h,,7325,6400,2251,14852,2000
81,5,1.0,i,331,7326,6400,,14852,2000
82,5,0.75,j,332,7327,1000,,14852,3000
83,5,0.5,k,332,7328,6400,,14852,3000
84,5,0.25,l,334,7329,6400,,14861,5000
85,1,15.0,a,,,6400,,14855,0
86,1,15.0,b,,,6400,,14855,0
87,1,15.0,c,,,6400,,14855,0
88,1,17.25,d,,,6400,,14855,0
89,1,20.0,e,,,6400,,14855,0
90,1,9.25,f,,7330,6400,2251,14855,1000
91,1,4.0,g,,7331,6400,2251,14855,1000
92,1,2.0,h,,7332,6400,2251,14855,1000
93,1,1.0,i,,7333,6400,2251,14855,1000
94,1,0.75,j,,7334,6400,2251,14855,1000
95,1,0.5,k,,7335,6400,2251,14855,1000
96,1,0.25,l,336,7336,6400,,14855,2000
97,3,15.0,a,,,6400,,14855,0
98,3,15.0,b,,,6400,,14855,0
99,3,15.0,c,,,6400,,14855,0
100,3,17.25,d,,,6400,,14855,0
101,3,20.0,e,,,6400,,14855,0
102,3,9.25,f,,7337,6400,2251,14855,1000
103,3,4.0,g,,7338,6400,2251,14855,1000
104,3,2.0,h,,7339,6400,2251,14855,1000
105,3,1.0,i,,7340,6400,2251,14855,2000
106,3,0.75,j,336,7341,6400,,14855,2000
107,3,0.5,k,336,7342,6400,,14855,2000
108,3,0.25,l,338,7343,6400,,14855,4000
109,5,15.0,a,,,6400,,14855,0
110,5,15.0,b,,,6400,,14855,0
111,5,15.0,c,,,6400,,14855,0
112,5,17.25,d,,,6400,,14855,0
113,5,20.0,e,,,6400,,14855,0
114,5,9.25,f,,7344,6400,2251,14855,1000
115,5,4.0,g,,7345,6400,2251,14855,1000
116,5,2.0,h,,7346,6400,2251,14855,2000
117,5,1.0,i,336,7347,6400,,14855,2000
118,5,0.75,j,337,7348,6400,,14855,3000
119,5,0.5,k,337,7349,6400,,14855,3000
120,5,0.25,l,339,7350,6400,,14862,5000
