id,ratio,next_phase
5,2500,2373
6,2500,2374
7,2500,2379
8,10000,2380
16,8000,2458
17,10000,2278
36,1000,3207
37,2000,3208
38,10000,3207
40,3000,3214
41,4000,3215
43,5000,3316
44,5000,3944
52,5000,4271
53,5000,4272
54,5000,4273
55,5000,4274
56,5000,4277
57,5000,4278
58,1670,4271
59,1670,4272
60,1670,4273
61,1670,4274
62,1670,4277
63,1670,4278
64,3300,4335
65,3300,4336
66,3400,4337
67,3500,4350
70,3500,4355
71,3000,4356
72,10000,4688
73,9900,4673
74,5000,4785
75,5000,4786
81,1670,4909
82,1670,4910
83,1670,4911
84,1670,4912
85,1670,4913
86,1670,4916
122,8000,2480
123,2000,2482
126,7000,5753
127,3000,5759
139,9000,6438
140,1000,6439
141,9000,6440
142,1000,6441
143,9500,6442
144,500,6443
147,5000,6498
148,5000,6499
150,5000,6498
151,5000,6499
152,8500,6750
153,1500,6751
154,8500,6752
155,1500,6753
156,8500,6754
157,1500,6755
158,9000,6756
159,1000,6757
169,5000,7080
170,5000,7079
177,3300,7272
178,3300,7287
179,3300,7288
186,7000,7371
187,2500,7370
188,500,7055
189,7000,7370
190,3000,7055
191,2000,7486
192,2000,7487
193,2000,7488
194,2000,7489
195,2000,7490
208,100,7483
209,9900,7483
210,100,7483
211,9900,7483
212,100,7483
213,9900,7483
214,100,7483
215,9900,7483
216,100,7483
217,9900,7483
218,5000,7544
219,5000,7536
220,2300,7595
221,2300,7596
222,3100,7597
223,2300,7598
246,5000,8157
247,5000,8275
248,5000,8272
249,5000,8276
251,10000,
254,5000,8388
255,5000,8386
260,3300,8535
261,3300,8536
262,3400,8537
263,1000,8544
264,9000,8545
265,500,8509
266,9500,5547
267,6000,8356
268,4000,8357
269,7000,8575
270,3000,8576
271,7000,8676
272,3000,8677
275,2500,8838
276,2500,8839
277,2500,8840
278,2500,8841
283,2500,8960
284,2500,8967
285,2500,8968
286,10000,-1
287,5000,8874
288,5000,9027
289,5000,9116
290,5000,9117
291,3000,9134
292,3000,9135
293,1000,9133
294,3000,9133
295,1000,9134
296,3000,9135
297,3000,9134
298,1000,9135
299,3000,9133
300,3000,9137
301,3000,9137
302,3000,9137
303,3000,9133
304,3000,9134
305,3000,9135
306,1000,9137
309,5000,9211
311,5000,9210
327,5000,9234
328,5000,9538
329,5000,9539
341,5000,9210
342,5000,9211
346,500,5798
347,4000,5797
348,5500,5796
349,500,6833
350,5500,6829
351,4000,6831
352,500,6809
353,4000,6808
354,5500,6807
355,500,6744
356,4000,6742
357,5500,9881
358,500,6789
359,4000,6788
360,5500,6787
361,500,5844
362,4000,5845
363,5500,5846
366,5000,9828
367,5000,9880
370,500,5812
371,4000,5810
372,5500,5809
381,500,6798
382,4000,6799
383,5500,6797
384,500,5786
