id,item_id,count
4,4029,1
8,15639,1
22,14600,1
24,14597,1
35,16280,1
36,16305,1
41,15684,1
42,18668,1
44,4958,1
45,15949,1
46,4980,1
47,18645,1
48,18703,1
49,18723,1
50,15804,1
51,13963,1
52,13963,1
54,16491,1
58,14795,1
60,14029,1
61,15058,1
62,1539,1
64,18755,1
65,18757,1
66,13959,1
68,18634,1
72,19077,1
73,17270,1
74,19405,1
76,19532,1
82,19678,1
83,19713,1
84,19714,1
85,19771,1
93,19870,1
96,13945,1
99,19571,1
138,19801,3
143,16029,1
144,19801,3
146,19801,3
149,20175,1
150,20145,1
152,5058,1
156,21275,1
157,21276,1
158,21564,1
160,20050,1
164,23591,1
165,23597,1
166,23597,1
167,23597,1
168,21545,1
171,19580,1
172,5209,1
173,5183,1
174,23411,1
175,1598,1
176,3899,1
178,24576,1
185,24919,1
186,17101,1
187,17327,1
188,15555,1
189,15555,1
194,18688,1
195,19106,1
200,26006,1
201,26309,1
202,14921,1
203,19433,1
204,17262,1
205,24843,1
206,18959,1
207,18959,1
208,18959,1
211,19630,1
212,27307,1
213,27372,1
214,27389,1
224,28409,1
225,27949,1
228,29943,1
231,29943,10
232,29943,30
233,29943,1
234,29943,10
235,29943,30
236,29943,1
237,29943,10
238,29943,30
239,29943,1
240,29943,10
241,29943,30
242,29943,1
243,29943,10
244,29943,30
245,29943,1
246,29943,10
247,29943,30
248,29943,1
249,29943,10
250,29943,30
251,29943,1
252,29943,10
253,29943,30
