id,wi_id,item_id
1,0,3
3,15,1650
4,0,3
5,0,3
6,0,3
7,19,3890
9,19,2736
10,19,1454
11,19,1455
24,19,4029
30,19,2744
35,19,3907
36,19,3910
38,19,3912
39,19,3902
41,19,4029
42,19,4029
43,19,4029
44,19,4029
51,19,2734
68,19,2759
69,0,4702
86,19,5093
91,19,5156
95,0,8139
96,0,8137
108,19,5096
113,19,13854
116,19,13767
117,19,13811
126,19,14106
134,19,14175
137,19,13959
139,19,13959
141,19,13959
161,19,14882
162,19,14883
189,19,15982
190,19,15982
191,19,15982
199,0,16135
203,19,17947
204,19,17950
205,19,17951
206,19,17948
207,19,17949
208,19,8093
216,19,13959
222,19,19036
229,19,2744
230,19,2745
233,19,15555
234,19,15555
237,19,26017
249,19,26721
250,0,26722
253,19,27402
254,19,27400
255,19,27401
256,19,27404
258,19,27403
259,19,27395
261,19,27393
262,19,27393
263,19,27393
264,19,27393
266,19,28039
267,19,28230
