id,wi_id,quest_id
1,0,1
2,0,1
3,0,1
5,0,249
6,0,253
7,34,69
8,19,255
12,19,218
13,19,49
18,19,128
19,19,215
22,19,259
23,19,260
24,19,265
25,19,265
30,19,275
32,19,280
34,0,282
35,19,287
36,0,287
37,19,288
38,0,294
39,0,295
40,0,110
42,0,177
43,0,177
44,0,171
46,19,302
49,19,306
51,0,306
58,0,232
66,34,61
67,34,61
69,19,259
73,19,196
74,0,196
75,19,18
78,0,340
79,19,190
80,0,306
81,0,339
84,0,357
85,19,350
86,0,128
87,19,128
88,19,348
89,19,355
93,19,97
100,19,526
102,0,533
109,19,562
110,19,562
111,19,569
114,19,579
122,19,588
123,19,588
125,19,597
126,0,586
127,19,595
128,19,595
129,19,595
130,19,595
135,0,524
137,19,527
143,0,630
146,0,633
150,19,660
151,0,646
172,19,221
187,0,536
195,0,703
200,0,369
205,19,667
208,19,667
209,19,23
210,19,555
211,19,762
212,0,762
222,19,903
224,19,865
225,19,769
227,19,782
229,19,4891
231,0,941
232,19,788
233,19,792
234,19,791
235,19,794
246,0,648
248,0,372
249,0,742
252,19,708
258,19,781
259,19,771
260,0,791
261,19,255
262,19,949
263,19,949
264,19,949
265,19,949
267,19,701
270,19,873
271,0,1223
272,19,1224
273,0,997
274,19,1028
275,19,987
276,0,1008
277,19,1228
298,19,1291
300,19,1425
308,19,1297
309,0,1280
311,19,1371
312,19,1271
315,19,1379
317,0,1381
322,0,1474
324,0,1483
327,19,1461
328,19,1461
331,19,985
335,19,229
337,19,1504
346,19,677
347,0,435
348,0,418
349,19,1930
350,0,419
351,0,418
352,0,434
353,0,425
354,0,420
355,19,1454
360,19,1023
366,19,22
371,19,1363
376,19,235
384,19,685
387,0,1409
388,19,665
400,19,935
410,19,229
412,19,1668
416,19,1681
421,0,1673
422,19,1689
425,19,1689
426,19,128
433,19,84
437,19,1462
442,0,1715
452,19,265
455,19,301
456,19,1215
457,19,1232
459,19,1240
460,19,1361
461,19,1365
462,19,3804
463,19,1426
464,19,1428
465,19,1436
471,19,950
472,19,1505
473,19,1514
474,19,1517
476,19,745
477,19,745
478,19,753
480,19,774
482,19,780
484,19,941
485,19,784
486,19,1423
492,19,1043
493,0,1013
501,19,1040
502,19,1042
504,0,1319
517,19,1018
518,19,1431
520,1,839
521,76,1853
522,1,839
525,19,997
532,19,1131
541,0,1971
547,19,1984
548,19,1991
553,0,1988
556,19,991
557,19,991
560,0,2026
562,0,2043
563,0,2002
565,0,2094
566,0,2015
567,0,2019
568,19,2009
569,0,2077
571,0,2012
572,0,2020
573,1,1083
574,1,1083
577,1,1083
578,1,1083
584,19,2236
585,19,2348
586,19,2255
587,19,15
588,19,922
590,19,18
591,19,2393
592,19,2244
593,19,25
595,19,46
596,19,2398
598,19,2489
599,19,68
600,19,75
601,19,87
602,19,111
603,19,78
604,19,113
605,19,2254
606,19,2497
607,19,82
608,19,2417
609,19,2496
612,19,82
613,19,116
614,19,2519
615,19,128
616,19,2507
618,19,128
620,19,128
621,19,128
622,19,84
624,19,99
625,19,130
626,19,1572
627,19,131
628,19,134
629,19,1660
630,19,1599
631,19,140
632,19,2423
633,19,1618
634,19,1655
635,19,148
636,0,3528
639,19,1633
640,19,158
641,19,618
642,19,626
645,19,633
646,19,1704
647,19,637
648,19,4064
649,19,649
650,0,650
651,19,2563
652,19,1474
653,19,2563
654,19,2563
655,19,1481
658,0,608
659,19,2567
660,19,2412
661,19,2416
662,19,2754
663,19,2754
664,0,2435
665,19,2439
666,19,2457
667,19,990
668,19,991
670,19,994
671,19,2464
672,19,2473
673,19,997
674,0,4124
675,19,2482
676,19,1014
677,19,1017
678,19,524
679,19,527
680,19,356
681,19,545
683,19,566
684,19,572
686,19,265
687,19,2239
690,19,1026
691,19,1030
692,19,1041
693,19,1042
694,19,1298
695,19,1933
696,19,1940
697,19,2059
698,19,2076
701,19,1170
702,19,1164
703,19,1136
704,19,1121
705,19,1121
707,19,1134
708,19,1163
709,19,1139
710,19,1182
712,19,1060
713,19,1061
714,19,1062
715,19,1069
716,19,1075
717,19,1076
718,19,1092
720,19,1051
721,19,1060
722,19,1065
723,19,1083
724,19,1107
725,19,1086
726,19,1110
727,19,801
728,19,816
729,19,2250
730,19,822
731,19,822
732,19,273
733,19,822
734,19,837
735,19,270
736,19,856
737,19,803
738,19,266
739,19,802
740,19,847
741,19,839
742,19,824
743,19,1511
744,19,853
745,19,1511
746,19,2138
747,19,817
748,19,1463
750,19,806
751,19,806
752,19,2137
753,19,814
754,19,2135
755,19,2057
756,19,858
757,19,2128
758,19,1512
759,19,893
760,19,179
762,19,13
763,19,110
764,19,186
766,19,178
767,19,196
768,19,192
769,19,1589
773,19,1366
774,19,1366
775,19,1413
776,19,1439
777,19,1441
779,19,2493
781,19,2493
786,19,2903
787,0,1667
788,19,754
789,0,1677
790,19,1303
791,19,1316
792,19,1320
793,19,1329
794,19,1325
795,19,1328
796,19,1337
797,19,1341
798,19,1343
799,19,1351
800,19,1327
802,19,1322
803,19,1489
804,19,1490
805,19,1490
806,19,1490
807,19,1492
808,19,1745
809,19,1741
810,19,1743
811,19,1833
812,19,1833
813,19,1833
814,19,1833
815,19,2048
816,19,2048
817,19,2048
818,19,2066
819,19,2065
820,19,1326
821,19,1305
822,19,1117
823,19,2908
824,19,2908
825,19,2908
826,19,2908
827,19,2271
828,19,2278
829,19,2282
830,19,2314
831,19,2314
832,19,2314
833,19,2288
834,19,2285
835,19,2310
836,19,2289
837,19,2292
839,19,2305
840,19,2308
841,19,2973
842,19,874
843,19,2922
845,19,2307
846,19,2294
847,19,2297
848,19,2515
849,19,2929
850,19,2295
851,19,2317
852,19,2336
853,19,2294
855,19,2932
856,19,535
857,19,2343
858,19,2936
859,19,2936
860,19,1783
861,19,1789
863,19,1802
864,19,1804
865,19,1808
866,19,1811
869,19,1762
870,19,2295
871,19,2295
873,19,3040
874,19,3040
875,19,1819
876,19,1774
877,19,3202
878,19,2295
880,0,3213
881,0,3074
884,19,3188
885,0,3190
886,19,3191
887,19,3079
888,19,3089
889,0,3081
890,0,3095
892,19,3337
893,19,3310
894,19,3312
896,19,3306
897,19,3307
898,19,3338
900,19,3344
901,19,3341
902,0,3201
903,19,2560
904,19,3108
907,19,3108
910,19,3117
911,19,3132
912,19,3144
913,19,3146
914,19,3152
916,19,3151
917,19,3154
918,0,3197
919,19,3156
920,19,3157
922,19,3116
924,19,3051
925,19,1970
926,19,3142
927,19,3091
928,19,1974
929,19,2026
930,19,3324
931,19,2012
932,19,1992
933,19,3393
934,19,874
935,19,3404
937,19,3144
938,19,1986
941,19,3611
944,19,1989
946,19,3327
947,19,1977
948,19,1977
949,19,1977
951,19,3362
952,19,2017
953,19,2043
955,19,2007
957,19,3617
958,19,2077
959,19,2077
962,0,2976
963,0,2976
964,0,2976
965,0,2976
966,0,2976
967,0,2976
968,0,2976
969,0,2976
970,0,2976
971,0,2976
973,0,3576
974,0,3576
975,19,3108
976,0,3370
977,19,2978
979,19,2988
980,0,2990
981,19,2994
982,19,2996
983,0,3004
984,0,3010
985,19,3017
986,19,3022
987,19,3028
988,0,3026
989,19,3013
990,19,3033
991,19,3035
993,0,3005
994,19,3025
996,19,3643
997,0,3026
998,19,3646
999,19,3649
1000,19,3652
1001,19,3653
1003,19,2020
1004,19,2020
1005,19,2018
1006,19,3654
1007,19,3015
1009,19,1974
1010,19,3658
1012,19,3664
1013,19,3675
1015,19,3680
1016,19,3683
1017,19,3692
1018,19,3696
1019,19,3696
1020,19,1980
1021,19,777
1022,19,3701
1024,19,3707
1025,19,3718
1026,19,2094
1027,19,2003
1028,19,3702
1029,19,3703
1030,19,3705
1031,19,1682
1032,19,1682
1033,19,3068
1034,19,3708
1035,19,3716
1036,19,3719
1037,19,3726
1038,19,3732
1039,19,3741
1040,19,3706
1042,19,3625
1043,19,3736
