id,name,pick_num
1,마리아노플,1
2,오스테라,2
3,하얀숲,3
4,그위오니드,4
5,바라기 마을,1
6,바람초원,1
7,그위오니드 숲,2
8,바람그늘 마을,3
9,들맞이 벌판,1
10,바람그늘 마을,2
11,론반 공작의 성,3
12,쇠모루 마을,1
13,거미 숲,2
14,거미 숲,1
15,기계 폐기장,2
16,기계 폐기장,1
17,북 데비강,2
18,호랑이 눈,3
19,공방 거리,1
20,상단 조합,2
21,상점 거리,3
22,북 데비강,1
23,코볼트 동굴,2
24,수정 호수,1
25,물 안개 숲,2
26,황금 실타래 마을,1
27,마리아노플,2
28,티본의 농장,1
29,토리니 정원,1
30,마리아노플,1
31,벌거숭이 언덕,2
32,가랑돌 평원,3
33,쇠모루 마을,3
34,호랑이 눈,3
35,백월만,0
36,경작지,1
37,바라기 마을,1
38,푸른 안개 숲,2
39,남쪽 선돌터,1
40,푸른 안개 숲,2
41,북쪽 선돌터,1
42,서쪽 선돌터,2
43,남쪽 선돌터,1
44,파수 마을,2
45,서쪽 선돌터,3
46,경작지,1
47,초승달 왕좌,2
48,파수 마을,1
49,백월만,2
50,우윳빛 강 마을,3
51,잊혀진 성,1
52,일벌백계의 폐허,1
53,릴리엇 구릉지,2
54,일벌백계의 폐허,1
55,릴리엇 구릉지,2
56,잊혀진 성,1
57,요정의 숲,2
58,군사 지구,1
59,공방 지구,2
60,군사 지구,1
61,중앙 광장,2
62,공방 지구,3
63,항구 시장,1
64,중앙 광장,2
65,초승달 항구,1
66,공방 지구,2
67,본성,1
68,도서관,2
69,상업 지구,1
70,축복의 정원,2
71,상업 지구,1
72,군사 지구,1
73,중앙 광좡,2
74,주거 지구,3
75,비행장,1
76,군사 지구,2
77,중앙 광장,3
78,주거 지구,1
79,군사 지구,1
80,공방 지구,1
81,비행장,1
82,"자작나무 마을, 태초의 요람",1
83,미망인의 여울목,2
84,마리아노플,3
85,자작나무 마을,1
86,"하얀 숲 나루터, 마리아노플",2
87,향기로운 들판. 벌 조심!,3
88,분열된 십자로,1
89,하얀 숲 서부,2
90,"향기로운 들판, 쇠의 길",3
91,태초의 요람,4
92,벌거숭이 언덕,1
93,선착장,2
94,광장: 마리아노플의 별,3
95,기억의 터,2
97,주거 지역,1
98,광장: 마리아노플의 별,1
99,마리아노플 경비대/감옥,2
100,황금 실타래 벌판,3
101,기억의 터,1
102,호숫가 마을,2
103,주거 지역,1
104,영혼의 안식처,3
105,호숫가 마을,2
106,호숫가 마을,1
107,기억의 터,2
108,금지된 유적지,3
109,누잔의 수련장,2
110,인도자의 나무,1
111,페피의 숲,1
112,그위오니드 호수,2
113,희생제 제단,3
114,리미온의 야영지,1
116,가시덩굴 숲,2
117,제작 지구,1
118,공학 연구소,2
119,광장: 마리아노플의 별,3
120,예술관,1
121,광장: 마리아노플의 별,2
122,대학,3
123,릴리엇 구릉지,1
124,리아나의 야영지,1
125,바람의 폐허,2
126,노르예트 저택,1
127,트리스테 저택,2
128,트리스테 저택,1
129,위어드윈드 저택,2
130,갈라진 대지,1
131,바람그늘 마을,2
132,두 왕관,1
133,주거 지역,2
134,초원의 갈림길,1
135,가리 여울 마을,2
136,위험! 베어 산채,3
137,무너진 성채,4
138,주거 지역,1
139,두 왕관,2
140,마리아노플 농장,3
141,도시: 마리아노플,4
142,버려진 농장,1
143,버리의 농장,2
144,눈사자 훈련소,1
145,바람자취 부락,1
146,탄생의 절벽,1
147,매의 품,1
148,큰매바위,2
149,탄생의 절벽,3
150,잿빛안개 부락,1
151,탄생의 절벽,2
152,옥시언 상단,1
153,매의 품,2
154,낮의눈/박쥐 동굴,3
155,잿빛안개 부락,1
156,낮의 눈,2
157,박쥐 동굴,3
158,잿빛안개 부락,1
159,마음의 고향,2
160,옥시언 상단,3
161,주거 지역,1
162,가온달 부락,2
165,흰구름결 부락,1
166,옥시언 상단,2
167,가온달 부락,1
168,물 안개 숲,1
169,야타 방목장,2
170,흰구름결 부락,1
171,호랑이등뼈 산맥,2
172,안개 동굴,1
173,밤의 눈,1
174,안개 동굴,1
175,밤의 눈,2
176,호랑이등뼈 산맥,1
177,바람그늘 마을,1
178,가랑돌 평원,2
179,무너진 성채,1
180,릴리엇 갈림길,2
181,가리 여울 마을,3
182,바위 언덕 마을,1
183,론반 광산,2
184,바람그늘 마을,3
185,노송그루 마을,1
186,주거지역,2
187,자작나무 마을,1
188,수호자의 나루터. 출입 통제!,2
189,가랑돌 평원,3
190,태초의 요람,1
191,하피 둥지. 위를 조심하시오.,2
192,"자작나무 마을, 마리아노플",3
193,"검은 갈기 일족 거점, 하얀 숲 서부",1
194,자작나무 마을,2
195,붉은 이끼 동굴,3
196,"수호자의 나루터, 하얀 숲 남부",1
197,하얀 숲 동부,2
198,붉은 이끼 동굴 입구,1
199,분열된 십자로,2
200,"하피 둥지, 송별의 뜰",3
201,자작나무 마을,1
202,하얀 숲 남부,2
203,탑의 도시,3
204,노래의땅,1
205,호랑이등뼈 산맥,2
206,이른아침 대추야자 양조장,4
207,여왕의 탑 채석장,1
208,칼리만탄 고무나무 조림지,2
209,탑의 도시,3
210,여왕의 탑 채석장,3
211,탑의 도시,1
212,마하데비 항구,2
213,탑의 도시,3
214,동틀녘 반도,1
215,여왕의 탑 채석장,2
216,무지개 벌판,3
217,검은 바위 돌해안,1
218,사금 채취장,2
219,호랑이 눈,1
220,마하데비,1
221,가랑돌 평원,1
222,하얀 숲,1
223,"대학, 예술관",1
224,매사냥 고원,1
226,가랑돌 평원,1
227,솔즈리드 반도,1
228,그위오니드 숲,1
229,마리아노플,1
230,가랑돌 평원,1
231,"상점, 제작 지구",2
232,재판소,3
233,탑의 도시,3
234,무지개 벌판,1
235,마하데비 항구,2
236,여왕의 탑 채석장,3
237,검은 바위 돌해안,1
238,여행자의 쉼터,2
239,여행자의 쉼터,3
240,쓰레기 더미 해안,1
241,칼리만탄 고무나무 조림지,2
242,모래 먼지 마을,1
243,마리아노플,2
244,하얀 숲,3
245,로즈엔드 초소,3
246,모래 먼지 마을,2
247,릴리엇 강 하류,1
248,모래 먼지 마을,1
249,로이스터 야영지,2
250,릴리엇강 하류,1
251,로이스터 야영지,2
252,공사현장,3
253,공사현장,1
254,릴리엇 구릉지,2
255,로이스터 야영지,1
256,남쪽 선돌터,1
257,가라앉은 만,2
258,여행자의 샘,1
259,바슈디의 야영지,1
260,여행자의 샘,2
261,파비트라 대여제 전사지,1
262,여행자의 샘,2
263,햇무리 언덕,1
264,오스테라,2
265,마하데비,3
266,연기나는 해안,4
267,반짝이는 숲,1
268,연기나는 해안,2
269,여행자의 샘,3
270,오스테라,1
271,시가지 공사장,2
272,햇무리 마을,1
273,여행자의 샘,2
274,샤프란 재배지,3
275,반짝이는 숲,1
276,황혼의 언덕,2
277,망자의 계곡,1
278,여행자의 샘,1
279,햇무리 언덕,2
280,삼거리 임시 초소,3
281,파비트라 대여제 기념비,1
282,??,2
283,호랑이 등뼈 산맥,0
284,동틀녘 반도,1
285,그위오니드 숲,1
286,솔즈리드 반도 행,1
287,마하데비,1
288,광산 입구,1
289,별똥비 마을,2
290,6현인의 석상,1
291,낙하 주의!,1
292,별똥비 마을,2
293,안델프,3
294,별똥비 마을,2
295,안델프,3
296,안델프,1
297,안델프에 넋을 놓지 마시오.,2
298,"카페테리아, 현인의 홀",1
299,"음악당, 만신전",2
300,아키움 정제기,3
301,"동문, 비행장",4
302,"광산길, 서문",1
303,조상의 홀,2
304,동문,3
305,아파트,1
306,현인의 홀,2
307,"광산길, 비행장",3
308,"서문, 감옥, 역",4
309,현인의 홀,1
310,역,2
311,감옥,3
312,서문,4
313,구멍난 골짜기,1
314,씨앗 광산,2
315,안델프,3
316,세상에서 가장 높은 곳에 있는 여관,1
317,검독수리 마루 마을,1
318,맨발고개,1
319,안델프,2
320,서리 언덕,3
321,태초의 요람,4
322,아키움 정제기,1
323,카페테리아,2
324,카페테리아,1
325,비행장,2
326,아키움 정제기,1
327,비행장,2
328,그위오니드 숲,1
329,안델프 서문,1
330,"맨발고개, 서리언덕",2
331,오늘의 운세 : 점술가,1
332,마하데비,1
333,자운의 농장,2
334,북방 이슈바라 검문소,3
335,북방 이슈바라 검문소,1
336,비파노래 언덕,2
337,비파 항구,3
338,비파노래 언덕,1
339,일곱다리 마을,2
340,비파 항구,3
341,술향기 마을,1
342,비파 항구,2
343,뱀밭,1
344,술향기 마을,1
345,날개깃 계곡,2
346,뱀밭,3
347,술향기 마을,1
348,눈물 젖은 언덕,2
349,날개깃 계곡,3
350,술향기 마을,1
351,징병소,2
352,재회의 사당,3
353,폐허가 된 어촌,1
354,징병소,2
355,고대의 숲,3
356,눈물 젖은 언덕,4
357,폐허가 된 어촌,1
358,징병소,2
359,비파 항구,3
360,폐허가 된 어촌,1
361,술취한 논,2
362,비파 항구,3
363,숲의 수호자 부락,3
364,사냥꾼 마을,1
365,노래의 땅,2
366,숲의 수호자 부락,3
367,가리어진 숲,1
368,사냥꾼 마을,2
369,가리어진 숲,1
370,기억저편의 숲,3
371,빈 나무 터,2
372,광산 입구,1
373,휴게실,2
374,혁신 광맥,3
375,광산 입구,1
376,외부 통로,2
377,광물 배양실,3
378,검은 숲,3
379,고대 무덤 지대,1
380,달 그림자 마을,2
381,고대 무덤 지대,1
382,이니스테르,4
383,검은 숲,2
384,침묵의 호수,3
385,동부 황금 평원,1
386,해오름 마을,2
387,두 왕관,3
388,서부 황금 평원,1
389,양조장,2
390,해오름 마을,3
391,서부 황금 평야,1
392,빈 목소리의 동굴,2
393,동부 황금 평야,3
394,용사의 벌판,1
395,해질녘 마을,2
396,동부 황금 평원,3
397,용사의 벌판,1
398,성터,2
399,지옥 늪지대,3
400,화강암 채석장,1
401,핫산의 야영지,1
402,하토라,1
403,거대 개미 서식지ㅣ,1
404,마른 볕 쉼터,2
405,부서진 짐마차,2
406,하토라,1
407,붉은 갈기 놀 소굴,1
408,뱀의 틈,2
409,뱀눈 바이암 소굴,1
410,호랑이 등뼈 산맥,2
411,장미 장원,1
412,에안데르 왕자 기념비,2
413,고대의 숲,3
414,"염원의 강, 카어 노르드",1
415,"장미 장원 농가, 회한의 절벽",2
416,장미 장원 저택,3
417,보루,1
418,장미 장원,2
419,루비 광산,3
420,카어 노르드,4
421,상공업 지구,1
422,"부유층 거주지, 왕성",2
423,카어 노르드 동문,3
424,"조선소, 상공업지구",1
425,비행선 탑승장,2
426,"부유층 거주지, 왕궁",3
427,카어 노르드 서문,1
428,"조선소, 고래 해체장",2
429,환락가,3
430,상공업지구,4
431,"보루, 카어 노르드",1
432,"루비 광산촌, 석류빛 동굴",2
433,너도밤나무 숲,3
434,"광산 입구, 루비 광산촌",1
435,광산 안쪽,2
436,"광산 출구, 너도밤나무 숲",3
437,너도밤나무 숲,1
438,루비 광산촌,2
439,"석류빛 동굴, 고대의 숲",3
440,너도밤나무 숲 폐허,1
441,"석류빛 동굴, 고대의 숲",2
442,말리카족 부락,3
443,"고인돌 평야, 진혼 곶",1
444,루비 광산촌,2
445,"너도밤나무 숲 폐허, 말리카족 부락",3
446,"고인돌 평야, 진혼 곶",1
447,카어 노르드,2
448,"보루, 루비 광산, 장미 장원",3
449,수행자의 마을,1
450,염원의 강,2
451,너도밤나무 숲,3
452,피네아 항구,1
453,"하디르의 농장, 이니스테르 기념비",2
454,"카어 노르드, 염원의 강",3
455,파도소리 폐허,4
456,스톨텐베르그 토성,1
457,카어 노르드,2
458,건널 수 없는 해협,3
460,,0
462,수호의 야영지,1
463,주거 지역,2
464,무법 마을,3
466,무법 마을,1
467,수호의 야영지,2
468,트리스테 극단 야영지,3
469,황금 평원,1
470,그림자 숲,2
471,수호의 야영지,3
472,무법 마을,4
473,수호의 야영지,1
474,악명의 골짜기,2
475,무법 마을,3
476,황금바다 해적 은신처,1
477,트리스테 극단 야영지,2
478,고대 신앙자의 성,3
479,트리스테 극단 야영지,1
480,긴 모래톱,2
481,황금바다 해적 은신처,3
482,트리스테 극단 야영지,1
483,고대 신앙자의 성,2
484,수호의 야영지,3
485,눈사자 바위,0
489,카파간 초원,1
490,지옥 늪지대,1
491,녹색 늑대의 숲,2
