id,skill_id
11,11855
13,11855
14,11855
15,11855
22,11855
23,11855
29,12314
31,12566
41,12936
43,13164
44,13206
46,13558
47,13558
48,13558
49,13558
50,13299
53,13299
55,13209
56,10664
58,11330
61,13446
62,13511
63,13512
64,13558
65,5001
66,13558
67,13558
69,13559
72,14585
75,15099
76,15100
77,15100
78,15099
79,15099
80,15100
81,15099
82,15100
83,15100
84,15100
85,15099
86,15100
87,15099
88,15100
89,15099
90,15100
91,15099
92,15099
93,15099
94,15099
95,15099
96,15099
97,15099
98,15099
99,15099
100,15099
101,15100
102,15100
103,15100
104,15100
105,15100
106,15100
107,15100
108,15100
109,15100
110,15100
111,15100
112,15100
113,15100
114,15100
115,15099
116,15099
117,15099
118,15099
119,15099
120,15100
121,15100
122,15100
123,15100
124,15100
125,15099
127,15099
128,15099
129,15099
130,15099
131,15099
132,15123
136,15601
139,15601
142,15601
143,15601
144,15601
145,15601
146,15601
147,15601
148,15601
149,15601
150,15601
151,15601
154,15601
155,15601
158,15601
160,15601
161,15601
162,15601
163,15601
165,15601
166,15601
167,15601
168,15601
169,15601
170,15601
171,15601
172,15601
174,15601
175,15601
176,15601
177,15601
178,15601
179,15601
180,15601
181,15601
182,15601
183,15601
184,15601
185,15601
186,15601
187,15601
188,15601
189,15601
190,15601
191,15601
192,15601
198,15944
199,15944
200,15944
203,15944
204,16074
205,16074
206,16074
207,16074
208,16074
210,15944
211,15944
212,15944
213,13511
214,13511
218,16074
222,16074
223,16074
224,16235
227,15858
228,15858
229,15858
230,15858
234,16602
236,16686
238,16074
241,16654
242,16660
243,16635
244,16627
246,16777
248,11484
249,16879
250,16900
252,13446
253,16088
254,17103
255,17260
256,17283
257,12439
258,11968
260,17422
261,17423
264,17421
265,16594
269,16627
270,17448
271,17461
272,17472
275,13463
276,17563
277,17601
279,18911
280,17754
281,17755
282,18021
283,18024
284,15944
286,15944
287,18031
288,15944
289,17118
291,18083
292,18084
293,18085
294,18086
295,18107
296,18107
297,18107
301,18217
303,18263
305,18277
306,18277
307,18278
312,18312
313,18312
314,18312
317,18390
318,18429
319,18478
321,18605
323,18622
325,18674
326,18677
327,18668
328,18669
329,18671
330,18670
331,18713
332,18717
334,18722
335,18722
336,18787
337,18789
338,18790
339,18791
340,18796
341,18797
342,18865
344,18722
345,18722
346,18722
347,18722
348,18938
350,18938
352,18938
354,18944
357,18952
358,19024
359,19011
360,19106
361,19130
362,19130
363,19130
364,19130
370,19130
372,18931
373,19450
374,19234
375,19236
376,19235
377,18797
378,18797
379,19271
381,18938
382,19304
383,19322
384,19328
385,19328
388,18953
389,18951
390,19374
391,19380
392,19375
396,19407
397,19406
398,19415
399,19429
401,19407
402,13446
403,19447
405,19451
406,19453
407,19483
409,19504
410,19447
411,18670
412,19236
413,19235
414,19234
415,19234
416,19236
417,19235
420,19406
421,19406
422,19690
423,19236
424,19236
425,19755
426,19842
427,19482
428,19493
429,19506
430,19501
431,17651
432,18188
433,20035
434,20035
435,20035
436,20092
437,15702
439,20095
440,20140
441,20144
442,20144
443,20144
444,20144
445,20144
446,20144
447,20144
448,20144
449,20144
450,20144
451,20144
452,20144
453,20144
454,20144
455,20144
456,20144
457,20144
458,20144
459,20144
460,20144
461,20144
462,20144
463,20144
464,20144
465,20144
466,20144
467,15944
468,20144
469,20169
470,18263
471,20192
472,20169
473,20198
474,20199
475,18671
476,20169
477,18952
478,18953
479,18951
480,19406
481,19447
482,20092
483,20212
484,17421
485,17423
486,17422
487,19234
488,19236
489,19235
490,20198
491,20199
492,18671
497,19447
498,19531
499,20233
500,19535
501,19755
502,20248
503,20247
504,17608
505,15601
506,20325
511,15601
512,15601
513,15601
514,15601
515,15601
516,15601
517,15601
518,15601
519,15601
520,15601
521,15601
522,15601
523,15601
524,15601
525,15601
526,15601
527,15601
528,15601
529,15601
530,15601
531,15601
532,15601
533,15601
534,15601
535,15601
536,21262
537,20517
538,20524
539,20524
540,21579
541,20573
542,20573
543,20647
544,16379
545,20594
546,20594
547,20594
548,20615
549,20618
550,20626
551,20325
552,20325
553,20325
554,20325
555,20325
556,20496
558,20497
559,20498
560,20546
561,20726
562,20726
563,20727
564,20727
565,13567
566,20753
567,20776
568,18952
569,18953
570,18951
571,19406
572,19447
573,20092
574,20618
575,18952
576,18953
577,18951
578,19406
579,19447
580,20092
581,20618
582,18952
583,18953
584,18951
585,19406
586,19447
587,20092
588,20618
589,20791
590,20792
591,20916
592,20946
593,21579
597,20980
598,20980
599,20980
601,21019
602,20740
603,21092
604,21092
606,21184
607,21092
608,21164
609,21164
610,21178
611,21164
612,21187
613,21347
614,21361
615,21361
616,21361
617,21227
618,21039
619,21225
620,21067
621,21223
622,21040
623,21040
624,21227
625,21039
626,21225
627,21067
628,21223
629,21072
630,21236
631,21377
632,21040
633,21227
634,21039
635,21225
636,21067
637,21223
638,21072
639,21225
640,21225
641,21040
642,21227
643,21039
644,21225
645,21067
646,21223
647,21072
648,21067
649,21227
650,21039
651,21225
652,21067
653,21223
654,21072
655,21040
656,21455
657,21503
658,21502
659,21514
660,21491
661,21515
662,21489
663,21550
664,21588
665,21067
667,21072
668,20618
669,21092
670,21635
671,21635
672,21635
673,21635
674,21635
675,20647
676,21267
677,21569
679,21642
680,21677
681,21677
682,21677
683,21657
684,21697
685,21701
687,21704
690,21697
691,21747
693,21748
694,21746
696,21745
697,21569
698,21756
699,21756
700,21758
701,21779
702,21092
703,21806
704,21701
705,21748
706,21746
707,21745
708,20647
709,21697
711,21747
712,21697
713,22405
714,20753
715,20753
716,21684
717,21864
718,21864
719,22400
720,21579
721,21887
722,22086
723,22086
724,22403
725,21893
726,21866
727,21974
728,21975
729,21976
730,21977
731,21978
733,22013
734,13164
736,22024
737,22024
738,22024
739,21227
740,21227
743,18953
744,18953
745,22177
746,21040
747,21227
748,21039
749,21225
750,21067
751,21223
752,21072
753,22194
754,22194
755,22194
759,21993
760,22233
761,22997
762,22328
764,21704
765,22329
772,22687
773,20561
774,21569
775,20647
776,20753
777,22407
778,22328
779,20753
780,22409
781,22408
782,22329
783,21864
784,22410
787,22328
788,21864
789,22329
790,22328
791,21579
792,22329
794,22328
795,21579
796,22329
799,22399
800,22401
801,22400
802,22402
803,22404
804,22403
805,22405
806,22406
807,21866
808,22405
809,22406
810,21866
811,22405
812,22406
813,21866
814,22086
815,22412
816,22411
817,22413
818,22128
819,22327
820,22413
821,22128
822,22327
823,21908
824,21908
825,22413
826,22128
827,22327
828,21908
829,22406
830,21866
831,21569
833,20647
834,20561
835,22399
836,22401
837,22400
838,22402
839,22404
840,22403
841,22407
842,20753
843,22408
844,22409
845,21864
846,22410
847,22411
848,22086
849,22412
850,22413
851,22128
852,22327
853,21908
854,21756
866,21569
867,20571
868,22086
869,22086
870,22086
871,22086
872,22086
873,22086
874,22086
875,22086
876,22086
878,21704
879,21756
880,20647
881,20753
882,21864
883,21866
884,22400
885,22086
886,22403
887,22327
890,22500
891,22478
892,22558
893,22642
894,22642
895,22642
896,22655
897,22655
898,22655
899,22655
900,22428
904,22686
906,22689
907,22689
910,22642
911,22689
912,20726
913,20727
914,21756
915,21756
916,21756
917,21704
918,20647
919,20753
920,21864
921,21866
922,22400
923,22086
924,22403
927,22328
928,21704
929,22329
930,20561
931,21569
932,20647
933,22407
934,20753
935,22408
936,22409
937,21864
938,22410
939,22405
940,22406
941,21866
942,22399
943,22400
944,22401
945,22411
946,22086
947,22412
948,22402
949,22404
950,22403
951,21756
952,22413
953,22128
954,22327
955,21908
956,22642
957,22655
958,22870
959,22689
960,22870
961,22787
962,22870
964,22864
965,22903
966,22909
967,22925
968,22927
971,22327
972,22985
973,23049
974,23052
975,23052
976,22958
977,22997
978,22942
979,22942
980,22942
981,23066
982,23066
983,23066
985,23073
986,23074
987,23075
988,23083
993,22942
994,23072
996,23118
998,23244
999,23245
1000,23246
1001,23277
1002,23222
1003,23254
1004,23254
1005,23221
1007,23351
1009,23352
1010,23352
1011,23351
1012,23118
1013,23118
1014,23118
1015,23118
1016,23118
1017,23352
1018,23352
1019,23352
1020,23352
1021,23352
1022,23118
1023,23243
1024,23244
1025,23245
1026,23246
1028,23118
1029,23352
1030,23508
1031,23352
1032,23243
1034,23552
1035,23553
1036,23243
1037,23554
1038,23552
1039,23553
1040,23554
1041,23554
1042,23554
1043,23612
1044,23734
1045,23734
1046,23734
1047,23734
1048,22328
1051,23632
1052,23824
1053,21704
1054,21704
1055,22328
1056,21704
1057,22329
1058,22400
1059,20647
1060,22403
1061,23896
1062,22405
1063,22406
1064,21866
1065,22655
1066,22413
1067,23049
1068,22642
1069,22327
1070,22128
1071,21908
1072,22413
1073,22655
1074,22128
1075,22327
1076,21908
1077,22642
1078,20753
1079,21864
1080,21866
1081,22086
1082,22327
1083,23977
