id,delay,next_phase,keep_requester,show_tip,show_end_time,tip
4,10000,4,f,f,f,
5,15000,26,f,f,f,
7,10000,28,f,f,f,
9,10000,56,f,f,f,
11,10000,-1,f,f,f,
12,15000,-1,f,f,f,
15,5000,239,f,f,f,
16,1000,240,f,f,f,
17,10000,262,f,f,f,
20,180000,411,f,f,f,
22,10000,359,f,f,f,
23,1440000,5649,f,f,f,
24,30000,626,f,f,f,
25,1800000,5649,f,f,f,
26,30000,642,f,f,f,
27,30000,644,f,f,f,
28,30000,646,f,f,f,
30,30000,152,f,f,f,
31,30000,926,f,f,f,
32,30000,950,f,f,f,
33,30000,954,f,f,f,
36,1000,960,f,f,f,
38,1000,752,f,f,f,
39,5000,961,f,f,f,
45,180000,976,f,f,f,
46,10000,188,f,f,f,
52,5000,993,f,f,f,
53,1000,993,f,f,f,
54,50000,330,f,f,f,
56,100000,1014,f,f,f,
58,10000,1024,f,f,f,
60,15000,447,f,f,f,
61,1000,1025,f,f,f,
62,1000,1026,f,f,f,
63,1000,1027,f,f,f,
66,1000,1036,f,f,f,
67,1000,1038,f,f,f,
68,1000,1040,f,f,f,
69,1000,1042,f,f,f,
72,15000,1112,f,f,f,
73,3000,348,f,f,f,
74,5000,277,f,f,f,
75,5000,278,f,f,f,
77,180000,287,f,f,f,
78,30000,412,f,f,f,
80,60000,174,f,f,f,
82,4000,1134,f,f,f,
85,20000,204,f,f,f,
86,1633,1177,f,f,f,
87,30000,1178,f,f,f,
88,1666,1046,f,f,f,
89,1633,1179,f,f,f,
90,20000,1180,f,f,f,
91,1666,1047,f,f,f,
92,86400000,1029,f,f,f,
93,86400000,1043,f,f,f,
94,10000,325,f,f,f,
95,10000,323,f,f,f,
96,30000,318,f,f,f,
101,1000,1255,f,f,f,
102,1000,1259,f,f,f,
103,10000,1272,f,f,f,
105,10000,1275,f,f,f,
107,2000,1281,f,f,f,
108,1,398,f,f,f,
109,1,389,f,f,f,
110,1,388,f,f,f,
111,15000,1289,f,f,f,
112,1,1124,f,f,f,
113,1,963,f,f,f,
114,5000,1337,f,f,f,
115,5000,1363,f,f,f,
116,5000,1360,f,f,f,
117,5000,1361,f,f,f,
118,5000,380,f,f,f,
120,10000,1283,f,f,f,
123,10000,1406,f,f,f,
126,3000,1432,f,f,f,
128,10000,1448,f,f,f,
136,10000,1480,f,f,f,
138,1000,1486,f,f,f,
140,1000,1293,f,f,f,
141,10000,1514,f,f,f,
143,1500,1528,f,f,f,
144,15000,1315,f,f,f,
145,10000,1557,f,f,f,
146,15000,1694,f,f,f,
147,4800,1595,f,f,f,
148,4800,1511,f,f,f,
149,4800,1696,f,f,f,
150,4800,1512,f,f,f,
152,15000,1327,f,f,f,
156,30000,1741,f,f,f,
157,1000,188,f,f,f,
159,20000,1749,f,f,f,
161,1800,1787,f,f,f,
162,1800,1786,f,f,f,
163,20000,1797,f,f,f,
164,20000,1345,f,f,f,
165,1000,1344,f,f,f,
166,10000,1346,f,f,f,
167,10000,1343,f,f,f,
168,10000,293,f,f,f,
170,10000,1320,f,f,f,
171,10000,1820,f,f,f,
172,4700,1823,f,f,f,
173,4700,1821,f,f,f,
175,2000,1837,f,f,f,
176,2000,1838,f,f,f,
178,1000,1340,f,f,f,
179,30000,1843,f,f,f,
182,10000,1389,f,f,f,
183,20000,1845,f,f,f,
184,10000,1853,f,f,f,
185,60000,1381,f,f,f,
186,2000,1860,f,f,f,
187,30000,1861,f,f,f,
188,2000,1445,f,f,f,
189,4000,1432,f,f,f,
190,15000,1334,f,f,f,
191,20000,1637,f,f,f,
192,20000,1639,f,f,f,
193,120000,1871,f,f,f,
194,1000,1443,f,f,f,
195,100000,1892,f,f,f,
197,3333,1902,f,f,f,
201,1000,1900,f,f,f,
202,0,1906,f,f,f,
203,60000,1428,f,f,f,
204,100000,1947,f,f,f,
206,1000,2027,f,f,f,
211,2000,2056,f,f,f,
212,600000,1898,f,f,f,
213,2700,14300,f,f,f,
215,600000,2057,f,f,f,
216,2000,1878,f,f,f,
218,60000,1386,f,f,f,
219,20000,2063,f,f,f,
223,4800,2080,f,f,f,
224,4800,2078,f,f,f,
225,4800,2088,f,f,f,
226,4800,2086,f,f,f,
227,4800,2092,f,f,f,
228,4800,2090,f,f,f,
229,4800,2084,f,f,f,
230,4800,2082,f,f,f,
232,100000,2049,f,f,f,
233,48000,2049,f,f,f,
235,1000,1398,f,f,f,
237,4800,2101,f,f,f,
238,4800,2099,f,f,f,
240,4800,2105,f,f,f,
241,4800,2103,f,f,f,
242,5000,1281,f,f,f,
244,30000,2111,f,f,f,
245,1000,1328,f,f,f,
246,90000,1375,f,f,f,
248,48000,2049,f,f,f,
249,48000,2049,f,f,f,
251,15000,4552,f,f,f,
252,120000,,f,f,f,
253,120000,2126,f,f,f,
254,120000,2127,f,f,f,
255,120000,1898,f,f,f,
257,500,1426,f,f,f,
258,500,1505,f,f,f,
259,30000,2036,f,f,f,
260,100000,2025,f,f,f,
264,200,2194,f,f,f,
270,120000,2181,f,f,f,
271,1500,2156,f,f,f,
274,1000,2193,f,f,f,
275,60000,2165,f,f,f,
276,3000,2196,f,f,f,
278,3000,2198,f,f,f,
280,10000,2201,f,f,f,
281,10000,2201,f,f,f,
