id,tod,next_phase
1,600,1405
2,1800,1404
4,30,1573
5,130,1542
8,30,1541
9,200,1565
10,100,1541
11,230,1566
12,300,1570
13,330,
14,100,1575
15,130,1575
16,200,1577
17,230,1577
18,300,1579
19,330,1579
20,400,1581
21,430,1581
22,500,1583
23,530,1583
24,600,1585
25,630,1585
26,700,1587
27,730,1587
29,800,1589
30,830,1589
31,900,1591
32,930,1591
33,1000,1594
34,1030,1594
35,1100,1599
36,1130,1599
37,1200,1601
38,1230,1601
39,1300,1603
40,1330,1603
41,1400,1605
42,1430,1605
43,1500,1607
44,1530,1607
45,1600,1609
46,1630,1609
47,1700,1611
48,1730,1611
49,1800,1613
50,1830,1613
51,1900,1615
52,1930,1615
53,2000,1617
54,2030,1617
55,2100,1619
56,2130,1619
57,2200,1621
58,2230,1621
59,2300,1623
60,2330,1623
61,0,1573
62,600,1646
63,1800,1645
64,600,1648
65,1800,1647
66,600,1650
67,1800,1649
68,600,1652
69,1800,1651
70,600,1654
71,1800,1653
72,600,1656
73,1800,1655
74,600,1658
75,1800,1657
76,600,1660
77,1800,1659
78,600,1662
79,1800,1661
80,600,1664
81,1800,1663
82,600,1666
83,1800,1665
84,600,1668
85,1800,1667
86,600,1670
87,1800,1669
88,600,1672
89,1800,1671
90,600,1674
91,1800,1673
92,600,1676
93,1800,1675
94,600,1678
95,1800,1677
96,600,1680
97,1800,1679
98,600,1682
99,1800,1681
100,600,1684
101,1800,1683
102,600,1686
103,1800,1685
104,600,1688
105,1800,1687
106,600,1690
107,1800,1689
108,600,1692
109,1800,1691
110,1800,1751
111,600,1527
112,1800,1752
113,600,1531
116,600,1956
117,1800,1637
118,600,1957
119,1800,1639
120,600,1957
121,600,1956
122,600,2033
123,1800,2032
124,400,3581
125,1000,3577
126,1000,3592
127,1600,3591
128,1600,3594
129,2200,3593
130,2200,3596
131,200,3595
132,400,4624
133,2000,4623
134,400,4635
135,2000,4634
136,400,4637
137,2000,4636
138,400,4624
139,2000,4623
140,400,4708
141,2000,4707
142,400,4708
143,2000,4707
144,400,4637
145,2000,4636
146,400,4635
147,2000,4634
148,2000,4710
149,400,4709
150,400,4709
151,2000,4710
152,2000,4944
153,400,4943
154,400,4943
155,2000,4944
156,2000,4962
157,400,4961
158,400,4961
159,2000,4962
160,2000,4706
161,400,4705
162,400,4705
163,2000,4706
164,2000,4946
165,400,4945
166,400,4945
167,2000,4946
168,2000,4948
169,400,4947
170,400,4947
171,2000,4948
172,2000,4950
173,400,4949
174,400,4949
175,2000,4950
176,2000,4952
177,400,4951
178,400,4951
179,2000,4952
180,2000,4954
181,400,4953
182,400,4953
183,2000,4954
184,2000,4956
185,400,4955
186,400,4955
187,2000,4956
188,2000,4958
189,400,4957
190,400,4957
191,2000,4958
192,2000,4960
193,400,4959
194,400,4959
195,2000,4960
196,2000,4968
197,400,4967
198,400,4967
199,2000,4968
200,2000,4970
201,400,4969
202,400,4969
203,2000,4970
204,2000,4972
205,400,4971
206,400,4971
207,2000,4972
208,2000,4974
209,400,4973
210,400,4973
211,2000,4974
212,2000,4964
213,400,4963
214,400,4963
215,2000,4964
216,2000,4966
217,400,4965
218,400,4965
219,2000,4966
220,2000,4927
221,400,4926
222,400,4926
223,2000,4927
224,2000,4929
225,400,4928
226,400,4928
227,2000,4929
228,400,4933
229,2000,4934
230,400,4933
231,2000,4934
232,2000,4936
233,400,4935
234,400,4935
235,2000,4936
236,2000,4938
237,400,4937
238,400,4937
239,2000,4938
240,2000,4942
241,400,4941
242,400,4941
243,2000,4942
244,2000,4601
245,400,4600
246,400,4600
247,2000,4601
248,2000,5134
249,600,4595
250,2000,5136
251,600,4651
252,2000,5138
253,600,4654
254,2000,5140
255,600,4656
256,400,5256
257,2000,5255
258,400,5256
259,2000,5255
260,400,5260
261,2000,5259
262,400,5260
263,2000,5259
264,600,5447
265,600,5447
266,1800,5424
267,600,5448
268,600,5448
269,1800,5421
270,2000,5606
272,400,5605
273,2000,5606
274,400,5605
275,600,5650
276,2000,5648
277,400,6343
278,2000,6342
279,400,6343
280,2000,6342
281,400,6307
282,2000,6373
283,400,6307
284,2000,6306
285,400,6764
286,2000,6763
287,400,6764
288,2000,6763
289,400,6843
290,2000,6842
291,400,6843
292,2000,6842
301,930,-1
302,930,-1
303,930,-1
304,930,-1
305,930,-1
306,930,-1
307,930,-1
308,930,-1
309,930,-1
310,930,-1
311,930,-1
312,930,-1
313,930,-1
314,930,-1
315,930,-1
316,930,-1
317,930,-1
318,930,-1
319,930,-1
320,930,-1
321,930,-1
322,930,-1
323,930,-1
324,930,-1
325,930,-1
326,930,-1
327,930,-1
328,930,-1
329,930,-1
330,930,-1
331,930,-1
332,930,-1
333,930,-1
334,930,-1
335,930,-1
336,400,7533
337,2000,7534
338,930,7533
342,1,8653
346,600,8834
347,1800,8833
349,1,8920
350,1,8919
353,600,10680
354,2000,10678
355,2000,10689
356,600,10692
357,2000,10694
358,600,10696
359,2000,10700
360,600,10698
389,1200,11065
390,1200,11064
398,600,12400
400,1800,12395
401,600,12400
402,1800,12394
403,600,12421
404,600,12421
405,2000,13728
406,930,-1
407,4000,13727
408,4000,13727
409,20000,13728
410,2000,13733
411,930,-1
412,400,13694
413,400,13694
414,2000,13733
415,800,14042
418,2000,14041
419,2000,14044
420,800,14043
421,2000,14120
422,800,14119
423,800,14122
424,2000,14121
425,2000,14133
426,800,14132
427,800,14135
428,2000,14134
429,2000,14161
430,930,-1
431,400,14160
432,400,14160
433,2000,14161
434,2000,14313
435,400,14311
436,600,14359
437,2000,14358
438,2000,14361
439,600,14360
440,2000,14683
441,800,14683
442,2000,14688
443,800,14687
444,2000,14799
446,400,14787
447,400,-1
448,400,14787
449,2000,14799
451,2000,14831
452,930,-1
453,400,14830
454,400,14830
455,2000,14831
456,400,14787
458,1800,16201
459,2000,16325
463,200,16359
464,200,16371
465,200,16372
466,10,16380
467,300,16387
468,300,16387
