id,doodad_func_group_id,actual_func_id,actual_func_type,next_phase,sound_id,func_skill_id,perm_id,act_count
2,4,1,DoodadFuncHarvest,5,0,0,0,0
3,5,1,DoodadFuncLootItem,6,0,0,0,0
4,8,1,DoodadFuncCutdown,9,0,0,0,0
5,9,1,DoodadFuncCutdowning,-1,0,0,0,0
6,10,1,DoodadFuncCraftStart,11,0,0,0,0
7,10,2,DoodadFuncCraftStart,12,0,0,0,0
8,10,3,DoodadFuncCraftStart,13,0,0,0,0
9,11,1,DoodadFuncCraftAct,14,0,0,0,0
10,11,1,DoodadFuncCraftCancel,10,0,0,0,0
11,12,2,DoodadFuncCraftAct,15,0,0,0,0
12,12,2,DoodadFuncCraftCancel,10,0,0,0,0
13,13,3,DoodadFuncCraftAct,16,0,0,0,0
14,13,3,DoodadFuncCraftCancel,10,0,0,0,0
15,14,1,DoodadFuncCraftGetItem,10,0,0,0,0
16,14,4,DoodadFuncCraftCancel,10,0,0,0,0
17,15,2,DoodadFuncCraftGetItem,10,0,0,0,0
18,15,5,DoodadFuncCraftCancel,10,0,0,0,0
19,16,3,DoodadFuncCraftGetItem,10,0,0,0,0
20,16,6,DoodadFuncCraftCancel,10,0,0,0,0
24,21,2,DoodadFuncLootItem,22,0,0,0,0
25,21,3,DoodadFuncLootItem,22,0,0,0,0
26,25,2,DoodadFuncClimb,-1,0,0,0,0
27,26,3,DoodadFuncCutdown,27,0,0,0,0
28,27,2,DoodadFuncCutdowning,-1,0,0,0,0
31,20,3,DoodadFuncClimb,,0,0,0,0
32,20,5,DoodadFuncCutdown,,0,0,0,0
33,30,4,DoodadFuncClimb,-1,,,0,0
34,31,5,DoodadFuncClimb,-1,,,0,0
35,33,6,DoodadFuncClimb,-1,,,0,0
36,34,7,DoodadFuncClimb,-1,0,0,0,0
37,35,8,DoodadFuncClimb,-1,0,0,0,0
38,39,4,DoodadFuncCutdowning,-1,0,0,0,0
39,41,4,DoodadFuncCraftStart,42,0,0,0,0
40,42,4,DoodadFuncCraftAct,43,0,0,0,0
41,42,7,DoodadFuncCraftCancel,41,0,0,0,0
42,43,4,DoodadFuncCraftGetItem,41,0,0,0,0
43,43,8,DoodadFuncCraftCancel,41,0,0,0,0
44,46,1,DoodadFuncBinding,-1,0,0,0,0
45,49,1,DoodadFuncButcher,63,0,0,0,0
46,50,2,DoodadFuncUse,-1,0,0,0,0
47,51,9,DoodadFuncClimb,-1,0,0,0,0
48,52,6,DoodadFuncCutdown,53,0,0,0,0
49,53,5,DoodadFuncCutdowning,64,0,0,0,0
50,54,1,DoodadFuncDig,-1,0,0,0,0
51,55,1,DoodadFuncFeed,-1,0,0,0,0
53,56,2,DoodadFuncShear,57,0,0,0,0
54,58,1,DoodadFuncQuest,59,0,0,0,0
55,59,2,DoodadFuncQuest,-1,0,0,0,0
56,60,1,DoodadFuncMow,-1,0,0,0,0
58,62,3,DoodadFuncHarvest,65,0,0,0,0
59,63,5,DoodadFuncLootItem,-1,0,0,0,0
60,64,6,DoodadFuncLootItem,71,0,0,0,0
61,65,7,DoodadFuncLootItem,-1,0,0,0,0
63,67,3,DoodadFuncFeed,-1,0,0,0,0
66,74,9,DoodadFuncLootItem,-1,0,0,0,0
67,76,5,DoodadFuncFeed,-1,0,0,0,0
