id,name,is_export,guard_on_field_time,removed_by_house
2,벌채 - 나무,f,86400,t
3,채집 - 약초,f,86400,t
4,채광 - 광물,f,0,t
5,축산 - 가축,f,86400,t
6,기타 - 우편함,t,0,f
7,제작대-연금 물품,t,0,f
8,제작대-건축,f,0,f
9,제작대-요리,t,0,f
10,제작대-공예,t,0,f
11,기타 - 퀘스트,f,0,f
12,농사 - 작물,f,86400,t
13,기타 - 스킬,f,0,t
14,채집 - 샘터,f,0,f
15,채집 - 토양,f,0,f
16,제작대-기계,t,0,f
17,제작대-금속,t,0,f
18,제작대-문장 제작,t,0,f
19,제작대-석공,t,0,f
20,제작대-직물,t,0,f
21,제작대-가죽,t,0,f
22,제작대-무기,t,0,f
23,제작대-목재,t,0,f
24,기타 - 인터랙션,f,0,f
25,기타 - 레벨,f,0,f
26,인터랙션 - 판매,f,0,f
27,인터랙션 - 모험T1,f,0,f
28,인터랙션 - 모험T2,f,0,f
29,인터랙션 - 모험T3,f,0,f
30,인터랙션 - 모험T4,f,0,f
31,인터랙션 - 모험T5,f,0,f
32,인터랙션 - 모험T6,f,0,f
33,인터랙션 - 모험T7,f,0,f
34,Test Doodad,f,0,f
35,Trash Doodad,f,0,f
36,door,f,0,f
37,can_place_on_water,f,0,f
38,인터랙션 - 등짐,f,0,t
39,인터랙션 - 발굴,f,0,f
40,농사 - 해양 작물,f,86400,t
42,해상전 관련,f,0,f
43,포탈-공간의 틈,t,0,f
44,포탈-신기루섬,t,0,f
45,포탈-인스턴스 던전,t,0,f
46,제작대-특산품,t,0,f
47,미사용,f,0,f
48,제작대-아키움,t,0,f
49,제작대-천 갑옷,t,0,f
50,제작대-가죽 갑옷,t,0,f
51,제작대-목공,t,0,f
52,제작대-금속갑옷,t,0,f
53,기타-공간 기록서,t,0,f
54,기타 - 퀘스트(사냥터 푯말),f,0,f
55,일반 보물,f,0,f
56,고급 보물,f,0,f
57,희귀 보물,f,0,f
58,고대 보물,f,0,f
59,영웅 보물,f,0,f
60,하우징 지역 표시-일반 주거 지역,t,0,f
61,하우징 지역 표시-해양 주거 지역,t,0,f
62,하우징 지역 표시-고급 주택 지역,t,0,f
63,하우징 지역 표시-호박머리 허수아비 텃밭 전용 지역,t,0,f
64,하우징 지역 표시-초가지붕 농장 지역,t,0,f
65,어군,f,0,f
66,제작대-제지,t,0,f
67,제작대-인쇄,t,0,f
68,하우징-문/창문,f,0,f
69,하우징-가구,f,0,f
70,물고기 가구,f,0,f
71,물고기 판매대,t,0,f
72,collide check,f,0,t
73,o_abyss_gate_mine_A,f,0,f
74,o_abyss_gate_mine_B,f,0,f
75,o_abyss_gate_warning_A,f,0,f
76,o_abyss_gate_warning_B,f,0,f
77,기타 - 퀘스트_서리방지적용안받음,f,0,t
78,하우징 지역 표시-밀짚모자 허수아비 텃밭 ,t,0,f
79,하우징 지역 표시-수상 주거 지역,t,0,f
80,영지 석상,f,86400,f
