id,doodad_func_group_id,actual_func_id,actual_func_type
5,6,1,DoodadFuncGrowth
6,7,2,DoodadFuncGrowth
7,9,4,DoodadFuncTimer
9,18,3,DoodadFuncClout
11,20,5,DoodadFuncClout
12,20,3,DoodadFuncGrowth
13,22,1,DoodadFuncFinal
14,23,4,DoodadFuncGrowth
15,24,5,DoodadFuncGrowth
16,25,6,DoodadFuncClout
17,25,5,DoodadFuncTimer
18,27,2,DoodadFuncFinal
19,28,6,DoodadFuncGrowth
20,29,7,DoodadFuncGrowth
22,29,7,DoodadFuncTimer
24,40,1,DoodadFuncRequireItem
25,44,1,DoodadFuncRequireQuest
26,45,7,DoodadFuncClout
28,47,1,DoodadFuncHunger
29,48,3,DoodadFuncFinal
30,57,9,DoodadFuncTimer
32,66,11,DoodadFuncTimer
34,45,12,DoodadFuncTimer
35,63,4,DoodadFuncFinal
36,54,3,DoodadFuncRequireItem
37,71,2,DoodadFuncRequireQuest
40,72,3,DoodadFuncRequireQuest
41,73,7,DoodadFuncFinal
43,75,5,DoodadFuncRequireQuest
44,74,6,DoodadFuncRequireQuest
46,78,8,DoodadFuncClout
53,86,12,DoodadFuncGrowth
54,87,13,DoodadFuncGrowth
58,89,15,DoodadFuncGrowth
60,91,17,DoodadFuncGrowth
61,92,18,DoodadFuncGrowth
62,93,19,DoodadFuncGrowth
63,94,20,DoodadFuncGrowth
64,95,21,DoodadFuncGrowth
65,96,22,DoodadFuncGrowth
66,97,23,DoodadFuncGrowth
68,102,25,DoodadFuncGrowth
69,103,26,DoodadFuncGrowth
70,104,27,DoodadFuncGrowth
73,127,13,DoodadFuncFinal
74,123,14,DoodadFuncFinal
75,9,4,DoodadFuncRequireItem
76,9,5,DoodadFuncRequireItem
77,128,6,DoodadFuncRequireItem
78,129,7,DoodadFuncRequireQuest
79,131,15,DoodadFuncFinal
80,128,16,DoodadFuncFinal
81,128,29,DoodadFuncGrowth
82,134,7,DoodadFuncRequireItem
85,136,9,DoodadFuncRequireItem
86,135,17,DoodadFuncFinal
87,136,8,DoodadFuncRequireQuest
88,139,18,DoodadFuncFinal
89,149,30,DoodadFuncGrowth
90,150,31,DoodadFuncGrowth
91,151,32,DoodadFuncGrowth
93,153,33,DoodadFuncGrowth
94,154,34,DoodadFuncGrowth
95,155,35,DoodadFuncGrowth
96,156,20,DoodadFuncFinal
97,157,36,DoodadFuncGrowth
98,158,37,DoodadFuncGrowth
99,159,38,DoodadFuncGrowth
100,160,21,DoodadFuncFinal
102,165,22,DoodadFuncFinal
104,167,23,DoodadFuncFinal
105,168,10,DoodadFuncRequireItem
106,168,11,DoodadFuncRequireItem
107,169,24,DoodadFuncFinal
110,174,12,DoodadFuncRequireQuest
111,178,39,DoodadFuncGrowth
112,179,40,DoodadFuncGrowth
116,182,13,DoodadFuncRequireQuest
122,190,42,DoodadFuncGrowth
123,191,43,DoodadFuncGrowth
124,192,44,DoodadFuncGrowth
126,194,45,DoodadFuncGrowth
127,195,46,DoodadFuncGrowth
128,196,47,DoodadFuncGrowth
130,198,33,DoodadFuncFinal
131,200,10,DoodadFuncClout
135,206,18,DoodadFuncRequireQuest
136,207,35,DoodadFuncFinal
146,213,40,DoodadFuncFinal
150,217,19,DoodadFuncRequireQuest
156,227,44,DoodadFuncFinal
159,225,50,DoodadFuncGrowth
162,224,51,DoodadFuncGrowth
164,233,52,DoodadFuncGrowth
165,234,53,DoodadFuncGrowth
166,235,54,DoodadFuncGrowth
167,236,45,DoodadFuncFinal
169,237,24,DoodadFuncRequireItem
171,238,15,DoodadFuncTimer
