id,doodad_almighty_id,doodad_place_skin_kind_id
891,330,1
892,330,2
893,330,3
894,330,4
895,326,1
896,326,2
897,326,3
898,326,4
899,329,1
900,329,2
901,329,3
902,329,4
1814,1677,1
1815,1677,2
1816,1677,3
1817,1677,4
1818,1672,1
1819,1672,2
1820,1672,3
1821,1672,4
1822,1673,1
1823,1673,2
1824,1673,3
1825,1673,4
1826,1675,1
1827,1675,2
1828,1675,3
1829,1675,4
1830,1674,1
1831,1674,2
1832,1674,3
1833,1674,4
1834,1676,2
1835,1676,3
1836,1676,4
1837,1676,1
1838,1678,1
1839,1678,2
1840,1678,3
1841,1678,4
2298,2335,1
2299,2335,2
2300,2335,3
2301,2335,4
2306,2348,1
2307,2348,2
2308,2348,3
2497,317,1
2498,317,2
2499,317,3
2525,463,1
2526,463,2
2527,463,3
2528,463,4
2538,474,1
2539,474,2
2540,474,3
2550,502,1
2551,502,2
2552,502,3
2553,502,4
2575,974,1
2576,1033,1
2577,1033,2
2578,1033,3
2579,1033,4
2580,1034,1
2581,1034,2
2582,1034,3
2583,1034,4
2584,1218,1
2585,1218,2
2586,1218,3
2587,1218,4
2592,1220,1
2593,1220,2
2594,1220,3
2595,1220,4
2596,1236,1
2597,1239,1
2598,1240,1
2600,1242,1
2601,1243,1
2602,1244,1
2603,1245,1
2605,1247,1
2606,1248,1
2607,1249,1
2608,1250,1
2609,1251,1
2610,1252,1
2611,1253,1
2612,1254,1
2613,1255,1
2614,1256,1
2615,1257,1
2616,1258,1
2617,1259,1
2618,1260,1
2619,1261,1
2620,1262,1
2621,1263,1
2622,1264,1
2623,1265,1
2624,1266,1
2625,1267,1
2626,1268,1
2627,1269,1
2628,1270,1
2629,1271,1
2630,1272,1
2631,1273,1
2632,1274,1
2633,1275,1
2634,1276,1
2635,1277,1
2636,1278,1
2637,1279,1
2638,1280,1
2639,1281,1
2640,1282,1
2641,1283,1
2642,1284,1
2643,1285,1
2644,1286,1
2645,1287,1
2646,1288,1
2647,1289,1
2648,1290,1
2652,1294,1
2653,1295,1
2654,1296,1
2655,1297,1
2660,1544,1
2661,1544,2
2662,1544,3
2663,1544,4
2664,1545,1
2665,1545,2
2666,1545,3
2667,1545,4
2668,1546,1
2669,1546,2
2670,1546,3
2671,1546,4
2672,1547,1
2673,1547,2
2674,1547,3
2675,1547,4
2676,1548,1
2677,1548,2
2678,1548,3
2679,1548,4
2680,1549,1
2681,1549,2
2682,1549,3
2683,1549,4
2684,1550,1
2685,1550,2
2686,1550,3
2687,1550,4
2688,1552,1
2689,1552,2
2690,1552,3
2691,1552,4
2696,1658,1
2697,1658,2
2698,1658,3
2699,1658,4
2704,1698,2
2705,1698,3
2706,1698,4
2707,1700,1
2708,1700,2
2709,1700,3
2710,1700,4
2711,1704,1
2712,1704,2
2713,1704,3
2718,1713,1
2719,1713,2
2720,1713,3
2721,1753,1
2722,1753,2
2723,1753,3
2724,1753,4
2725,1754,1
2726,1754,2
2727,1754,3
2728,1754,4
2729,1755,1
2730,1755,2
2731,1755,3
2732,1755,4
2733,1756,1
2734,1756,2
2735,1756,3
2736,1756,4
2737,1757,1
2738,1757,2
2739,1757,3
2740,1757,4
2741,1759,1
2742,1759,2
2743,1759,3
2744,1759,4
2745,1760,1
2746,1760,2
2747,1760,3
2748,1760,4
2749,1761,1
2750,1761,2
2751,1761,3
2752,1761,4
2753,1762,1
2754,1762,2
2755,1762,3
2756,1762,4
2757,1764,1
2758,1764,2
2759,1764,3
2760,1764,4
2761,1765,1
2762,1765,2
2763,1765,3
2764,1765,4
2765,1766,1
2766,1766,2
2767,1766,3
2768,1766,4
2769,1767,1
2770,1767,2
2771,1767,3
2772,1767,4
2773,1768,1
2774,1768,2
2775,1768,3
2776,1768,4
2777,1769,1
2778,1769,2
2779,1769,3
2780,1769,4
2781,1770,1
2782,1770,2
2783,1770,3
2784,1770,4
2785,1771,1
2786,1771,2
2787,1771,3
2788,1771,4
2789,1772,1
2790,1772,2
2791,1772,3
2792,1772,4
2793,1773,1
2794,1773,2
2795,1773,3
2796,1773,4
2797,1775,1
2798,1775,2
2799,1775,3
2800,1775,4
2801,1776,1
2802,1776,2
2803,1776,3
2804,1776,4
2805,1778,1
2806,1778,2
2807,1778,3
2808,1778,4
2809,1779,1
2810,1779,2
2811,1779,3
2812,1779,4
2813,1780,1
2814,1780,2
2815,1780,3
2816,1780,4
2817,1781,1
2818,1781,2
2819,1781,3
