id,actual_id,actual_type
1,1,DamageEffect
2,2,DamageEffect
33,1,SpawnEffect
34,1,HealEffect
35,1,RestoreManaEffect
36,16,DamageEffect
38,17,DamageEffect
39,36,BuffEffect
54,3,SpawnEffect
62,4,SpawnEffect
63,31,DamageEffect
64,5,SpawnEffect
65,6,SpawnEffect
66,32,DamageEffect
81,7,SpawnEffect
85,10,SpawnEffect
86,11,SpawnEffect
87,37,DamageEffect
90,38,DamageEffect
153,85,BuffEffect
154,68,DamageEffect
155,86,BuffEffect
163,3,TrainCraftEffect
168,5,TrainCraftEffect
169,6,TrainCraftEffect
174,73,DamageEffect
190,7,TrainCraftEffect
191,8,TrainCraftEffect
192,9,TrainCraftEffect
193,10,TrainCraftEffect
206,87,DamageEffect
233,94,DamageEffect
234,114,BuffEffect
235,27,SpecialEffect
236,115,BuffEffect
243,121,BuffEffect
244,96,DamageEffect
269,136,BuffEffect
275,140,BuffEffect
277,101,DamageEffect
278,141,BuffEffect
279,36,SpecialEffect
285,5,HealEffect
286,106,DamageEffect
287,6,HealEffect
288,7,HealEffect
289,107,DamageEffect
290,8,HealEffect
291,108,DamageEffect
292,9,HealEffect
294,10,HealEffect
297,111,DamageEffect
298,12,HealEffect
308,50,SpecialEffect
311,51,SpecialEffect
322,11,TrainCraftEffect
323,12,TrainCraftEffect
324,52,SpecialEffect
325,13,TrainCraftEffect
326,14,TrainCraftEffect
329,18,SpawnEffect
333,126,DamageEffect
358,19,SpawnEffect
393,32,TrainCraftEffect
545,143,DamageEffect
556,149,DamageEffect
615,164,DamageEffect
618,24,SpawnEffect
630,216,BuffEffect
641,173,DamageEffect
645,81,SpecialEffect
656,87,SpecialEffect
660,229,BuffEffect
661,230,BuffEffect
670,237,BuffEffect
695,177,DamageEffect
699,179,DamageEffect
703,181,DamageEffect
708,183,DamageEffect
709,25,SpawnEffect
711,253,BuffEffect
720,256,BuffEffect
728,195,DamageEffect
731,197,DamageEffect
737,17,HealEffect
