id,equip_item_set_id,num_pieces,buff_id,proc_id
80,2,4,3963,
81,2,7,4079,
83,3,4,3963,
84,3,7,4079,
86,4,4,3963,
87,4,7,4079,
89,5,4,3963,
90,5,7,4079,
92,6,4,3963,
93,6,7,4079,
95,7,4,3963,
96,7,7,4079,
98,11,4,3963,
99,11,7,4079,
101,15,4,3963,
102,15,7,4079,
104,22,4,3963,
105,22,7,4079,
107,8,4,3959,
108,8,7,4079,
110,12,4,3959,
111,12,7,4079,
113,16,4,3959,
114,16,7,4079,
116,23,4,3959,
117,23,7,4079,
119,9,4,3963,
120,9,7,3974,
122,13,4,3963,
123,13,7,3974,
125,18,4,3963,
126,18,7,3974,
128,25,4,3963,
129,25,7,3974,
131,10,4,3972,
132,10,7,3973,
134,14,4,3972,
135,14,7,3973,
137,20,4,3972,
138,20,7,3973,
140,27,4,3972,
141,27,7,3973,
143,17,4,3972,
144,17,7,3971,
146,24,4,3972,
147,24,7,3971,
149,19,4,3976,
150,19,7,3978,
152,26,4,3976,
153,26,7,3978,
155,21,4,4602,
156,21,7,3974,
158,30,4,4603,
159,30,7,3974,
161,31,4,3957,
162,31,7,3958,
164,32,4,3957,
165,32,7,3958,
167,33,4,3957,
168,33,7,3958,
170,34,4,3957,
171,34,7,3958,
173,35,4,3957,
174,35,7,3958,
176,36,4,3957,
177,36,7,3958,
179,40,4,3957,
180,40,7,3958,
182,44,4,3957,
183,44,7,3958,
185,51,4,3957,
186,51,7,3958,
188,37,4,3965,
189,37,7,3967,
191,41,4,3965,
192,41,7,3967,
194,45,4,3965,
195,45,7,3967,
197,52,4,3965,
198,52,7,3967,
200,38,4,3957,
201,38,7,3967,
203,42,4,3957,
205,42,7,3967,
207,47,4,3957,
208,47,7,3967,
210,54,4,3957,
211,54,7,3967,
213,39,4,3969,
214,39,7,3968,
216,43,4,4597,
217,43,7,3968,
219,49,4,4598,
220,49,7,3968,
222,56,4,4599,
223,56,7,3968,
225,46,4,3958,
226,46,7,3968,
228,53,4,3958,
229,53,7,3968,
231,48,4,3965,
232,48,7,3975,
235,55,4,3965,
236,55,7,3975,
238,50,4,3972,
239,50,7,3971,
241,57,4,3972,
242,57,7,3971,
244,58,4,3959,
245,58,7,3973,
247,59,4,3959,
248,59,7,3973,
250,60,4,3959,
251,60,7,3973,
253,61,4,3959,
254,61,7,3973,
256,62,4,3959,
257,62,7,3973,
259,63,4,3959,
260,63,7,3973,
262,67,4,3959,
263,67,7,3973,
265,71,4,3959,
266,71,7,3973,
268,78,4,3959,
269,78,7,3973,
271,64,4,3969,
272,64,7,3968,
274,68,4,4597,
275,68,7,3968,
277,72,4,4598,
278,72,7,3968,
280,79,4,4599,
281,79,7,3968,
283,65,4,3959,
284,65,7,4079,
286,69,4,3959,
287,69,7,4079,
289,74,4,3959,
290,74,7,4079,
292,81,4,3959,
293,81,7,4079,
295,66,4,3971,
296,66,7,3975,
298,70,4,3971,
299,70,7,3975,
301,76,4,3971,
302,76,7,3975,
304,96,4,3971,
305,96,7,3975,
307,73,4,3958,
308,73,7,3968,
310,80,4,3958,
311,80,7,3968,
313,75,4,3972,
314,75,7,3971,
316,82,4,3972,
317,82,7,3971,
319,77,4,3976,
320,77,7,3978,
322,97,4,3976,
323,97,7,3978,
324,98,3,4005,
325,98,5,4006,
326,99,3,4007,
327,99,5,4008,
328,100,3,4009,
329,100,5,4010,
330,101,3,4011,
331,101,5,4012,
332,102,3,4013,
333,102,5,4014,
334,103,3,4015,
335,103,5,4016,
336,104,3,4017,
337,104,5,4018,
338,105,3,4019,
339,105,5,4020,
340,106,3,4021,
341,106,5,4022,
342,107,3,4023,
343,107,5,4024,
344,108,3,4025,
345,108,5,4026,
346,109,3,4028,
347,109,5,4029,
348,110,3,4033,
349,110,5,4034,
350,111,4,4345,55
351,111,7,4346,56
352,112,4,4349,57
353,112,7,4350,58
354,113,4,4347,59
355,113,7,4348,60
376,115,3,,44
377,116,3,,43
378,117,3,,45
379,118,3,,64
380,120,3,,44
381,121,3,,43
382,122,3,,45
383,123,3,,63
384,125,2,6459,
385,126,2,6460,
386,127,2,6461,
387,125,4,,46
388,126,4,4126,
389,127,4,,47
390,131,3,,53
391,133,2,6459,
392,134,2,6460,
393,135,2,6461,
394,133,4,,46
395,134,4,4126,
396,135,4,,47
397,139,3,,53
398,141,3,4102,
399,142,3,3470,
400,143,3,4103,
401,141,5,,51
402,142,5,,50
403,143,5,,52
404,147,3,6462,
405,149,3,6463,
406,150,3,3465,
407,151,3,4104,
408,149,5,4155,
409,150,5,4154,
410,151,5,,48
411,149,7,,49
412,150,7,4108,
413,151,7,4105,
414,158,3,4255,
415,159,4,5677,59
416,163,2,5658,
417,162,3,5645,
418,162,5,5646,
419,162,7,,82
420,161,3,6456,
421,161,5,,80
422,161,7,,81
423,160,3,5636,
424,160,5,,78
425,160,7,,79
426,159,7,5680,85
427,165,3,5934,
428,164,5,5939,
429,166,5,5965,
430,167,3,6084,
431,167,5,6087,
432,168,3,6083,
435,169,3,6082,
437,170,2,6089,
438,171,2,6091,
439,167,7,,87
440,168,5,,91
441,168,7,6086,
442,168,8,6088,
443,169,5,,86
444,169,7,6085,
445,173,2,6513,
446,172,2,6514,
447,174,4,4345,55
448,174,7,4346,56
