id,name,model_id,hair_color_id,face_id,hair_id,beard_id,skin_color_id,body_diffuse_map_id
1,A중요 - 에노이르,16,29,4087,1144,0,5,0
2,nu_m_face01,10,0,419,0,0,0,0
3,로그인 스테이지 - 누이안 남,10,308,419,4085,0,1,0
4,로그인 스테이지 - 누이안 여,11,367,4081,19025,0,4,0
5,nu_m_face02,10,0,4083,0,0,0,0
6,로그인 스테이지 - 엘프 남,16,238,4087,8475,0,5,0
7,로그인 스테이지 - 엘프 여,17,418,1130,19360,0,7,0
8,nu_f_face01,11,0,412,0,0,0,0
9,el_m_face03,16,0,8154,0,0,0,0
10,nu_f_face02,11,0,4081,0,0,0,0
11,nu_f_face04,11,0,8101,0,0,0,0
12,el_m_face01,16,0,1143,0,0,0,0
13,nu_f_face03,11,0,5268,0,0,0,0
14,el_m_face02,16,0,4087,0,0,0,0
15,nu_m_face04,10,0,8100,0,0,0,0
16,el_f_face01,17,0,1130,0,0,0,0
17,el_f_face02,17,0,4086,0,0,0,0
18,shader_test(el_m02),16,219,18957,1144,0,5,0
19,인물 - 아미엘,17,56,4086,1133,0,8,0
20,A중요 - 옌센 노르예트,10,22,4083,4085,0,1,0
21,A중요 - 엘프PC엄마_피흘림,17,0,1130,1133,0,0,0
22,A중요 - 루키우스,10,65,8100,4084,0,2,0
23,A중요 - 에안나,11,14,412,8181,0,3,0
24,A중요 - 호수부인,11,8,412,413,0,0,0
25,A중요 - 키프로사,11,9,5268,413,0,4,0
26,아동 여자 - 001,355,0,5072,5071,0,0,0
27,엘프 메인퀘스트 - 에노이르 (el_m),16,219,4087,1144,0,5,0
28,nu_m_face03 (old),10,0,8104,4085,0,0,0
29,shader_test(nu_f01),11,134,18090,8181,0,0,0
30,A중요 - 에안나(컷씬용),11,9,8138,413,0,3,0
31,로그인 스테이지 - 페레 남,20,79,563,15821,0,9,0
32,로그인 스테이지 - 페레 여,21,303,408,16245,0,11,0
33,A중요 이시스,17,12,1130,4932,0,7,0
34,shader_test(nu_m02),10,309,18958,15605,0,0,0
35,A중요 - 팜필리우스,10,6,8104,2536,0,0,0
36,A중요 - 아탈란시아,11,27,4081,4082,0,3,0
37,A중요 - 후안 트리스테,10,20,4083,4084,0,0,0
38,shader_test(nu_m01),10,249,419,4085,0,0,0
39,B일반 - 페오스얼굴,16,61,8154,1144,0,5,0
40,B일반 - 델토킨얼굴,16,16,4087,8475,0,6,0
41,2430 주점 여급 리쇼나 (nu_f),11,165,18086,8181,0,3,0
42,C범용 - 누이안 남성 05(노인 머리 짧음),10,6,8104,2536,0,0,0
43,B일반 - 모라(하얀 숲),11,26,412,4082,0,0,0
44,7656 소피 (nu_f),11,155,18087,4082,0,4,0
45,502 누이 신전 신관 (nu_f),11,160,18090,8181,0,3,0
46,3617 헤라온 (el_m),16,220,4087,1144,0,18,0
47,3623 이니스 여왕 (nu_f),11,161,18007,8181,0,4,0
48,3484 불한당 벨포 (nu_m) 솔즈리드,10,20,8100,4084,0,21,0
49,el_f_face105,17,0,17991,0,0,0,0
50,A중요 - 에치엘루,21,42,8157,409,0,11,0
51,shader_test(ha_m01),18,272,551,552,0,0,0
52,A중요 - 다미안,10,19,8100,4084,0,2,0
53,shader_test(el_m01),16,237,4087,8475,0,5,0
