id,name,mainhand_id,offhand_id,ranged_id,musical_id,mainhand_grade_id,offhand_grade_id,ranged_grade_id,musical_grade_id
1,C범용 - 그위오니드 양손창,5311,0,0,0,0,0,0,0
2,C범용 - 그위오니드 방패/한손검 중급,5312,5303,0,0,0,0,0,0
3,C범용 - 마리아노플 양손창,5304,0,0,0,0,0,0,0
4,C범용 - 마리아노플 방패/한손검 고급,24337,5299,0,0,0,0,0,0
5,C범용 - 북방 이슈바라 양손도,24345,0,0,0,0,0,0,0
6,C범용 - 북방 이슈바라 한손도/방패 고급,24344,24175,0,0,0,0,0,0
7,C범용 - 북방 이슈바라 악사 표준장비,8145,0,0,8146,0,0,0,0
8,D몬스터 - 오크 양손지팡이,13860,0,0,0,0,0,0,0
9,B일회용 - 아미엘의 거꾸로 쥔 단도,4034,0,0,0,0,0,0,0
10,PC초기장비 - 누이안 초기 무기,5318,6152,6127,6177,0,0,0,0
11,D몬스터 - 고블린 한손둔기,13867,0,0,0,0,0,0,0
12,A중요 - 벨리온의 지팡이,17971,0,0,0,0,0,0,0
13,A중요 - 컷씬용 엘프 PC 부모의 결투용 가는 검,4907,0,0,0,0,0,0,0
14,A중요 - 컷씬용 마리아노플 경비병 긴 칼,4822,0,0,0,0,0,0,0
15,D몬스터 - 놀 방패/한손검,13870,24811,0,0,0,0,0,0
16,C범용 - 공통 활/한손창,14035,0,14041,0,0,0,0,0
17,B일회용 - 환영술사의 지팡이(엘프메인퀘스트용),17972,0,0,0,0,0,0,0
18,D몬스터 - 놀 한손도끼,17952,0,0,0,0,0,0,0
19,C범용 - 공통 방패/단검,2674,14042,0,0,0,0,0,0
20,PC초기장비 - 엘프 초기 무기,1664,0,0,0,0,0,0,0
21,D몬스터 - 오크 한손도끼x2,13856,13856,0,0,0,0,0,0
22,D몬스터 - 인어 한손도,13865,0,0,0,0,0,0,0
23,D몬스터 - 놀 한손도끼(낡음),17953,0,0,0,0,0,0,0
24,D몬스터 - 오크 활/한손도끼,13856,0,13857,0,0,0,0,0
25,C범용 - 공통 한손둔기,13881,0,0,0,0,0,0,0
26,C범용 - 공통 양손검,13863,0,0,0,0,0,0,0
27,C범용 - 솔즈리드 쌍수무기 단검X2,17954,17954,0,0,0,0,0,0
28,C범용 - 초승달왕좌 양손도끼/활,17956,0,14041,0,0,0,0,0
29,C범용 - 공통 양손도끼,14038,0,0,0,0,0,0,0
30,C범용 - 공통 양손지팡이,14040,0,0,0,0,0,0,0
31,C범용 - 솔즈리드 방패/단검,17954,5300,0,0,0,0,0,0
32,D몬스터 - 오우거 양손 곡괭이,13882,0,0,0,0,0,0,0
33,C범용 - 공통 단검,2674,0,0,0,0,0,0,0
34,C범용 - 공통 활/단검,2674,0,14041,0,0,0,0,0
35,C범용 - 공통 방패/한손도,1830,14042,0,0,0,0,0,0
36,C범용 - 이즈나 방패/한손검 고급,24327,5301,0,0,0,0,0,0
37,도구 - 막대,17957,0,0,0,0,0,0,0
38,C범용 - 공통 쌍수무기 한손도/단검,1830,2674,0,0,0,0,0,0
39,C범용 - 공통 한손도,1830,0,0,0,0,0,0,0
40,C범용 - 공통 쌍수무기 한손도X2,1830,1830,0,0,0,0,0,0
41,C범용 - 공통 쌍수무기 한손둔기x2,13881,13881,0,0,0,0,0,0
42,"C범용 - 공통 쌍수무기 단검X2, 활",2674,2674,14041,0,0,0,0,0
43,C범용 - 이즈나 양손창,17958,0,0,0,0,0,0,0
44,도구 - 대장장이 망치,2670,0,0,0,0,0,0,0
45,도구 - 곡괭이,2667,0,0,0,0,0,0,0
46,도구 - 국자,2669,0,0,0,0,0,0,0
47,도구 - 톱,2668,0,0,0,0,0,0,0
48,도구 - 모종삽,2666,0,0,0,0,0,0,0
49,C범용 - 공통 현악기/단검,2674,0,0,14044,0,0,0,0
50,C범용 - 그위오니드 쌍수무기 한손도X2,17959,17959,0,0,0,0,0,0
51,C범용 - 그위오니드 방패/단검,17960,5303,0,0,0,0,0,0
52,도구 - 삽,601,0,0,0,0,0,0,0
53,도구 - 대장장이 쇠집개,2675,0,0,0,0,0,0,0
