id,category_id,name,asset_path,defaultX,defaultY,comment,model_id,movable,npc_only
98,3,el_f_decal_makeup036,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup036.dds,130,103,,17,f,f
99,3,el_f_decal_makeup035,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup035.dds,131,122,,17,f,f
100,3,el_f_decal_makeup034,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup034.dds,130,111,,17,f,f
101,3,el_f_decal_makeup033,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup033.dds,131,123,,17,f,f
102,3,el_f_decal_makeup032,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup032.dds,131,68,,17,f,f
103,3,el_f_decal_makeup031,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup031.dds,149,8,,17,f,f
104,3,el_f_decal_makeup030,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup030.dds,131,107,,17,f,f
105,3,el_f_decal_makeup029,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup029.dds,130,108,,17,f,f
106,3,el_f_decal_makeup028,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup028.dds,130,108,,17,f,f
107,3,el_f_decal_makeup027,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup027.dds,130,105,,17,f,f
108,3,el_f_decal_makeup026,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup026.dds,130,109,,17,f,f
109,3,el_f_decal_makeup025,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup025.dds,131,106,,17,f,f
110,3,el_f_decal_makeup024,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup024.dds,131,106,,17,f,f
111,3,el_f_decal_makeup023,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup023.dds,132,77,,17,f,f
112,3,el_f_decal_makeup022,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup022.dds,131,102,,17,f,f
113,3,el_f_decal_makeup021,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup021.dds,131,102,,17,f,f
114,3,el_f_decal_makeup020,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup020.dds,131,102,,17,f,f
115,3,el_f_decal_makeup019,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup019.dds,130,68,,17,f,f
116,3,el_f_decal_makeup018,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup018.dds,130,125,,17,f,f
117,3,el_f_decal_makeup017,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup017.dds,131,122,,17,f,f
118,3,el_f_decal_makeup016,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup016.dds,131,123,,17,f,f
119,3,el_f_decal_makeup015,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup015.dds,131,124,,17,f,f
120,3,el_f_decal_makeup014,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup014.dds,131,129,,17,f,f
121,3,el_f_decal_makeup013,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup013.dds,131,124,,17,f,f
122,3,el_f_decal_makeup012,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup012.dds,131,124,,17,f,f
123,3,el_f_decal_makeup011,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup011.dds,131,121,,17,f,f
124,3,el_f_decal_makeup010,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup010.dds,131,122,,17,f,f
125,3,el_f_decal_makeup009,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup009.dds,130,109,,17,f,f
126,3,el_f_decal_makeup008,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup008.dds,131,119,,17,f,f
127,3,el_f_decal_makeup007,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup007.dds,131,119,,17,f,f
128,3,el_f_decal_makeup006,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup006.dds,131,126,,17,f,f
129,3,el_f_decal_makeup005,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup005.dds,131,120,,17,f,f
131,3,el_f_decal_makeup004,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup004.dds,131,118,,17,f,f
132,3,el_f_decal_makeup003,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup003.dds,131,124,,17,f,f
133,3,el_f_decal_makeup002,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup002.dds,131,121,,17,f,f
134,3,el_f_decal_makeup001,objects\characters\nuian\female\face\decal_makeup\nu_f_decal_makeup001.dds,135,119,,17,f,f
135,4,nu_f_decal_eyebrow036,objects\characters\nuian\female\face\decal_eyebrow\nu_f_decal_eyebrow036.dds,130,89,,11,f,f
136,4,nu_f_decal_eyebrow035,objects\characters\nuian\female\face\decal_eyebrow\nu_f_decal_eyebrow035.dds,131,101,,11,f,f
137,4,nu_f_decal_eyebrow034,objects\characters\nuian\female\face\decal_eyebrow\nu_f_decal_eyebrow034.dds,130,98,,11,f,f
138,4,nu_f_decal_eyebrow033,objects\characters\nuian\female\face\decal_eyebrow\nu_f_decal_eyebrow033.dds,131,101,,11,f,f
139,4,nu_f_decal_eyebrow032,objects\characters\nuian\female\face\decal_eyebrow\nu_f_decal_eyebrow032.dds,131,89,,11,f,f
