id,model_id,name,normal,specular,npc_only
3,11,login_stage001,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal001_ddn.dds,,f
4,11,login_stage002,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal002_ddn.dds,,f
5,11,login_stage003,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal003_ddn.dds,,f
6,11,login_stage004,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal004_ddn.dds,,f
7,11,login_stage005,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal005_ddn.dds,,f
8,11,login_stage006,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal006_ddn.dds,,f
9,17,login_stage001,objects\Characters\elf\female\face\normal_custom\el_f_face_normal001_ddn.dds,,f
10,17,login_stage002,objects\Characters\elf\female\face\normal_custom\el_f_face_normal002_ddn.dds,,f
11,17,login_stage003,objects\Characters\elf\female\face\normal_custom\el_f_face_normal003_ddn.dds,,f
12,17,login_stage004,objects\Characters\elf\female\face\normal_custom\el_f_face_normal004_ddn.dds,,f
13,19,login_stage001,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal001_ddn.dds,,f
14,19,login_stage002,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal002_ddn.dds,,f
15,19,login_stage003,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal003_ddn.dds,,f
16,19,login_stage004,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal004_ddn.dds,,f
17,19,login_stage005,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal005_ddn.dds,,f
18,19,login_stage006,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal006_ddn.dds,,f
19,11,login_stage000,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal000_ddn.dds,,f
20,11,login_stage007,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal007_ddn.dds,,f
21,11,login_stage008,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal008_ddn.dds,,f
22,17,login_stage005,objects\Characters\elf\female\face\normal_custom\el_f_face_normal005_ddn.dds,,f
23,17,login_stage006,objects\Characters\elf\female\face\normal_custom\el_f_face_normal006_ddn.dds,,f
24,17,login_stage000,objects\Characters\elf\female\face\normal_custom\el_f_face_normal000_ddn.dds,,f
25,19,login_stage000,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal000_ddn.dds,,f
26,19,login_stage007,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal007_ddn.dds,,f
28,10,login_stage000,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal000_ddn.dds,,f
29,10,login_stage001,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal001_ddn.dds,,f
30,10,login_stage002,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal002_ddn.dds,,f
31,10,login_stage003,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal003_ddn.dds,,f
32,10,login_stage004,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal004_ddn.dds,,f
33,10,login_stage005,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal005_ddn.dds,,f
34,10,login_stage006,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal006_ddn.dds,,f
35,10,login_stage007,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal007_ddn.dds,,f
36,10,login_stage008,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal008_ddn.dds,,f
37,10,login_stage009,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal009_ddn.dds,,f
38,10,login_stage010,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal010_ddn.dds,,f
39,10,login_stage011,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal011_ddn.dds,,f
40,16,login_stage000,objects\Characters\elf\male\face\normal_custom\el_m_face_normal000_ddn.dds,,f
41,16,login_stage001,objects\Characters\elf\male\face\normal_custom\el_m_face_normal001_ddn.dds,,f
42,16,login_stage002,objects\Characters\elf\male\face\normal_custom\el_m_face_normal002_ddn.dds,,f
43,16,login_stage003,objects\Characters\elf\male\face\normal_custom\el_m_face_normal003_ddn.dds,,f
44,16,login_stage004,objects\Characters\elf\male\face\normal_custom\el_m_face_normal004_ddn.dds,,f
45,16,login_stage005,objects\Characters\elf\male\face\normal_custom\el_m_face_normal005_ddn.dds,,f
46,16,login_stage006,objects\Characters\elf\male\face\normal_custom\el_m_face_normal006_ddn.dds,,f
47,16,login_stage007,objects\Characters\elf\male\face\normal_custom\el_m_face_normal007_ddn.dds,,f
48,18,login_stage000,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal000_ddn.dds,,f
49,18,login_stage001,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal001_ddn.dds,,f
50,18,login_stage002,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal002_ddn.dds,,f
51,18,login_stage003,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal003_ddn.dds,,f
52,18,login_stage004,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal004_ddn.dds,,f
53,20,login_stage000,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal000_ddn.dds,,f
54,20,login_stage001,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal001_ddn.dds,,f
55,20,login_stage002,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal002_ddn.dds,,f
56,20,login_stage003,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal003_ddn.dds,,f
57,20,login_stage004,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal004_ddn.dds,,f
58,20,login_stage005,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal005_ddn.dds,,f
59,20,login_stage006,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal006_ddn.dds,,f
60,20,login_stage007,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal007_ddn.dds,,f
61,20,login_stage008,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal008_ddn.dds,,f
62,20,login_stage009,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal009_ddn.dds,,f
