id,farm_group_id,doodad_id,item_id
4,1,2259,15659
6,1,2264,15664
7,1,2261,15661
8,1,2263,15663
9,1,2252,15652
13,2,413,4865
14,2,380,13725
15,2,1017,4856
16,2,377,13724
17,2,394,4860
18,3,3006,19939
19,3,2994,19940
20,3,3004,19941
21,3,2673,16230
26,4,4594,23635
28,4,4586,23590
30,2,399,16339
31,4,4625,23685
32,4,4746,23686
33,4,4514,21847
34,4,4599,23614
35,4,4600,23615
36,4,4725,23680
37,4,4727,23681
38,4,4743,23682
40,4,4871,23707
41,4,4884,23708
42,4,4891,23709
43,4,4562,21331
44,1,2246,15646
46,4,4892,23840
47,3,2246,15646
48,3,2252,15652
49,4,4699,23679
50,4,4744,23683
51,4,4745,23684
53,1,2673,16230
54,4,5129,24834
55,4,5130,24835
56,4,5131,24836
57,4,5999,26407
58,4,6009,26409
59,4,6011,26433
60,4,6012,26434
8000001,1,2257,15657
8000002,1,2756,16269
8000003,1,2274,15673
8000004,1,1798,4904
8000007,2,382,16338
8000008,1,2254,15654
