id,fx_group_id,fx_item_id
1,8,7
2,16,24
3,16,25
4,20,34
5,20,35
6,32,58
7,32,57
8,32,56
9,33,60
10,33,59
11,34,61
12,36,64
13,39,70
14,40,72
15,40,71
16,41,74
17,41,73
18,42,75
19,43,76
20,45,78
21,47,82
22,48,83
23,51,84
24,52,14
25,54,23
26,57,39
27,59,51
28,61,58
29,62,85
30,50,19
31,49,42
32,58,48
33,64,69
34,38,67
35,38,68
36,60,55
38,26,90
39,66,91
40,30,52
41,30,92
42,31,54
43,31,92
44,21,38
45,21,36
46,21,92
47,23,40
48,23,41
49,23,92
50,28,50
51,28,49
52,28,92
53,35,63
54,35,62
55,35,94
56,12,21
57,12,20
58,12,94
59,14,22
60,14,87
61,14,93
62,14,94
63,15,23
64,15,94
65,68,97
66,68,95
67,69,98
68,71,106
69,73,109
70,74,110
71,74,111
72,75,112
73,76,113
74,77,114
75,78,115
76,79,116
77,80,117
78,80,118
79,84,123
80,85,124
81,86,125
82,87,126
83,88,127
84,72,107
85,89,108
86,91,134
87,96,128
88,96,129
89,97,130
90,97,131
91,98,132
92,99,133
93,100,135
94,101,136
95,102,137
96,103,138
97,104,139
98,107,143
99,107,144
100,108,145
101,109,146
102,109,147
103,110,148
104,111,149
105,112,150
106,113,151
107,114,152
108,82,121
109,117,156
110,118,157
111,119,159
112,120,160
113,19,31
114,121,33
115,29,161
116,56,32
117,25,44
118,25,92
119,25,49
120,122,162
121,123,163
122,44,77
123,44,153
124,125,164
125,126,165
126,18,27
127,105,141
128,37,66
129,37,65
130,37,6
131,127,167
132,127,168
133,129,169
134,130,170
135,131,172
136,131,173
137,132,174
138,136,178
139,137,179
140,139,182
141,142,187
142,143,189
143,143,188
144,144,190
145,146,193
146,146,194
147,148,197
148,149,198
149,150,199
150,152,201
151,151,200
152,153,202
153,154,186
154,155,203
155,135,176
156,158,177
157,159,181
158,145,191
159,160,192
160,161,205
161,162,38
162,165,207
163,169,212
164,169,213
165,169,214
166,171,217
167,174,216
168,173,219
169,175,220
170,176,221
171,163,37
172,177,36
173,177,38
174,6,5
175,6,1
176,9,10
177,9,1
178,10,13
179,10,1
180,164,206
181,164,36
182,182,226
183,183,227
184,186,230
185,187,231
186,178,222
187,188,232
188,24,43
189,24,232
190,166,208
191,189,209
192,172,218
193,172,212
194,167,210
195,167,233
196,170,215
197,170,212
198,191,234
199,192,235
200,193,237
201,193,236
202,181,225
203,181,223
204,194,238
205,194,4
206,194,204
207,195,239
208,195,4
209,195,204
210,17,26
211,17,16
212,17,28
213,185,229
214,185,230
215,27,46
216,27,47
217,202,248
218,203,249
219,203,250
220,204,251
221,205,252
222,205,253
223,205,254
224,206,255
225,206,256
226,207,258
227,207,259
228,209,257
229,211,261
230,218,268
231,218,269
232,220,272
233,220,273
234,220,274
235,221,275
236,233,291
237,234,292
238,236,294
239,237,296
240,238,295
241,240,331
242,241,332
243,242,333
244,244,335
245,244,336
246,245,337
247,246,339
248,246,340
249,249,302
250,250,303
251,254,307
252,255,308
253,256,309
254,261,314
255,262,315
256,263,316
257,265,318
258,269,322
259,270,323
260,271,324
261,272,325
262,274,327
263,239,329
264,276,330
265,278,341
266,279,344
