id,name,asset_name,fx_event_start_id,fx_event_end_id,fx_location_id,bone_id,offset_x,offset_y,offset_z,fx_detail_id,fx_detail_type,offset_axis_id,fx_scale_id
1,fire ball_form,ability_skill_table.element.el_fire0001_form,1,2,1,9,0.0,0.0,0.0,1,FxParticle,1,0
2,fire ball_proj,ability_skill_table.element.el_fire0001_proj,0,5,1,5,0.0,0.0,0.0,2,FxParticle,0,0
4,fire ball_hit,ability_skill_table.element.el_fire0001_hit,4,5,2,19,0.0,0.0,0.0,4,FxParticle,4,0
5,Elemental Armor_launch,ability_skill_table.element.el_ground0001_launch,2,5,2,1,0.0,0.0,0.0,5,FxParticle,0,0
6,Ice Blade_form,ability_skill_table.element.el_ice0001_form,1,3,1,9,0.0,0.0,0.0,6,FxParticle,0,0
7,Ice Blade_proj,ability_skill_table.element.el_ice0001_proj,0,5,1,9,0.0,0.0,0.0,7,FxParticle,0,0
8,Ice Blade_hit,ability_skill_table.element.el_ice0001_hit,4,5,2,19,0.0,0.0,0.0,8,FxParticle,4,0
9,Creeper_form,ability_skill_table.element.el_ground0002_form,1,2,1,9,0.0,0.0,0.0,9,FxParticle,0,0
10,Creeper_hit,ability_skill_table.element.el_ground0002_hit,3,5,2,0,0.0,0.0,0.0,10,FxParticle,0,0
11,Bubbling_form00,ability_skill_table.element.el_wind0001_form00,1,2,1,9,0.0,0.0,0.0,11,FxParticle,0,0
12,Bubbling_form01,ability_skill_table.element.el_wind0001_form01,2,5,1,9,0.0,0.0,0.0,12,FxParticle,0,0
13,Bubbling_hit,ability_skill_table.element.el_wind0001_hit,2,5,2,19,0.0,0.0,0.0,13,FxParticle,0,0
14,Bubbling_dot,ability_skill_table.element.el_wind0001_dot,0,5,1,19,0.0,0.0,0.0,14,FxParticle,0,0
15,Chain Firing_form00,ability_skill_table.element.el_fire0002_form00,1,3,1,9,0.0,0.0,0.0,15,FxParticle,0,0
16,Chain Firing_form01,ability_skill_table.element.el_fire0002_form01,3,5,1,9,0.0,0.0,0.0,16,FxParticle,0,0
19,Chain Firing_dot,ability_skill_table.element.el_fire0002_dot,0,5,1,19,0.0,0.0,0.0,19,FxParticle,0,0
20,Piece of Ice_launch ,abillity_skill_table_m.magic.ice_piece_launch,3,5,1,1,0.0,0.0,0.0,20,FxParticle,0,0
21,Piece of Ice_hit,abillity_skill_table_m.magic.ice_piece_hit,4,5,2,0,0.0,0.0,0.0,21,FxParticle,4,0
22,Teleport_launch,ability_skill_table.element.el_wind0003_launch,0,5,1,0,0.0,0.0,0.0,22,FxParticle,0,0
23,Mana Guard_buff,ability_skill_table.element.el_wind0002_buff,0,5,1,1,0.0,0.0,0.0,23,FxParticle,0,0
24,Floating_from,ability_skill_table.element.el_wind0005_form,1,5,1,0,0.0,0.0,0.0,24,FxParticle,0,0
25,Floating_hit,ability_skill_table.element.el_wind0005_hit,3,5,2,1,0.0,0.0,0.0,25,FxParticle,0,0
26,Falling Rocks_form,ability_skill_table.element.el_ground0003_form,1,3,1,9,0.0,0.0,0.0,26,FxParticle,0,0
27,Falling Rocks_proj,ability_skill_table.element.el_ground0003_proj,2,5,2,0,0.0,0.0,0.0,27,FxParticle,0,0
28,Falling Rocks_hit,ability_skill_table.element.el_ground0003_hit,4,5,2,0,0.0,0.0,0.0,28,FxParticle,0,0
29,Falling Rocks_dot,ability_skill_table.element.el_ground0003_dot,0,5,1,19,0.0,0.0,0.0,29,FxParticle,0,0
31,Spider Web_form,ability_skill_table.element.el_ground0004_form,0,3,1,8,0.0,0.0,0.0,31,FxParticle,0,0
32,Spider Web_throw,ability_skill_table.element.el_ground0004_throw,0,5,1,0,0.0,0.0,0.0,32,FxParticle,0,0
33,Spider Web_dot,ability_skill_table.element.el_ground0004_dot,0,5,1,0,0.0,0.0,0.0,33,FxParticle,0,0
34,Remembering_form,ability_skill_table.element.el_wind0004_form,1,2,1,0,0.0,0.0,0.0,34,FxParticle,0,0
35,Remembering_hit,ability_skill_table.element.el_wind0004_hit,4,5,2,0,0.0,0.0,0.0,35,FxParticle,0,0
36,Mastery_form,ability_skill_table.white.white0001_form,1,2,1,9,0.0,0.0,0.0,36,FxParticle,0,0
37,Mastery_proj,ability_skill_table.white.white0001_launch,0,5,1,0,0.0,0.0,0.0,37,FxParticle,0,0
38,Mastery_hit,ability_skill_table.white.white0001_hit,4,5,2,19,0.0,0.0,0.0,38,FxParticle,4,0
39,Mastery_dot,ability_skill_table.blackmagic.black0006_dot,4,5,1,19,0.0,0.0,0.0,39,FxParticle,0,0
