id,ang_x,ang_y,ang_z,shift_x,shift_y,shift_z,frequency,randomness,duration,range
1,0.1,0.2,0.2,0.0,0.2,0.0,0.01,0.3,1.3,0.0
2,0.3,0.3,0.3,0.15,0.15,0.15,0.05,0.3,3.5,0.0
3,0.1,0.2,0.2,0.1,0.1,0.3,0.01,0.2,1.0,0.0
4,0.3,0.3,0.3,0.1,0.1,0.4,0.02,0.1,3.5,0.0
5,0.1,0.2,0.2,1.0,1.0,1.0,0.01,0.1,1.0,0.0
6,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.9,0.0
7,0.01,0.01,0.01,0.2,0.2,0.5,0.05,0.5,1.5,0.0
8,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1.8,0.0
9,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1.8,0.0
10,1.0,1.0,1.0,0.2,0.2,0.3,0.05,0.5,3.5,0.0
11,2.0,4.0,2.0,0.0,0.2,0.0,0.01,0.3,1.3,0.0
12,0.0,0.0,0.0,0.0,0.0,0.4,0.03,0.0,0.1,0.0
13,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.1,0.06,0.0
14,0.0,0.0,0.0,0.0,0.0,0.6,0.03,0.0,0.1,0.0
