id,stance_id,normal_speed,max_speed,height_collider,height_pivot,size_x,size_y,size_z,model_offset_x,model_offset_y,model_offset_z,view_offset_x,view_offset_y,view_offset_z,name,use_capsule,actor_model_id,ai_move_speed_slow,ai_move_speed_walk,ai_move_speed_run,ai_move_speed_sprint,weapon_offset_x,weapon_offset_y,weapon_offset_z
73,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,1,1.8,1.8,5.4,5.4,,,
74,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,1,1.8,1.8,5.4,5.4,,,
75,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,1,1.0,1.0,2.0,2.0,,,
76,4,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,1,1.0,1.0,2.0,2.0,,,
77,5,1.8,2.0,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,1,1.0,1.0,2.0,2.0,,,
78,6,0.6,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,1,1.0,1.0,2.0,2.0,,,
79,7,0.5,2.0,1.2,0.0,0.4,0.4,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,1,1.0,1.0,2.0,2.0,,,
80,8,0.5,2.0,1.2,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,1,1.0,1.0,2.0,2.0,,,
81,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,2,1.8,1.8,5.4,5.4,,,
82,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,2,1.8,1.8,5.4,5.4,,,
83,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,2,1.8,1.8,5.4,5.4,,,
84,4,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,2,1.8,1.8,5.4,5.4,,,
85,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,2,1.8,1.8,5.4,5.4,,,
86,6,0.6,5.4,0.95,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,2,1.8,1.8,5.4,5.4,,,
87,7,0.5,3.0,1.2,0.0,0.4,0.4,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,2,1.8,1.8,5.4,5.4,,,
88,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,2,1.8,1.8,5.4,5.4,,,
89,1,1.0,4.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,3,1.8,1.8,5.4,5.4,,,
90,2,1.5,4.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,3,1.8,1.8,5.4,5.4,,,
91,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,3,1.8,1.8,5.4,5.4,,,
92,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,3,1.8,1.8,5.4,5.4,,,
93,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,3,1.8,1.8,5.4,5.4,,,
94,6,0.6,3.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,3,1.8,1.8,5.4,5.4,,,
95,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,3,1.8,1.8,5.4,5.4,,,
96,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,3,1.8,1.8,5.4,5.4,,,
97,1,1.0,5.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,4,1.8,1.8,5.4,5.4,,,
98,2,1.5,5.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,4,1.8,1.8,5.4,5.4,,,
99,3,1.0,3.0,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,4,1.8,1.8,3.0,3.0,,,
100,4,1.0,3.0,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,4,1.8,1.8,3.0,3.0,,,
101,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,4,1.8,1.8,5.4,5.4,,,
