id,idx,tagid,grammartag_g,grammartag_a,grammartag_i,grammartag_pl,grammartag_plg,grammartag_pld,grammartag_pla
8000001,2620,2,,,,,,,
8000002,2841,2,,,,,,,
8000003,2842,2,,,,,,,
8000004,4765,2,,,,,,,
8000005,216,2,,,,,,,
8000006,1432,2,,,,,,,
8000007,1609,2,,,,,,,
8000008,1630,2,,,,,,,
8000009,1747,2,,,,,,,
8000010,1753,2,,,,,,,
8000011,2247,2,,,,,,,
8000012,2287,2,,,,,,,
8000013,2335,2,,,,,,,
8000014,2336,2,,,,,,,
8000015,2338,2,,,,,,,
8000016,2341,2,,,,,,,
8000017,2342,2,,,,,,,
8000018,6769,2,,,,,,,
8000019,6809,2,,,,,,,
8000020,5669,2,,,,,,,
8000021,5670,2,,,,,,,
8000022,5450,2,,,,,,,
8000023,5451,2,,,,,,,
8000024,5618,2,,,,,,,
8000025,5558,2,,,,,,,
8000026,5559,2,,,,,,,
8000027,8000041,2,,,,,,,
8000028,8000042,2,,,,,,,
8000029,8000001,2,,,,,,,
8000030,8000002,2,,,,,,,
8000031,8000003,2,,,,,,,
8000032,8000004,2,,,,,,,
8000033,8000005,2,,,,,,,
8000034,8000006,2,,,,,,,
8000035,1,2,,,,,,,
8000036,2,2,,,,,,,
8000037,3,2,,,,,,,
8000038,4,2,,,,,,,
8000039,5,2,,,,,,,
8000040,6,2,,,,,,,
8000041,7,2,,,,,,,
8000042,8,2,,,,,,,
8000043,9,2,,,,,,,
8000044,10,2,,,,,,,
8000045,11,2,,,,,,,
8000046,12,2,,,,,,,
8000047,13,2,,,,,,,
8000048,14,2,,,,,,,
8000049,15,2,,,,,,,
8000050,16,2,,,,,,,
8000051,17,2,,,,,,,
8000052,18,2,,,,,,,
8000053,19,2,,,,,,,
8000054,20,2,,,,,,,
8000055,21,2,,,,,,,
8000056,22,2,,,,,,,
8000057,23,2,,,,,,,
8000058,24,2,,,,,,,
8000059,25,2,,,,,,,
8000060,26,2,,,,,,,
8000061,27,2,,,,,,,
8000062,28,2,,,,,,,
8000063,29,2,,,,,,,
8000064,30,2,,,,,,,
8000065,31,2,,,,,,,
8000066,32,2,,,,,,,
8000067,33,2,,,,,,,
8000068,34,2,,,,,,,
8000069,35,2,,,,,,,
8000070,36,2,,,,,,,
8000071,37,2,,,,,,,
8000072,38,2,,,,,,,
8000073,39,2,,,,,,,
8000074,40,2,,,,,,,
8000075,41,2,,,,,,,
8000076,42,2,,,,,,,
8000077,43,2,,,,,,,
8000078,44,2,,,,,,,
8000079,45,2,,,,,,,
8000080,46,2,,,,,,,
8000081,47,2,,,,,,,
8000082,48,2,,,,,,,
8000083,49,2,,,,,,,
8000084,50,2,,,,,,,
8000085,51,2,,,,,,,
8000086,53,2,,,,,,,
8000087,55,2,,,,,,,
8000088,56,2,,,,,,,
8000089,57,2,,,,,,,
8000090,58,2,,,,,,,
8000091,59,2,,,,,,,
8000092,60,2,,,,,,,
8000093,61,2,,,,,,,
8000094,62,2,,,,,,,
8000095,63,2,,,,,,,
8000096,64,2,,,,,,,
8000097,65,2,,,,,,,
8000098,66,2,,,,,,,
8000099,67,2,,,,,,,
8000100,68,2,,,,,,,
8000101,69,2,,,,,,,
8000102,70,2,,,,,,,
8000103,71,2,,,,,,,
8000104,72,2,,,,,,,
8000105,73,2,,,,,,,
8000106,74,2,,,,,,,
8000107,75,2,,,,,,,
8000108,76,2,,,,,,,
8000109,77,2,,,,,,,
8000110,78,2,,,,,,,
8000111,79,2,,,,,,,
8000112,80,2,,,,,,,
8000113,81,2,,,,,,,
8000114,82,2,,,,,,,
8000115,83,2,,,,,,,
8000116,84,2,,,,,,,
8000117,85,2,,,,,,,
8000118,86,2,,,,,,,
8000119,87,2,,,,,,,
8000120,88,2,,,,,,,
8000121,89,2,,,,,,,
