id,radius_dominion,radius_siege,radius_declare,radius_offense_hq,comments,initial_buff_id,max_gates,max_walls
1,110,250,250,100,살피마리 왼쪽 수호탑,4771,1,50
2,110,250,250,100,살피마리 중앙 수호탑,4771,1,50
3,110,250,250,100,살피마리 오른쪽 수호탑,4771,1,50
4,110,250,250,100,누이마리 왼쪽 수호탑,4771,1,50
5,110,250,250,100,누이마리 중앙 수호탑,4771,1,50
6,110,250,250,100,누이마리 오른쪽 수호탑,4771,1,50
7,110,250,250,100,서녘마리 왼쪽 수호탑,4771,1,50
8,110,250,250,100,서녘마리 오른쪽 수호탑,4771,1,50
9,110,250,250,100,안식의 땅 왼쪽 수호탑,4771,1,50
10,110,250,250,100,안식의 땅 오른쪽 수호탑,4771,1,50
11,200,450,450,120,심연의 입구,4771,2,100
12,200,450,450,120,태양의 들녘,4771,2,100
