id,hair_diffuse_color_r,hair_diffuse_color_g,hair_diffuse_color_b,model_id,hair_material,comment,asset_id,hair_base_color_r,hair_base_color_g,hair_base_color_b,npc_only
1,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair001\nu_m_hair001_hc01.mtl,custom01,11879,66,58,50,f
2,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair002\nu_m_hair002_hc01.mtl,custom01,12595,66,58,50,f
3,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair005\nu_m_hair005_hc01.mtl,custom01,10221,66,58,50,f
4,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair006\nu_m_hair006_hc01.mtl,custom01,10222,66,58,50,f
5,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair007\nu_m_hair007_hc01.mtl,custom01,10223,66,58,50,f
11,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair008\nu_m_hair008_hc01.mtl,custom01,10224,66,58,50,f
16,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair009\nu_m_hair009_hc01.mtl,custom01,10225,66,58,50,f
19,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair010\nu_m_hair010_hc01.mtl,custom01,10226,66,58,50,f
20,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair011\nu_m_hair011_hc01.mtl,custom01,10227,66,58,50,f
22,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair012\nu_m_hair012_hc01.mtl,custom01,10463,66,58,50,f
23,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair013\nu_m_hair013_hc01.mtl,custom01,10468,66,58,50,f
29,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair014\nu_m_hair014_hc01.mtl,custom01,10517,66,58,50,f
30,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair015\nu_m_hair015_hc01.mtl,custom01,10518,66,58,50,f
32,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair016\nu_m_hair016_hc01.mtl,custom01,12594,66,58,50,f
33,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair017\nu_m_hair017_hc01.mtl,custom01,12593,66,58,50,f
34,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair018\nu_m_hair018_hc01.mtl,custom01,12592,66,58,50,f
35,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair019\nu_m_hair019_hc01.mtl,custom01,12823,66,58,50,f
36,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair001\nu_f_hair001_hc01.mtl,custom01,10175,66,58,50,f
37,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair002\nu_f_hair002_hc01.mtl,custom01,10176,66,58,50,f
38,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair004\nu_f_hair004_hc01.mtl,custom01,10203,66,58,50,f
39,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair005\nu_f_hair005_hc01.mtl,custom01,10204,66,58,50,f
40,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair006\nu_f_hair006_hc01.mtl,custom01,10205,66,58,50,f
41,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair007\nu_f_hair007_hc01.mtl,custom01,10177,66,58,50,f
42,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair008\nu_f_hair008_hc01.mtl,custom01,10178,66,58,50,f
43,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair009\nu_f_hair009_hc01.mtl,custom01,10179,66,58,50,f
44,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair010\nu_f_hair010_hc01.mtl,custom01,10180,66,58,50,f
45,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair011\nu_f_hair011_hc01.mtl,custom01,10181,66,58,50,f
61,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair012\nu_f_hair012_hc01.mtl,custom01,10182,66,58,50,f
62,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair013\nu_f_hair013_hc01.mtl,custom01,10206,66,58,50,f
63,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair015\nu_f_hair015_hc01.mtl,custom01,14081,66,58,50,f
65,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair016\nu_f_hair016_hc01.mtl,custom01,12837,66,58,50,f
66,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair017\nu_f_hair017_hc01.mtl,custom01,12377,66,58,50,f
77,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair018\nu_f_hair018_hc01.mtl,custom01,12836,66,58,50,f
79,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair019\nu_f_hair019_hc01.mtl,custom01,12835,66,58,50,f
80,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair020\nu_f_hair020_hc01.mtl,custom01,12834,66,58,50,f
81,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair021\nu_f_hair021_hc01.mtl,custom01,12833,66,58,50,f
83,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair022\nu_f_hair022_hc01.mtl,custom01,12857,66,58,50,f
84,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair001\el_m_hair001_hc01.mtl,custom01,12838,66,58,50,f
85,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair002\el_m_hair002_hc01.mtl,custom01,12829,66,58,50,f
86,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair004\el_m_hair004_hc01.mtl,custom01,10249,66,58,50,f
87,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair005\el_m_hair005_hc01.mtl,custom01,10243,66,58,50,f
88,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair006\el_m_hair006_hc01.mtl,custom01,10244,66,58,50,f
89,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair007\el_m_hair007_hc01.mtl,custom01,10245,66,58,50,f
90,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair008\el_m_hair008_hc01.mtl,custom01,10246,66,58,50,f
91,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair009\el_m_hair009_hc01.mtl,custom01,10247,66,58,50,f
92,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair010\el_m_hair010_hc01.mtl,custom01,10248,66,58,50,f
93,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair016\el_m_hair016_hc01.mtl,custom01,12828,66,58,50,f
94,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair017\el_m_hair017_hc01.mtl,custom01,12827,66,58,50,f
95,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair018\el_m_hair018_hc01.mtl,custom01,12826,66,58,50,f
96,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair019\el_m_hair019_hc01.mtl,custom01,12825,66,58,50,f
97,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair001\el_f_hair001_hc01.mtl,custom01,10191,66,58,50,f
98,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair002\el_f_hair002_hc01.mtl,custom01,10192,66,58,50,f
99,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair003\el_f_hair003_hc01.mtl,custom01,10193,66,58,50,f
100,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair004\el_f_hair004_hc01.mtl,custom01,10194,66,58,50,f
101,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair005\el_f_hair005_hc01.mtl,custom01,10195,66,58,50,f
102,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair006\el_f_hair006_hc01.mtl,custom01,10196,66,58,50,f
103,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair007\el_f_hair007_hc01.mtl,custom01,10197,66,58,50,f
104,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair008\el_f_hair008_hc01.mtl,custom01,10198,66,58,50,f
105,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair009\el_f_hair009_hc01.mtl,custom01,10199,66,58,50,f
106,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair010\el_f_hair010_hc01.mtl,custom01,10201,66,58,50,f
107,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair011\el_f_hair011_hc01.mtl,custom01,10200,66,58,50,f
108,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair012\el_f_hair012_hc01.mtl,custom01,10202,66,58,50,f
109,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair015\el_f_hair015_hc01.mtl,custom01,12366,66,58,50,f
