id,use_fixed_heal,fixed_min,fixed_max,use_level_heal,level_md,level_va_start,level_va_end,percent,use_charged_buff,charged_buff_id,charged_mul,slave_applicable,ignore_heal_aggro,dps_multiplier,actability_group_id,actability_step,actability_mul,actability_add
1,t,1000,1000,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
5,t,125,160,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
6,t,0,0,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
7,t,200,250,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
8,t,41,41,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
9,t,51,51,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
10,t,0,0,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
12,t,14,14,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
17,t,15,15,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
19,t,39,39,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
21,f,40,60,t,3.3,5,1,f,f,,1.0,f,f,1.0,,0,0.0,0.0
26,f,102,102,t,4.5,5,1,f,f,,1.0,f,f,2.0,,0,0.0,0.0
27,f,26,34,t,8.0,10,5,f,f,,1.0,f,f,1.0,,0,0.0,0.0
28,t,75,99,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
29,t,130,166,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
30,t,10,60,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
31,t,30,30,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
32,t,95,95,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
33,t,70,90,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
34,t,18,20,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
35,t,65,65,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
41,f,0,0,t,7.0,5,1,f,f,,1.0,f,f,1.0,,0,0.0,0.0
42,f,0,0,t,5.0,5,1,f,f,,1.0,f,f,1.0,,0,0.0,0.0
43,t,90,90,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
44,t,315,315,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
45,t,516,516,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
54,f,0,0,t,7.0,5,1,t,f,,1.0,f,f,1.0,,0,0.0,0.0
55,t,0,0,t,7.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
56,t,0,0,t,7.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
57,t,300,400,f,3.0,10,10,f,f,,1.0,f,f,1.0,,0,0.0,0.0
58,f,0,0,t,5.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
61,f,0,0,t,2.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
67,t,15,25,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
68,t,300,500,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
69,f,1,1,t,0.5,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
71,f,40,60,t,5.0,5,1,f,f,,1.0,f,f,1.0,,0,0.0,0.0
72,t,100,100,f,1.0,0,0,t,f,,1.0,f,f,1.0,,0,0.0,0.0
75,t,7,7,f,1.0,0,0,t,f,,1.0,f,f,1.0,,0,0.0,0.0
77,t,2,2,f,1.0,0,0,t,f,,1.0,f,f,1.0,,0,0.0,0.0
78,t,250,300,f,1.0,0,0,f,f,,1.0,f,f,0.0,,0,0.0,0.0
80,t,400,600,f,1.0,0,0,f,f,,1.0,f,f,0.0,,0,0.0,0.0
81,t,800,1100,f,1.0,0,0,f,f,,1.0,f,f,0.0,,0,0.0,0.0
82,t,1400,1700,f,1.0,0,0,f,f,,1.0,f,f,0.0,,0,0.0,0.0
83,t,2000,2400,f,1.0,0,0,f,f,,1.0,f,f,0.0,,0,0.0,0.0
84,t,2600,2800,f,1.0,0,0,f,f,,1.0,f,f,0.0,,0,0.0,0.0
85,t,1024,1131,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
86,t,1196,1321,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
87,t,1372,1517,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
88,t,1554,1717,f,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
90,f,0,0,t,10.0,5,1,f,f,,1.0,f,f,1.0,,0,0.0,0.0
94,f,0,0,t,20.0,5,1,f,f,,1.0,f,f,1.0,,0,0.0,0.0
96,f,0,0,t,1.0,5,1,f,t,864,0.3,f,f,1.0,,0,0.0,0.0
99,f,0,0,t,1.0,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
102,f,102,102,t,7.0,5,1,f,f,,1.0,f,f,1.0,,0,0.0,0.0
103,t,100,100,f,1.0,0,0,t,f,,1.0,f,f,1.0,,0,0.0,0.0
104,f,0,0,t,1.5,0,0,f,f,,1.0,f,f,1.0,,0,0.0,0.0
